Date,Open,High,Low,Close,Volume,Is_Stale,Ticker
2026-05-14,1.02,1.02,1.02,1.02,200000,1,ALP
2026-05-15,1.02,1.02,1.02,1.02,200000,1,ALP
2026-05-18,1.02,1.02,1.02,1.02,200000,1,ALP
2026-05-19,1.02,1.02,1.02,1.02,200000,1,ALP
2026-05-20,1.02,1.02,1.02,1.02,200000,1,ALP
2026-05-21,1.02,1.02,1.02,1.02,200000,1,ALP
2026-05-22,1.02,1.02,1.02,1.02,200000,1,ALP
2026-05-25,1.02,1.02,1.02,1.02,200000,1,ALP
2026-05-26,1.02,1.02,1.02,1.02,200000,1,ALP
2026-05-27,1.02,1.02,1.02,1.02,200000,1,ALP
2026-05-28,1.02,1.02,1.02,1.02,200000,1,ALP
2026-05-29,1.02,1.02,1.02,1.02,200000,1,ALP
2026-06-01,1.02,1.02,1.02,1.02,200000,1,ALP
2026-06-02,1.02,1.02,1.02,1.02,200000,1,ALP
2026-06-03,1.02,1.02,1.02,1.02,200000,1,ALP
2026-06-04,1.02,1.02,1.02,1.02,200000,1,ALP
2026-06-05,1.02,1.02,1.02,1.02,200000,1,ALP
2026-06-08,1.02,1.02,1.02,1.02,200000,1,ALP
2026-06-09,1.02,1.02,1.02,1.02,200000,1,ALP
2026-06-10,1.02,1.02,1.02,1.02,200000,1,ALP
2026-06-11,1.02,1.02,1.02,1.02,200000,1,ALP
2026-06-12,1.02,1.02,1.02,1.02,200000,1,ALP
2026-06-15,1.02,1.02,1.02,1.02,200000,1,ALP
2026-06-16,1.02,1.02,1.02,1.02,200000,1,ALP
2026-06-17,1.02,1.02,1.02,1.02,200000,1,ALP
2026-06-18,1.02,1.02,1.02,1.02,200000,1,ALP
2026-06-19,1.02,1.02,1.02,1.02,200000,1,ALP
2026-06-22,1.02,1.02,1.02,1.02,200000,1,ALP
2026-06-23,1.02,1.02,1.02,1.02,200000,1,ALP
2026-06-24,1.02,1.02,1.02,1.02,200000,1,ALP
2026-06-25,1.02,1.02,1.02,1.02,200000,1,ALP
2026-06-26,1.02,1.02,1.02,1.02,200000,1,ALP
2026-06-29,1.02,1.02,1.02,1.02,200000,1,ALP
2026-06-30,1.02,1.02,1.02,1.02,200000,1,ALP
2026-07-01,1.02,1.02,1.02,1.02,200000,1,ALP
2026-07-02,1.02,1.02,1.02,1.02,200000,1,ALP
2026-07-03,1.02,1.02,1.02,1.02,200000,1,ALP
2026-07-06,1.02,1.02,1.02,1.02,200000,1,ALP
2026-07-07,1.02,1.02,1.02,1.02,200000,1,ALP
2026-07-08,1.02,1.02,1.02,1.02,200000,1,ALP
2026-07-09,1.02,1.02,1.02,1.02,200000,1,ALP
2026-07-10,1.02,1.02,1.02,1.02,200000,1,ALP
2026-07-13,1.02,1.02,1.02,1.02,200000,1,ALP
2026-07-14,1.02,1.02,1.02,1.02,200000,1,ALP
2026-07-15,1.02,1.02,1.02,1.02,200000,1,ALP
2026-07-16,1.02,1.02,1.02,1.02,200000,1,ALP
2026-07-17,1.02,1.02,1.02,1.02,0,1,ALP
