Date,Open,High,Low,Close,Volume,Is_Stale,Ticker
2007-01-02,227.0,230.0,222.0,227.0,13600,0,BAT
2007-01-03,227.0,195.0,180.0,190.0,3400,1,BAT
2007-01-04,227.0,195.0,180.0,190.0,3400,1,BAT
2007-01-05,227.0,195.0,180.0,190.0,3400,1,BAT
2007-01-08,190.0,175.0,172.0,174.0,4500,0,BAT
2007-01-09,190.0,175.0,172.0,174.0,4500,1,BAT
2007-01-10,174.0,149.0,146.0,147.0,3600,0,BAT
2007-01-11,147.0,140.0,136.0,137.0,5800,0,BAT
2007-01-12,147.0,140.0,136.0,137.0,5800,1,BAT
2007-01-15,137.0,260.0,240.0,253.0,30000,0,BAT
2007-01-16,253.0,260.0,225.0,235.0,11100,0,BAT
2007-01-17,235.0,230.0,220.0,228.0,44500,0,BAT
2007-01-18,228.0,220.0,200.0,215.0,70800,0,BAT
2007-01-19,215.0,230.0,220.0,222.0,15000,0,BAT
2007-01-22,222.0,240.0,225.0,232.0,9400,0,BAT
2007-01-23,232.0,237.0,235.0,235.0,2300,0,BAT
2007-01-24,235.0,250.0,237.0,243.0,52500,0,BAT
2007-01-25,243.0,250.0,220.0,245.0,45300,0,BAT
2007-01-26,245.0,245.0,240.0,242.0,16500,0,BAT
2007-01-29,242.0,240.0,239.0,239.0,2800,0,BAT
2007-01-30,239.0,240.0,230.0,235.0,13600,0,BAT
2007-01-31,235.0,237.0,220.0,223.0,10100,0,BAT
2007-02-01,223.0,200.0,197.0,199.0,4200,0,BAT
2007-02-02,199.0,230.0,224.0,224.0,69800,0,BAT
2007-02-05,199.0,190.0,185.0,186.0,1600,0,BAT
2007-02-06,199.0,190.0,185.0,186.0,1600,1,BAT
2007-02-07,186.0,185.0,185.0,185.0,500,0,BAT
2007-02-08,185.0,175.0,174.0,174.0,300,1,BAT
2007-02-09,185.0,175.0,174.0,174.0,300,1,BAT
2007-02-12,185.0,175.0,174.0,174.0,300,1,BAT
2007-02-13,133.0,240.0,235.0,238.0,23100,1,BAT
2007-02-14,238.0,240.0,236.0,238.0,199500,0,BAT
2007-02-15,238.0,240.0,236.0,238.0,144500,1,BAT
2007-02-16,238.0,241.0,238.0,239.0,380100,0,BAT
2007-02-19,239.0,240.0,238.0,239.0,131200,0,BAT
2007-02-20,239.0,239.0,220.0,236.0,31500,0,BAT
2007-02-21,236.0,230.0,215.0,228.0,24200,0,BAT
2007-02-22,228.0,210.0,206.0,207.0,9100,0,BAT
2007-02-23,207.0,218.0,199.0,215.0,81300,0,BAT
2007-02-26,215.0,205.0,202.0,204.0,65500,0,BAT
2007-02-27,204.0,205.0,200.0,201.0,6500,0,BAT
2007-02-28,201.0,201.0,199.0,200.0,33400,0,BAT
2007-03-01,200.0,198.0,198.0,198.0,900,0,BAT
2007-03-02,200.0,198.0,198.0,198.0,900,1,BAT
2007-03-05,199.0,190.0,190.0,190.0,30000,0,BAT
2007-03-06,199.0,190.0,190.0,190.0,30000,1,BAT
2007-03-07,190.0,185.0,185.0,185.0,100,0,BAT
2007-03-08,185.0,175.0,170.0,173.0,9700,0,BAT
2007-03-09,173.0,160.0,160.0,160.0,43500,0,BAT
2007-03-12,144.0,139.0,135.0,135.0,60000,0,BAT
2007-03-13,135.0,195.0,193.0,194.0,18100,0,BAT
2007-03-14,194.0,195.0,190.0,192.0,1600,0,BAT
2007-03-15,192.0,195.0,193.0,194.0,3900,0,BAT
2007-03-16,194.0,196.0,193.0,194.0,12900,0,BAT
2007-03-19,194.0,195.0,181.0,187.0,2600,0,BAT
2007-03-20,187.0,196.0,190.0,193.0,44300,0,BAT
2007-03-21,193.0,196.0,193.0,193.0,42900,0,BAT
2007-03-22,193.0,199.0,80.0,160.0,8500,0,BAT
