Date,Open,High,Low,Close,Volume,Is_Stale,Ticker
2009-01-07,160.0,160.0,160.0,160.0,0,1,BOC
2009-01-08,160.0,160.0,160.0,160.0,0,1,BOC
2009-01-09,160.0,160.0,160.0,160.0,0,1,BOC
2009-01-12,160.0,150.0,150.0,150.0,300,1,BOC
2009-01-13,160.0,150.0,150.0,150.0,300,1,BOC
2009-01-14,160.0,150.0,150.0,150.0,300,1,BOC
2009-01-15,160.0,150.0,150.0,150.0,300,1,BOC
2009-01-16,160.0,150.0,150.0,150.0,300,1,BOC
2009-01-19,160.0,150.0,150.0,150.0,300,1,BOC
2009-01-20,160.0,150.0,150.0,150.0,300,1,BOC
2009-01-21,160.0,150.0,150.0,150.0,300,1,BOC
2009-01-22,160.0,150.0,150.0,150.0,300,1,BOC
2009-01-23,160.0,150.0,150.0,150.0,300,1,BOC
2009-01-26,160.0,150.0,150.0,150.0,300,1,BOC
2009-01-27,160.0,150.0,150.0,150.0,300,1,BOC
2009-01-28,160.0,150.0,150.0,150.0,300,1,BOC
2009-01-29,160.0,150.0,150.0,150.0,300,1,BOC
2009-01-30,160.0,150.0,150.0,150.0,300,1,BOC
2009-02-02,150.0,160.0,160.0,160.0,0,1,BOC
2009-02-03,160.0,160.0,160.0,160.0,0,1,BOC
2009-02-04,160.0,160.0,160.0,160.0,0,1,BOC
2009-02-05,160.0,160.0,160.0,160.0,0,1,BOC
2009-02-06,160.0,160.0,160.0,160.0,0,1,BOC
2009-02-09,160.0,160.0,160.0,160.0,0,1,BOC
2009-02-10,160.0,160.0,160.0,160.0,0,1,BOC
2009-02-11,160.0,160.0,160.0,160.0,0,1,BOC
2009-02-12,160.0,150.0,150.0,150.0,5000,0,BOC
2009-02-13,150.0,160.0,160.0,160.0,0,1,BOC
2009-02-16,160.0,160.0,160.0,160.0,0,1,BOC
2009-02-17,160.0,160.0,160.0,160.0,0,1,BOC
2009-02-18,160.0,160.0,160.0,160.0,0,1,BOC
2009-02-19,160.0,160.0,160.0,160.0,0,1,BOC
2009-02-20,160.0,160.0,160.0,160.0,0,1,BOC
2009-02-23,160.0,160.0,160.0,160.0,0,1,BOC
2009-02-24,160.0,160.0,160.0,160.0,0,1,BOC
2009-02-25,160.0,160.0,160.0,160.0,0,1,BOC
2009-02-26,160.0,160.0,160.0,160.0,0,1,BOC
2009-02-27,160.0,160.0,160.0,160.0,0,1,BOC
2009-03-02,160.0,160.0,160.0,160.0,0,1,BOC
2009-03-03,160.0,160.0,160.0,160.0,0,1,BOC
2009-03-04,160.0,160.0,160.0,160.0,0,1,BOC
2009-03-05,160.0,160.0,160.0,160.0,0,1,BOC
2009-03-06,160.0,160.0,160.0,160.0,0,1,BOC
2009-03-09,160.0,160.0,160.0,160.0,0,1,BOC
2009-03-10,160.0,160.0,160.0,160.0,0,1,BOC
2009-03-11,160.0,160.0,160.0,160.0,0,1,BOC
2009-03-12,160.0,150.0,150.0,150.0,0,0,BOC
2009-03-13,150.0,160.0,160.0,160.0,0,1,BOC
2009-03-16,160.0,160.0,160.0,160.0,0,1,BOC
2009-03-17,160.0,160.0,160.0,160.0,0,1,BOC
2009-03-18,160.0,160.0,160.0,160.0,0,1,BOC
2009-03-19,160.0,160.0,160.0,160.0,0,1,BOC
2009-03-20,160.0,160.0,160.0,160.0,0,1,BOC
2009-03-23,160.0,160.0,160.0,160.0,0,1,BOC
2009-03-24,160.0,160.0,160.0,160.0,0,1,BOC
2009-03-25,160.0,160.0,160.0,160.0,0,1,BOC
2009-03-26,160.0,160.0,160.0,160.0,0,1,BOC
2009-03-27,160.0,160.0,160.0,160.0,0,1,BOC
2009-03-30,160.0,160.0,160.0,160.0,0,1,BOC
2009-03-31,160.0,160.0,160.0,160.0,0,1,BOC
2009-04-01,160.0,160.0,160.0,160.0,0,1,BOC
2009-04-02,160.0,160.0,160.0,160.0,0,1,BOC
2009-04-03,160.0,160.0,160.0,160.0,0,1,BOC
2009-04-06,160.0,160.0,160.0,160.0,0,1,BOC
2009-04-07,160.0,160.0,160.0,160.0,0,1,BOC
2009-04-08,160.0,160.0,160.0,160.0,0,1,BOC
2009-04-09,160.0,160.0,160.0,160.0,0,1,BOC
2009-04-10,160.0,160.0,160.0,160.0,0,1,BOC
2009-04-13,160.0,160.0,160.0,160.0,0,1,BOC
2009-04-14,151.0,160.0,160.0,160.0,0,1,BOC
2009-04-15,160.0,160.0,160.0,160.0,0,1,BOC
2009-04-16,160.0,160.0,160.0,160.0,0,1,BOC
2009-04-17,160.0,160.0,160.0,160.0,0,1,BOC
2009-04-20,160.0,160.0,160.0,160.0,0,1,BOC
2009-04-21,160.0,160.0,160.0,160.0,0,1,BOC
2009-04-22,160.0,160.0,160.0,160.0,0,1,BOC
2009-04-23,160.0,160.0,160.0,160.0,0,1,BOC
2009-04-24,160.0,160.0,160.0,160.0,0,1,BOC
2009-04-27,160.0,160.0,160.0,160.0,0,1,BOC
2009-04-28,160.0,160.0,160.0,160.0,0,1,BOC
2009-04-29,160.0,160.0,160.0,160.0,0,1,BOC
2009-04-30,160.0,160.0,160.0,160.0,0,1,BOC
2009-05-01,160.0,160.0,160.0,160.0,0,1,BOC
2009-05-04,160.0,160.0,160.0,160.0,0,1,BOC
2009-05-05,160.0,160.0,160.0,160.0,0,1,BOC
2009-05-06,160.0,160.0,160.0,160.0,0,1,BOC
2009-05-07,160.0,160.0,160.0,160.0,0,1,BOC
2009-05-08,160.0,160.0,160.0,160.0,0,1,BOC
2009-05-11,160.0,160.0,155.0,159.0,20100,0,BOC
2009-05-12,160.0,160.0,155.0,159.0,20100,1,BOC
2009-05-13,159.0,160.0,160.0,160.0,0,1,BOC
2009-05-14,160.0,160.0,160.0,160.0,0,1,BOC
2009-05-15,160.0,160.0,160.0,160.0,0,1,BOC
2009-05-18,160.0,160.0,160.0,160.0,0,1,BOC
2009-05-19,160.0,160.0,160.0,160.0,0,1,BOC
2009-05-20,160.0,160.0,160.0,160.0,0,1,BOC
2009-05-21,160.0,160.0,160.0,160.0,0,1,BOC
2009-05-22,160.0,160.0,160.0,160.0,0,1,BOC
2009-05-25,160.0,160.0,160.0,160.0,0,1,BOC
2009-05-26,160.0,160.0,160.0,160.0,0,1,BOC
2009-05-27,160.0,160.0,160.0,160.0,0,1,BOC
2009-05-28,160.0,160.0,160.0,160.0,0,1,BOC
2009-05-29,160.0,160.0,160.0,160.0,0,1,BOC
2009-06-01,160.0,160.0,160.0,160.0,0,1,BOC
2009-06-02,160.0,160.0,160.0,160.0,0,1,BOC
2009-06-03,160.0,160.0,160.0,160.0,0,1,BOC
2009-06-04,160.0,160.0,160.0,160.0,0,1,BOC
2009-06-05,160.0,160.0,160.0,160.0,0,1,BOC
2009-06-08,160.0,160.0,160.0,160.0,0,1,BOC
2009-06-09,160.0,160.0,160.0,160.0,0,1,BOC
2009-06-10,160.0,160.0,160.0,160.0,0,1,BOC
2009-06-11,160.0,150.0,145.0,148.0,9400,0,BOC
2009-06-12,160.0,150.0,145.0,148.0,9400,1,BOC
2009-06-15,148.0,160.0,160.0,160.0,0,1,BOC
2009-06-16,160.0,160.0,160.0,160.0,0,1,BOC
2009-06-17,160.0,160.0,160.0,160.0,0,1,BOC
2009-06-18,160.0,160.0,160.0,160.0,0,1,BOC
2009-06-19,160.0,160.0,160.0,160.0,0,1,BOC
2009-06-22,160.0,160.0,160.0,160.0,0,1,BOC
2009-06-23,160.0,160.0,160.0,160.0,0,1,BOC
2009-06-24,160.0,160.0,160.0,160.0,0,1,BOC
2009-06-25,160.0,160.0,160.0,160.0,0,1,BOC
2009-06-26,160.0,160.0,160.0,160.0,0,1,BOC
2009-06-29,160.0,160.0,160.0,160.0,0,1,BOC
2009-06-30,160.0,160.0,160.0,160.0,0,1,BOC
2009-07-01,160.0,160.0,160.0,160.0,0,1,BOC
2009-07-02,160.0,160.0,160.0,160.0,0,1,BOC
2009-07-03,160.0,160.0,160.0,160.0,0,1,BOC
2009-07-06,160.0,160.0,160.0,160.0,0,1,BOC
2009-07-07,160.0,160.0,160.0,160.0,0,1,BOC
