Date,Open,High,Low,Close,Volume,Is_Stale,Ticker
2013-01-02,24.0,24.0,24.0,24.0,0,1,CGEN
2013-01-03,24.0,24.0,24.0,24.0,0,1,CGEN
2013-01-04,24.0,24.0,24.0,24.0,0,1,CGEN
2013-01-07,24.0,24.0,24.0,24.0,0,1,CGEN
2013-01-08,24.0,24.0,24.0,24.0,0,1,CGEN
2013-01-09,24.0,24.0,24.0,24.0,0,1,CGEN
2013-01-10,24.0,24.0,24.0,24.0,0,1,CGEN
2013-01-11,24.0,24.25,24.25,24.25,100,0,CGEN
2013-01-14,24.25,25.25,25.25,25.25,200,0,CGEN
2013-01-15,25.25,26.0,25.0,25.0,4900,0,CGEN
2013-01-16,25.0,25.0,24.25,24.25,1400,0,CGEN
2013-01-17,24.25,24.25,24.25,24.25,0,0,CGEN
2013-01-18,24.25,25.0,25.0,25.0,400,0,CGEN
2013-01-21,25.0,25.0,25.0,25.0,500,0,CGEN
2013-01-22,25.0,25.5,25.5,25.5,300,1,CGEN
2013-01-23,25.5,25.5,25.5,25.5,0,1,CGEN
2013-01-24,25.5,25.5,25.5,25.5,200,1,CGEN
2013-01-25,25.5,25.5,25.5,25.5,0,1,CGEN
2013-01-28,25.5,25.0,24.0,24.0,12500,1,CGEN
2013-01-29,24.0,24.0,24.0,24.0,0,1,CGEN
2013-01-30,24.0,24.0,24.0,24.0,0,1,CGEN
2013-01-31,24.0,24.0,24.0,24.0,6000,1,CGEN
2013-02-01,24.0,23.0,22.5,22.5,6500,0,CGEN
2013-02-04,22.5,24.0,24.0,24.0,7000,1,CGEN
2013-02-05,24.0,24.0,24.0,24.0,0,0,CGEN
2013-02-06,24.0,24.0,24.0,24.0,0,1,CGEN
2013-02-07,24.0,26.25,23.5,26.0,1100,1,CGEN
2013-02-08,26.0,26.0,26.0,26.0,0,1,CGEN
2013-02-11,26.0,26.0,26.0,26.0,0,1,CGEN
2013-02-12,26.0,26.0,26.0,26.0,0,1,CGEN
2013-02-13,26.0,26.0,26.0,26.0,0,1,CGEN
2013-02-14,26.0,26.0,26.0,26.0,0,1,CGEN
2013-02-15,26.0,26.0,26.0,26.0,0,1,CGEN
2013-02-18,26.0,26.0,26.0,26.0,0,1,CGEN
2013-02-19,26.0,26.0,26.0,26.0,0,1,CGEN
2013-02-20,26.0,24.25,24.0,24.0,800,1,CGEN
