Date,Open,High,Low,Close,Volume,Is_Stale,Ticker
2012-01-02,3.95,4.0,3.9,3.95,1570000,1,CIC
2012-01-03,3.95,4.0,3.9,3.95,1570000,1,CIC
2012-01-04,3.95,4.0,3.9,3.95,1570000,1,CIC
2012-01-05,3.95,4.0,3.9,3.95,1570000,1,CIC
2012-01-06,3.95,4.0,3.9,3.95,1570000,1,CIC
2012-01-09,3.95,4.0,3.9,3.95,1570000,1,CIC
2012-01-10,4.9,4.0,3.9,3.9,110200,0,CIC
2012-01-11,3.9,3.7,3.55,3.6,1190000,0,CIC
2012-01-12,3.9,3.7,3.55,3.6,1190000,1,CIC
2012-01-13,3.6,4.0,3.9,3.95,1570000,1,CIC
2012-01-16,3.95,4.0,3.9,3.95,1570000,1,CIC
2012-01-17,3.95,4.0,3.9,3.95,1570000,1,CIC
2012-01-18,3.95,4.0,3.9,3.95,1570000,1,CIC
2012-01-19,3.95,4.0,3.9,3.95,1570000,1,CIC
2012-01-20,3.95,4.0,3.9,3.95,1570000,1,CIC
2012-01-23,3.95,4.0,3.9,3.95,1570000,1,CIC
2012-01-24,3.95,4.0,3.9,3.95,1570000,1,CIC
2012-01-25,3.95,4.0,3.9,3.95,1570000,1,CIC
2012-01-26,3.95,4.0,3.9,3.95,1570000,1,CIC
2012-01-27,3.95,4.0,3.9,3.95,1570000,1,CIC
2012-01-30,3.95,4.0,3.9,3.95,1570000,1,CIC
2012-01-31,3.95,4.0,3.9,3.95,1570000,1,CIC
2012-02-01,3.95,4.0,3.9,3.95,1570000,1,CIC
2012-02-02,3.95,4.0,3.9,3.95,1570000,1,CIC
2012-02-03,3.95,4.0,3.9,3.95,1570000,1,CIC
2012-02-06,3.95,4.0,3.9,3.95,1570000,1,CIC
2012-02-07,3.95,4.0,3.9,3.95,1570000,1,CIC
2012-02-08,3.95,5.0,4.7,4.85,521000,0,CIC
2012-02-09,3.95,5.0,4.7,4.85,521000,1,CIC
2012-02-10,4.85,3.95,3.8,3.8,443600,0,CIC
2012-02-13,3.55,4.0,3.9,3.95,1570000,1,CIC
2012-02-14,3.95,4.0,3.9,3.95,1570000,1,CIC
2012-02-15,3.95,4.0,3.9,3.95,1570000,1,CIC
2012-02-16,3.95,4.0,3.9,3.95,1570000,1,CIC
2012-02-17,3.95,4.0,3.9,3.95,1570000,1,CIC
2012-02-20,3.95,4.0,3.9,3.95,1570000,1,CIC
2012-02-21,3.95,4.0,3.9,3.95,1570000,1,CIC
2012-02-22,3.95,4.0,3.9,3.95,1570000,1,CIC
2012-02-23,3.95,4.0,3.9,3.95,1570000,1,CIC
2012-02-24,3.95,4.0,3.9,3.95,1570000,1,CIC
2012-02-27,3.95,4.0,3.9,3.95,1570000,1,CIC
2012-02-28,3.95,4.0,3.9,3.95,1570000,1,CIC
2012-02-29,3.95,4.0,3.9,3.95,1570000,1,CIC
2012-03-01,3.95,4.0,3.9,3.95,1570000,1,CIC
2012-03-02,3.95,4.0,3.9,3.95,1570000,1,CIC
2012-03-05,3.95,4.0,3.9,3.95,1570000,1,CIC
2012-03-06,3.95,4.0,3.9,3.95,1570000,1,CIC
2012-03-07,3.95,4.0,3.9,3.95,1570000,1,CIC
2012-03-08,3.95,5.0,4.75,4.8,671200,0,CIC
2012-03-09,4.8,3.9,3.7,3.75,1020000,0,CIC
2012-03-12,3.8,3.45,3.3,3.35,455400,0,CIC
2012-03-13,3.35,4.0,3.9,3.95,1570000,1,CIC
2012-03-14,3.95,4.0,3.9,3.95,1570000,1,CIC
2012-03-15,3.95,4.0,3.9,3.95,1570000,1,CIC
2012-03-16,3.95,4.0,3.9,3.95,1570000,1,CIC
2012-03-19,3.95,4.0,3.9,3.95,1570000,1,CIC
2012-03-20,3.95,4.0,3.9,3.95,1570000,1,CIC
2012-03-21,3.95,4.0,3.9,3.95,1570000,1,CIC
2012-03-22,3.95,4.0,3.9,3.95,1570000,1,CIC
2012-03-23,3.95,4.0,3.9,3.95,1570000,1,CIC
2012-03-26,3.95,4.0,3.9,3.95,1570000,1,CIC
2012-03-27,3.95,4.0,3.9,3.95,1570000,1,CIC
2012-03-28,3.95,4.0,3.9,3.95,1570000,1,CIC
2012-03-29,3.95,4.0,3.9,3.95,1570000,1,CIC
2012-03-30,3.95,4.0,3.9,3.95,1570000,1,CIC
2012-04-02,3.95,4.0,3.9,3.95,1570000,1,CIC
2012-04-03,3.95,4.0,3.9,3.95,1570000,1,CIC
2012-04-04,3.95,4.0,3.9,3.95,1570000,1,CIC
2012-04-05,3.95,4.0,3.9,3.95,1570000,1,CIC
2012-04-06,3.95,4.0,3.9,3.95,1570000,1,CIC
2012-04-09,3.95,3.9,3.75,3.75,1130000,1,CIC
2012-04-10,3.75,3.85,3.75,3.75,712800,0,CIC
2012-04-11,3.75,3.85,3.75,3.75,712800,1,CIC
2012-04-12,3.75,3.45,3.2,3.35,573300,0,CIC
2012-04-13,3.35,4.0,3.9,3.95,1570000,1,CIC
2012-04-16,3.95,4.0,3.9,3.95,1570000,1,CIC
2012-04-17,3.95,4.0,3.9,3.95,1570000,1,CIC
2012-04-18,3.95,4.0,3.9,3.95,1570000,1,CIC
2012-04-19,3.95,4.0,3.9,3.95,1570000,1,CIC
2012-04-20,3.95,4.0,3.9,3.95,1570000,1,CIC
2012-04-23,3.95,4.0,3.9,3.95,1570000,1,CIC
2012-04-24,3.95,4.0,3.9,3.95,1570000,1,CIC
2012-04-25,3.95,4.0,3.9,3.95,1570000,1,CIC
2012-04-26,3.95,4.0,3.9,3.95,1570000,1,CIC
2012-04-27,3.95,4.0,3.9,3.95,1570000,1,CIC
2012-04-30,3.95,4.0,3.9,3.95,1570000,1,CIC
2012-05-01,3.95,4.0,3.9,3.95,1570000,1,CIC
2012-05-02,3.95,4.0,3.9,3.95,1570000,1,CIC
2012-05-03,3.95,4.0,3.9,3.95,1570000,1,CIC
2012-05-04,3.95,4.0,3.9,3.95,1570000,1,CIC
2012-05-07,3.95,4.0,3.9,3.95,1570000,1,CIC
2012-05-08,3.95,4.0,3.9,3.95,1570000,1,CIC
2012-05-09,3.95,3.8,3.65,3.7,1350000,0,CIC
2012-05-10,3.7,3.75,3.6,3.7,560700,0,CIC
2012-05-11,3.7,3.7,3.6,3.6,84800,0,CIC
2012-05-14,3.1,4.0,3.9,3.95,1570000,1,CIC
2012-05-15,3.95,4.0,3.9,3.95,1570000,1,CIC
2012-05-16,3.95,4.0,3.9,3.95,1570000,1,CIC
2012-05-17,3.95,4.0,3.9,3.95,1570000,1,CIC
2012-05-18,3.95,4.0,3.9,3.95,1570000,1,CIC
2012-05-21,3.95,4.0,3.9,3.95,1570000,1,CIC
2012-05-22,3.95,4.0,3.9,3.95,1570000,1,CIC
2012-05-23,3.95,4.0,3.9,3.95,1570000,1,CIC
2012-05-24,3.95,4.0,3.9,3.95,1570000,1,CIC
2012-05-25,3.95,4.0,3.9,3.95,1570000,1,CIC
2012-05-28,3.95,4.0,3.9,3.95,1570000,1,CIC
2012-05-29,3.95,4.0,3.9,3.95,1570000,1,CIC
2012-05-30,3.95,4.0,3.9,3.95,1570000,1,CIC
2012-05-31,3.95,4.0,3.9,3.95,1570000,1,CIC
2012-06-01,3.95,4.0,3.9,3.95,1570000,1,CIC
2012-06-04,3.95,4.0,3.9,3.95,1570000,1,CIC
2012-06-05,3.95,4.0,3.9,3.95,1570000,1,CIC
2012-06-06,3.95,4.0,3.9,3.95,1570000,1,CIC
2012-06-07,3.95,4.0,3.9,3.95,1570000,1,CIC
2012-06-08,3.95,4.9,4.65,4.75,1490000,0,CIC
2012-06-11,3.7,3.7,3.55,3.6,335300,0,CIC
2012-06-12,3.6,3.2,3.1,3.1,1300000,1,CIC
2012-06-13,3.6,3.2,3.1,3.1,1300000,1,CIC
2012-06-14,3.6,3.2,3.1,3.1,1300000,1,CIC
2012-06-15,3.6,3.2,3.1,3.1,1300000,1,CIC
2012-06-18,3.6,3.2,3.1,3.1,1300000,1,CIC
2012-06-19,3.6,3.2,3.1,3.1,1300000,1,CIC
2012-06-20,3.6,3.2,3.1,3.1,1300000,1,CIC
2012-06-21,3.6,3.2,3.1,3.1,1300000,1,CIC
2012-06-22,3.6,3.2,3.1,3.1,1300000,1,CIC
2012-06-25,3.6,3.2,3.1,3.1,1300000,1,CIC
2012-06-26,3.6,3.2,3.1,3.1,1300000,1,CIC
2012-06-27,3.6,3.2,3.1,3.1,1300000,1,CIC
2012-06-28,3.6,3.2,3.1,3.1,1300000,1,CIC
2012-06-29,3.6,3.2,3.1,3.1,1300000,1,CIC
2012-07-02,3.1,4.0,3.9,3.95,1570000,1,CIC
2012-07-03,3.95,4.0,3.9,3.95,1570000,1,CIC
2012-07-04,3.95,4.0,3.9,3.95,1570000,1,CIC
2012-07-05,3.95,4.0,3.9,3.95,1570000,1,CIC
2012-07-06,3.95,4.0,3.9,3.95,1570000,1,CIC
2012-07-09,4.7,4.1,3.8,3.95,6560000,1,CIC
2012-07-10,4.7,4.1,3.8,3.95,6560000,1,CIC
2012-07-11,3.95,3.75,3.5,3.55,597000,0,CIC
2012-07-12,3.55,3.25,3.1,3.15,677100,1,CIC
2012-07-13,3.55,3.25,3.1,3.15,677100,1,CIC
2012-07-16,3.55,3.25,3.1,3.15,677100,1,CIC
2012-07-17,3.55,3.25,3.1,3.15,677100,1,CIC
2012-07-18,3.15,7.0,4.0,5.25,1620000,0,CIC
2012-07-19,5.25,5.0,4.75,4.8,5700000,0,CIC
2012-07-20,4.8,4.75,4.5,4.6,2040000,0,CIC
2012-07-23,4.6,4.75,4.15,4.35,461300,0,CIC
2012-07-24,4.35,4.35,4.15,4.25,4820000,0,CIC
2012-07-25,4.25,4.25,3.95,4.05,2160000,0,CIC
2012-07-26,4.05,4.3,4.1,4.15,3330000,0,CIC
2012-07-27,4.15,4.55,4.3,4.45,920300,0,CIC
2012-07-30,4.45,4.95,4.6,4.75,483600,0,CIC
2012-07-31,4.75,5.2,5.0,5.15,1680000,0,CIC
2012-08-01,4.75,5.2,5.0,5.15,1680000,1,CIC
2012-08-02,5.15,4.0,3.9,3.95,1570000,1,CIC
2012-08-03,3.95,4.0,3.9,3.95,1570000,1,CIC
2012-08-06,3.95,4.0,3.9,3.95,1570000,1,CIC
2012-08-07,3.95,4.0,3.9,3.95,1570000,1,CIC
2012-08-08,3.95,4.8,4.5,4.55,319100,0,CIC
2012-08-09,3.95,4.8,4.5,4.55,319100,1,CIC
2012-08-10,4.55,3.75,3.6,3.7,448000,0,CIC
2012-08-13,3.6,4.7,4.45,4.55,1010000,0,CIC
2012-08-14,4.55,4.55,4.25,4.4,608400,0,CIC
2012-08-15,4.4,4.5,4.3,4.4,470100,0,CIC
2012-08-16,4.4,4.5,4.3,4.35,750900,0,CIC
2012-08-17,4.35,4.45,4.25,4.25,755700,0,CIC
2012-08-20,4.35,4.45,4.25,4.25,755700,1,CIC
2012-08-21,4.25,4.3,4.2,4.2,465100,1,CIC
2012-08-22,4.2,4.35,4.15,4.2,1450000,1,CIC
2012-08-23,4.2,4.25,4.2,4.2,522700,1,CIC
2012-08-24,4.2,4.35,4.2,4.2,935700,1,CIC
2012-08-27,4.2,4.3,4.05,4.1,1040000,0,CIC
2012-08-28,4.1,4.2,3.85,3.95,1940000,0,CIC
2012-08-29,3.95,4.0,3.9,3.9,579300,0,CIC
2012-08-30,3.9,4.0,3.8,3.85,2170000,0,CIC
2012-08-31,3.85,3.9,3.7,3.75,550500,0,CIC
2012-09-03,3.95,4.0,3.9,3.95,1570000,1,CIC
2012-09-04,3.95,4.0,3.9,3.95,1570000,1,CIC
2012-09-05,3.95,4.0,3.9,3.95,1570000,1,CIC
2012-09-06,3.95,4.0,3.9,3.95,1570000,1,CIC
2012-09-07,3.95,4.0,3.9,3.95,1570000,1,CIC
2012-09-10,4.45,3.7,3.65,3.65,673200,0,CIC
2012-09-11,3.65,3.7,3.55,3.55,1020000,0,CIC
2012-09-12,3.65,3.7,3.55,3.55,1020000,1,CIC
2012-09-13,3.55,4.0,3.9,3.9,855000,1,CIC
2012-09-14,3.9,4.0,3.85,3.9,1280000,0,CIC
