Date,Open,High,Low,Close,Volume,Is_Stale,Ticker
2013-01-02,42.5,42.5,42.5,42.5,0,0,CRWN
2013-01-03,42.5,42.0,41.25,41.75,38400,1,CRWN
2013-01-04,41.75,41.75,41.75,41.75,0,0,CRWN
2013-01-07,41.75,41.75,41.75,41.75,3000,1,CRWN
2013-01-08,41.75,42.0,42.0,42.0,400,0,CRWN
2013-01-09,42.0,42.5,42.5,42.5,700,0,CRWN
2013-01-10,42.5,43.0,43.0,43.0,1500,0,CRWN
2013-01-11,43.0,42.5,42.5,42.5,5800,0,CRWN
2013-01-14,42.5,42.5,42.5,42.5,0,0,CRWN
2013-01-15,42.5,42.0,42.0,42.0,100,0,CRWN
2013-01-16,42.0,43.0,42.5,42.5,44900,1,CRWN
2013-01-17,42.5,42.5,42.5,42.5,0,1,CRWN
2013-01-18,42.5,42.5,42.5,42.5,3500,1,CRWN
2013-01-21,42.5,42.75,42.5,42.5,10300,1,CRWN
2013-01-22,42.5,43.0,42.5,42.5,17700,1,CRWN
2013-01-23,42.5,42.5,42.5,42.5,0,1,CRWN
2013-01-24,42.5,42.5,42.5,42.5,800,1,CRWN
2013-01-25,42.5,42.5,42.5,42.5,1000,1,CRWN
2013-01-28,42.5,42.5,42.5,42.5,500,1,CRWN
2013-01-29,42.5,42.5,42.5,42.5,0,1,CRWN
2013-01-30,42.5,42.5,42.5,42.5,200,1,CRWN
2013-01-31,42.5,42.5,42.5,42.5,100,1,CRWN
2013-02-01,42.5,42.5,42.5,42.5,700,1,CRWN
2013-02-04,42.5,42.5,42.5,42.5,0,1,CRWN
2013-02-05,42.5,42.5,42.5,42.5,100,1,CRWN
2013-02-06,42.5,42.0,42.0,42.0,800,0,CRWN
2013-02-07,42.0,42.75,42.5,42.5,3100,0,CRWN
2013-02-08,42.5,42.5,42.5,42.5,0,0,CRWN
2013-02-11,42.5,42.75,39.0,40.75,200,0,CRWN
2013-02-12,40.75,42.5,42.5,42.5,4500,0,CRWN
2013-02-13,42.5,43.0,42.5,42.75,18500,1,CRWN
2013-02-14,42.75,43.0,42.5,42.75,15300,1,CRWN
2013-02-15,42.75,42.75,42.75,42.75,0,1,CRWN
2013-02-18,42.75,42.75,42.75,42.75,0,1,CRWN
2013-02-19,42.75,45.0,42.0,43.0,1500,0,CRWN
2013-02-20,43.0,43.0,43.0,43.0,0,0,CRWN
2013-02-21,43.0,42.5,42.5,42.5,6000,0,CRWN
2013-02-22,42.5,41.0,41.0,41.0,1200,0,CRWN
2013-02-25,41.0,42.5,42.5,42.5,5300,1,CRWN
2013-02-26,42.5,42.5,42.5,42.5,200,1,CRWN
2013-02-27,42.5,42.5,42.5,42.5,1100,1,CRWN
2013-02-28,42.5,42.5,42.5,42.5,0,1,CRWN
2013-03-01,42.5,42.5,42.5,42.5,0,1,CRWN
2013-03-04,42.5,42.5,42.5,42.5,0,1,CRWN
2013-03-05,42.5,42.5,42.5,42.5,0,1,CRWN
2013-03-06,42.5,46.0,46.0,46.0,900,0,CRWN
2013-03-07,46.0,43.0,43.0,43.0,6600,0,CRWN
2013-03-08,43.0,46.0,46.0,46.0,4000,0,CRWN
2013-03-11,46.0,46.0,46.0,46.0,2000,0,CRWN
2013-03-12,46.0,46.5,46.0,46.25,1600,0,CRWN
2013-03-13,46.25,46.5,46.5,46.5,700,0,CRWN
2013-03-14,46.5,46.5,46.5,46.5,12700,0,CRWN
2013-03-15,46.5,48.0,46.5,47.5,1200,1,CRWN
2013-03-18,47.5,47.5,47.5,47.5,0,0,CRWN
2013-03-19,47.5,47.5,47.5,47.5,0,1,CRWN
2013-03-20,47.5,47.5,46.5,47.0,6900,0,CRWN
2013-03-21,47.0,47.0,47.0,47.0,0,0,CRWN
2013-03-22,47.0,48.5,46.5,47.75,11200,0,CRWN
2013-03-25,47.75,46.5,46.5,46.5,700,0,CRWN
2013-03-26,46.5,47.0,47.0,47.0,100,0,CRWN
2013-03-27,47.0,48.0,47.75,47.75,300,0,CRWN
2013-03-28,47.75,49.0,48.0,48.0,20400,1,CRWN
2013-03-29,47.75,49.0,48.0,48.0,20400,1,CRWN
2013-04-01,47.75,49.0,48.0,48.0,20400,1,CRWN
2013-04-02,48.0,49.5,49.5,49.5,2900,0,CRWN
2013-04-03,49.5,54.0,53.0,53.5,16200,0,CRWN
2013-04-04,53.5,55.0,53.0,54.5,55400,1,CRWN
2013-04-05,54.5,55.0,54.0,54.5,1200,1,CRWN
2013-04-08,54.5,55.5,54.0,54.5,4300,1,CRWN
2013-04-09,54.5,55.5,54.0,54.5,4300,1,CRWN
2013-04-10,54.5,56.0,55.0,55.0,2000,1,CRWN
2013-04-11,55.0,55.0,55.0,55.0,1100,0,CRWN
2013-04-12,55.0,55.5,55.0,55.0,2500,1,CRWN
2013-04-15,55.0,56.5,55.0,56.0,1300,0,CRWN
2013-04-16,56.0,56.0,55.0,55.0,5700,1,CRWN
2013-04-17,55.0,55.0,55.0,55.0,5200,1,CRWN
2013-04-18,55.0,55.0,55.0,55.0,40100,1,CRWN
2013-04-19,55.0,56.5,55.0,55.0,2600,1,CRWN
2013-04-22,55.0,56.0,55.0,55.0,35900,1,CRWN
2013-04-23,55.0,58.0,56.0,56.0,3000,0,CRWN
2013-04-24,56.0,58.0,58.0,58.0,5600,0,CRWN
2013-04-25,58.0,56.0,56.0,56.0,10000,1,CRWN
2013-04-26,56.0,56.0,56.0,56.0,2700,0,CRWN
2013-04-29,56.0,56.0,56.0,56.0,4600,1,CRWN
2013-04-30,56.0,58.0,55.0,56.5,600,1,CRWN
2013-05-01,56.0,58.0,55.0,56.5,600,1,CRWN
2013-05-02,56.5,56.5,56.5,56.5,0,1,CRWN
2013-05-03,56.5,56.5,56.5,56.5,0,1,CRWN
2013-05-06,56.5,51.0,51.0,51.0,9700,0,CRWN
2013-05-07,51.0,52.0,51.0,51.5,1700,0,CRWN
