Date,Open,High,Low,Close,Volume,Is_Stale,Ticker
2013-01-02,12.2,12.4,12.2,12.2,11200,0,CTUM
2013-01-03,12.2,12.4,12.05,12.2,27800,0,CTUM
2013-01-04,12.2,12.6,12.05,12.55,53900,0,CTUM
2013-01-07,12.55,12.55,12.4,12.45,42600,0,CTUM
2013-01-08,12.45,12.5,12.3,12.45,48200,0,CTUM
2013-01-09,12.45,12.65,12.4,12.5,127400,0,CTUM
2013-01-10,12.5,12.5,12.35,12.4,43400,0,CTUM
2013-01-11,12.4,12.4,12.2,12.25,13700,0,CTUM
2013-01-14,12.25,12.6,12.3,12.4,626000,0,CTUM
2013-01-15,12.4,12.65,12.4,12.6,39200,0,CTUM
2013-01-16,12.6,13.45,12.7,13.0,86600,0,CTUM
2013-01-17,13.0,14.3,13.35,13.75,291000,0,CTUM
2013-01-18,13.75,13.8,12.9,13.45,138100,0,CTUM
2013-01-21,13.45,12.95,12.7,12.85,43300,0,CTUM
2013-01-22,12.85,13.0,12.7,12.95,263100,1,CTUM
2013-01-23,12.95,13.0,12.8,12.95,1158000,0,CTUM
2013-01-24,12.95,13.0,12.9,12.95,320200,1,CTUM
2013-01-25,12.95,13.0,12.85,12.9,20100,0,CTUM
2013-01-28,12.9,13.4,13.0,13.15,832900,0,CTUM
2013-01-29,13.15,13.45,13.05,13.3,586500,0,CTUM
2013-01-30,13.3,13.15,13.05,13.05,13500,0,CTUM
2013-01-31,13.05,13.4,13.1,13.25,51600,1,CTUM
2013-02-01,13.25,13.45,13.25,13.25,52000,0,CTUM
2013-02-04,13.25,13.5,13.2,13.25,42000,1,CTUM
2013-02-05,13.25,13.5,13.35,13.45,66800,0,CTUM
2013-02-06,13.45,13.75,13.45,13.55,107000,0,CTUM
2013-02-07,13.55,14.05,13.7,13.8,400100,0,CTUM
2013-02-08,13.8,15.0,14.25,14.45,246400,0,CTUM
2013-02-11,14.45,15.25,14.5,14.9,459100,0,CTUM
2013-02-12,14.9,15.1,14.55,15.0,155900,1,CTUM
2013-02-13,15.0,15.15,14.9,15.0,333700,0,CTUM
2013-02-14,15.0,15.05,14.9,15.0,715600,1,CTUM
2013-02-15,15.0,15.05,14.8,14.85,24500,0,CTUM
2013-02-18,14.85,15.0,14.35,14.8,232900,0,CTUM
2013-02-19,14.8,14.85,14.35,14.8,322800,0,CTUM
2013-02-20,14.8,14.6,13.4,13.65,49400,0,CTUM
