Date,Open,High,Low,Close,Volume,Is_Stale,Ticker
2007-01-02,79.0,84.0,75.0,79.0,164600,0,DTK
2007-01-03,79.0,70.0,63.0,67.0,109000,1,DTK
2007-01-04,79.0,70.0,63.0,67.0,109000,1,DTK
2007-01-05,79.0,70.0,63.0,67.0,109000,1,DTK
2007-01-08,67.0,102.0,91.0,96.5,28200,0,DTK
2007-01-09,67.0,102.0,91.0,96.5,28200,1,DTK
2007-01-10,96.5,100.0,95.0,97.5,35400,0,DTK
2007-01-11,97.5,88.0,85.0,86.0,3500,0,DTK
2007-01-12,97.5,88.0,85.0,86.0,3500,1,DTK
2007-01-15,86.0,84.0,80.0,83.0,22500,0,DTK
2007-01-16,83.0,84.0,80.0,82.0,27100,0,DTK
2007-01-17,82.0,83.0,78.0,79.0,69700,0,DTK
2007-01-18,79.0,85.0,77.0,80.0,213400,0,DTK
2007-01-19,80.0,84.0,77.0,79.5,201200,0,DTK
2007-01-22,79.5,84.0,78.0,79.5,52700,0,DTK
2007-01-23,79.5,84.0,80.0,80.5,19600,0,DTK
2007-01-24,80.5,83.0,78.0,79.0,144300,0,DTK
2007-01-25,79.0,85.0,79.0,81.0,220500,0,DTK
2007-01-26,81.0,85.0,80.0,83.5,70000,0,DTK
2007-01-29,83.5,84.0,79.0,80.5,37900,0,DTK
2007-01-30,80.5,83.0,78.0,79.5,173700,0,DTK
2007-01-31,79.5,80.0,74.5,77.5,74100,1,DTK
2007-02-01,77.5,79.0,72.0,77.5,59700,0,DTK
2007-02-02,77.5,80.0,74.0,77.5,39000,1,DTK
2007-02-05,73.0,74.0,73.0,73.5,4300,0,DTK
2007-02-06,73.0,74.0,73.0,73.5,4300,1,DTK
2007-02-07,73.5,88.0,81.0,84.5,37100,0,DTK
2007-02-08,84.5,105.0,96.0,100.0,104200,1,DTK
2007-02-09,84.5,105.0,96.0,100.0,104200,1,DTK
2007-02-12,84.5,105.0,96.0,100.0,104200,1,DTK
2007-02-13,84.0,76.0,75.0,75.0,58600,0,DTK
2007-02-14,75.0,80.0,71.0,76.0,111900,0,DTK
2007-02-15,76.0,78.0,75.5,77.0,27300,0,DTK
2007-02-16,77.0,80.0,74.5,77.5,153200,0,DTK
2007-02-19,77.5,78.0,76.0,76.5,23500,0,DTK
2007-02-20,76.5,80.0,77.5,78.0,33900,0,DTK
2007-02-21,78.0,80.0,72.0,76.5,44600,0,DTK
2007-02-22,76.5,78.0,73.0,73.5,144000,0,DTK
2007-02-23,73.5,74.0,72.0,72.0,41600,0,DTK
2007-02-26,72.0,74.0,65.0,69.5,301700,0,DTK
2007-02-27,69.5,73.0,63.0,68.0,66600,0,DTK
2007-02-28,68.0,71.0,66.0,69.5,115200,0,DTK
2007-03-01,69.5,80.0,76.0,76.0,58100,0,DTK
2007-03-02,69.5,80.0,76.0,76.0,58100,1,DTK
2007-03-05,74.0,76.0,73.0,75.0,47300,0,DTK
2007-03-06,74.0,76.0,73.0,75.0,47300,1,DTK
2007-03-07,75.0,89.0,81.0,87.0,7500,0,DTK
2007-03-08,87.0,103.0,98.0,101.0,196600,0,DTK
2007-03-09,101.0,100.0,99.0,99.5,18900,0,DTK
2007-03-12,102.0,93.0,88.0,92.0,61000,0,DTK
2007-03-13,92.0,75.0,69.0,71.5,40800,0,DTK
2007-03-14,71.5,70.5,68.0,69.5,93800,0,DTK
2007-03-15,69.5,70.0,68.0,69.5,8300,0,DTK
2007-03-16,69.5,70.5,69.5,70.0,18300,0,DTK
2007-03-19,70.0,69.0,68.0,68.0,8300,0,DTK
2007-03-20,68.0,69.0,67.0,68.0,14000,0,DTK
2007-03-21,68.0,68.0,62.0,67.0,79100,0,DTK
2007-03-22,67.0,67.0,60.5,62.0,23500,0,DTK
2007-03-23,62.0,61.0,55.0,60.0,10300,0,DTK
2007-03-26,60.0,63.0,60.0,61.0,11600,0,DTK
2007-03-27,61.0,66.5,63.0,65.0,26600,0,DTK
2007-03-28,65.0,72.5,62.0,66.5,69900,0,DTK
2007-03-29,66.5,75.0,71.0,72.0,50900,0,DTK
2007-03-30,72.0,78.0,72.0,74.0,234900,1,DTK
2007-04-02,72.0,78.0,72.0,74.0,234900,1,DTK
2007-04-03,72.0,78.0,72.0,74.0,234900,1,DTK
2007-04-04,79.5,78.0,73.0,75.0,70700,0,DTK
2007-04-05,75.0,75.0,74.0,74.5,3300,0,DTK
2007-04-06,74.5,76.0,74.0,75.0,40400,0,DTK
2007-04-09,85.5,99.5,98.5,99.0,32900,0,DTK
2007-04-10,99.0,105.0,97.0,102.0,51500,0,DTK
2007-04-11,99.0,105.0,97.0,102.0,51500,1,DTK
2007-04-12,102.0,94.0,90.0,93.5,38700,0,DTK
2007-04-13,93.5,77.0,75.0,75.0,36300,0,DTK
2007-04-16,75.0,79.0,69.0,75.5,33300,0,DTK
2007-04-17,75.5,76.0,69.0,71.0,11300,0,DTK
2007-04-18,71.0,70.5,70.0,70.0,8000,0,DTK
2007-04-19,70.0,70.0,65.5,69.5,7000,0,DTK
2007-04-20,69.5,75.0,69.0,72.0,24800,1,DTK
2007-04-23,72.0,77.0,69.0,72.0,18400,0,DTK
2007-04-24,72.0,75.0,70.5,72.0,23400,1,DTK
2007-04-25,72.0,75.0,72.0,74.5,45900,0,DTK
2007-04-26,74.5,77.0,74.5,76.5,24600,0,DTK
2007-04-27,76.5,76.0,71.0,74.5,20500,0,DTK
2007-04-30,74.5,74.0,72.0,73.5,2300,0,DTK
2007-05-01,73.5,86.0,80.0,83.5,35800,0,DTK
2007-05-02,83.5,78.0,74.5,75.5,104800,0,DTK
2007-05-03,75.5,80.5,67.0,73.5,238600,0,DTK
2007-05-04,73.5,80.0,76.0,76.0,81400,0,DTK
2007-05-07,79.0,90.0,85.0,88.0,43500,0,DTK
2007-05-08,79.0,90.0,85.0,88.0,43500,1,DTK
2007-05-09,88.0,101.0,99.0,99.5,23300,0,DTK
2007-05-10,99.5,100.0,94.0,95.5,58600,0,DTK
2007-05-11,95.5,85.5,83.0,83.0,32700,0,DTK
2007-05-14,93.0,72.5,69.5,72.0,51600,0,DTK
2007-05-15,72.0,74.0,69.0,72.5,56800,0,DTK
2007-05-16,72.5,73.0,71.5,72.0,17900,0,DTK
2007-05-17,72.0,74.0,72.0,72.0,37500,0,DTK
2007-05-18,72.0,75.0,73.5,73.5,31300,0,DTK
2007-05-21,73.5,73.5,72.5,72.5,67100,0,DTK
2007-05-22,72.5,75.0,65.5,73.5,53100,0,DTK
2007-05-23,73.5,76.0,73.0,75.0,87800,0,DTK
2007-05-24,75.0,77.0,70.0,74.5,121100,0,DTK
2007-05-25,74.5,77.0,73.0,74.5,118100,0,DTK
2007-05-28,74.5,75.0,75.0,75.0,14200,0,DTK
2007-05-29,75.0,76.5,69.5,74.5,56400,0,DTK
2007-05-30,74.5,74.5,73.5,73.5,18100,0,DTK
2007-05-31,73.5,75.0,74.0,74.5,268000,1,DTK
2007-06-01,73.5,75.0,74.0,74.5,268000,1,DTK
2007-06-04,73.5,75.0,74.0,74.5,268000,1,DTK
2007-06-05,73.5,75.0,74.0,74.5,268000,1,DTK
2007-06-06,69.5,80.0,75.0,79.0,114800,0,DTK
2007-06-07,79.0,89.0,84.0,88.0,77100,0,DTK
2007-06-08,88.0,102.0,94.0,99.5,67300,0,DTK
