Date,Open,High,Low,Close,Volume,Is_Stale,Ticker
2007-01-02,148.0,150.0,143.0,148.0,101000,0,EABL
2007-01-03,148.0,150.0,135.0,144.0,317600,1,EABL
2007-01-04,148.0,150.0,135.0,144.0,317600,1,EABL
2007-01-05,148.0,150.0,135.0,144.0,317600,1,EABL
2007-01-08,144.0,155.0,150.0,153.0,309800,0,EABL
2007-01-09,144.0,155.0,150.0,153.0,309800,1,EABL
2007-01-10,153.0,175.0,165.0,172.0,49100,0,EABL
2007-01-11,172.0,157.0,142.0,153.0,557000,0,EABL
2007-01-12,172.0,157.0,142.0,153.0,557000,1,EABL
2007-01-15,153.0,148.0,146.0,147.0,248700,0,EABL
2007-01-16,147.0,149.0,139.0,147.0,474900,0,EABL
2007-01-17,147.0,149.0,140.0,144.0,126500,0,EABL
2007-01-18,144.0,149.0,142.0,145.0,190400,0,EABL
2007-01-19,145.0,150.0,140.0,147.0,52500,1,EABL
2007-01-22,147.0,149.0,145.0,147.0,82600,0,EABL
2007-01-23,147.0,149.0,142.0,147.0,29300,1,EABL
2007-01-24,147.0,151.0,145.0,148.0,234700,0,EABL
2007-01-25,148.0,149.0,145.0,148.0,164400,0,EABL
2007-01-26,148.0,149.0,145.0,146.0,129700,0,EABL
2007-01-29,146.0,153.0,141.0,148.0,217800,1,EABL
2007-01-30,148.0,153.0,144.0,148.0,209400,0,EABL
2007-01-31,148.0,150.0,145.0,148.0,85700,1,EABL
2007-02-01,148.0,140.0,138.0,139.0,28100,0,EABL
2007-02-02,139.0,149.0,143.0,148.0,159200,0,EABL
2007-02-05,140.0,146.0,142.0,145.0,69800,0,EABL
2007-02-06,140.0,146.0,142.0,145.0,69800,1,EABL
2007-02-07,145.0,155.0,152.0,153.0,37700,0,EABL
2007-02-08,153.0,154.0,152.0,152.0,214900,1,EABL
2007-02-09,153.0,154.0,152.0,152.0,214900,1,EABL
2007-02-12,153.0,154.0,152.0,152.0,214900,1,EABL
2007-02-13,152.0,157.0,155.0,156.0,12900,0,EABL
2007-02-14,156.0,159.0,155.0,155.0,226100,0,EABL
2007-02-15,155.0,157.0,155.0,156.0,69000,0,EABL
2007-02-16,156.0,155.0,150.0,152.0,6300,0,EABL
2007-02-19,152.0,157.0,148.0,154.0,134900,0,EABL
2007-02-20,154.0,156.0,152.0,155.0,89600,0,EABL
2007-02-21,155.0,157.0,154.0,155.0,503200,0,EABL
2007-02-22,155.0,155.0,142.0,154.0,280400,0,EABL
2007-02-23,154.0,150.0,130.0,145.0,81400,0,EABL
2007-02-26,145.0,157.0,142.0,151.0,108000,0,EABL
2007-02-27,151.0,150.0,145.0,147.0,69800,0,EABL
2007-02-28,147.0,146.0,140.0,144.0,219000,0,EABL
2007-03-01,144.0,144.0,139.0,139.0,15400,0,EABL
2007-03-02,144.0,144.0,139.0,139.0,15400,1,EABL
2007-03-05,140.0,146.0,140.0,145.0,131700,0,EABL
2007-03-06,140.0,146.0,140.0,145.0,131700,1,EABL
2007-03-07,145.0,155.0,152.0,153.0,115600,0,EABL
2007-03-08,153.0,154.0,150.0,152.0,2300,0,EABL
2007-03-09,152.0,175.0,161.0,168.0,298500,0,EABL
2007-03-12,171.0,165.0,157.0,163.0,39800,0,EABL
2007-03-13,163.0,145.0,140.0,143.0,686800,0,EABL
2007-03-14,143.0,144.0,140.0,143.0,156000,0,EABL
2007-03-15,143.0,145.0,138.0,141.0,103800,0,EABL
2007-03-16,141.0,144.0,138.0,142.0,309400,0,EABL
2007-03-19,142.0,146.0,140.0,144.0,508600,0,EABL
2007-03-20,144.0,140.0,140.0,140.0,106500,0,EABL
2007-03-21,140.0,140.0,135.0,138.0,99300,0,EABL
2007-03-22,138.0,136.0,130.0,131.0,41400,0,EABL
2007-03-23,131.0,130.0,127.0,128.0,145600,0,EABL
2007-03-26,128.0,130.0,126.0,128.0,62800,0,EABL
2007-03-27,128.0,140.0,130.0,139.0,92000,0,EABL
2007-03-28,139.0,143.0,130.0,139.0,243800,0,EABL
2007-03-29,139.0,142.0,135.0,141.0,1430000,0,EABL
2007-03-30,141.0,145.0,140.0,140.0,51100,1,EABL
2007-04-02,141.0,145.0,140.0,140.0,51100,1,EABL
2007-04-03,141.0,145.0,140.0,140.0,51100,1,EABL
2007-04-04,140.0,141.0,135.0,138.0,39900,0,EABL
2007-04-05,138.0,155.0,142.0,146.0,150600,0,EABL
2007-04-06,146.0,145.0,143.0,144.0,14600,0,EABL
2007-04-09,152.0,175.0,165.0,170.0,75100,0,EABL
2007-04-10,170.0,175.0,169.0,171.0,110800,0,EABL
2007-04-11,170.0,175.0,169.0,171.0,110800,1,EABL
2007-04-12,171.0,165.0,157.0,161.0,362600,0,EABL
2007-04-13,161.0,147.0,142.0,145.0,200800,0,EABL
2007-04-16,145.0,148.0,143.0,146.0,39200,0,EABL
2007-04-17,146.0,150.0,144.0,147.0,41200,0,EABL
2007-04-18,147.0,149.0,142.0,147.0,16800,0,EABL
2007-04-19,147.0,148.0,145.0,146.0,42400,1,EABL
2007-04-20,146.0,148.0,145.0,146.0,375700,1,EABL
2007-04-23,146.0,148.0,145.0,146.0,22300,1,EABL
2007-04-24,146.0,147.0,142.0,146.0,792300,1,EABL
2007-04-25,146.0,149.0,140.0,146.0,33000,1,EABL
2007-04-26,146.0,150.0,146.0,147.0,131100,0,EABL
2007-04-27,147.0,148.0,142.0,146.0,84100,0,EABL
2007-04-30,146.0,146.0,140.0,145.0,50200,0,EABL
2007-05-01,145.0,145.0,140.0,140.0,24500,0,EABL
2007-05-02,140.0,150.0,145.0,148.0,134900,0,EABL
2007-05-03,148.0,150.0,137.0,140.0,50200,0,EABL
2007-05-04,140.0,140.0,135.0,139.0,29900,0,EABL
2007-05-07,145.0,155.0,145.0,153.0,72800,0,EABL
2007-05-08,145.0,155.0,145.0,153.0,72800,1,EABL
2007-05-09,153.0,173.0,170.0,171.0,149000,0,EABL
2007-05-10,171.0,175.0,170.0,173.0,78500,0,EABL
2007-05-11,173.0,151.0,144.0,149.0,304100,0,EABL
2007-05-14,164.0,146.0,144.0,145.0,480700,0,EABL
2007-05-15,145.0,148.0,144.0,144.0,1330000,0,EABL
2007-05-16,144.0,146.0,142.0,144.0,150500,0,EABL
2007-05-17,144.0,145.0,143.0,143.0,1230000,0,EABL
2007-05-18,143.0,144.0,143.0,143.0,40900,0,EABL
2007-05-21,143.0,147.0,143.0,144.0,194000,1,EABL
2007-05-22,144.0,149.0,142.0,144.0,187300,0,EABL
2007-05-23,144.0,145.0,143.0,144.0,123500,1,EABL
2007-05-24,144.0,144.0,142.0,143.0,55100,0,EABL
2007-05-25,143.0,145.0,135.0,141.0,17400,0,EABL
2007-05-28,141.0,144.0,138.0,143.0,657600,0,EABL
2007-05-29,143.0,144.0,138.0,143.0,748100,0,EABL
2007-05-30,143.0,145.0,142.0,144.0,337400,1,EABL
2007-05-31,144.0,145.0,144.0,144.0,1190000,1,EABL
2007-06-01,144.0,145.0,144.0,144.0,1190000,1,EABL
2007-06-04,144.0,145.0,144.0,144.0,1190000,1,EABL
2007-06-05,144.0,145.0,144.0,144.0,1190000,1,EABL
2007-06-06,142.0,146.0,144.0,144.0,35400,1,EABL
2007-06-07,144.0,156.0,145.0,152.0,38700,0,EABL
2007-06-08,152.0,155.0,146.0,148.0,65100,0,EABL
2007-06-11,172.0,160.0,145.0,149.0,445200,0,EABL
2007-06-12,149.0,170.0,160.0,167.0,655700,0,EABL
2007-06-13,167.0,147.0,140.0,145.0,128200,1,EABL
2007-06-14,145.0,147.0,144.0,145.0,20300,0,EABL
2007-06-15,145.0,146.0,144.0,145.0,131800,1,EABL
2007-06-18,145.0,150.0,146.0,146.0,12000,0,EABL
2007-06-19,146.0,150.0,145.0,146.0,62400,0,EABL
2007-06-20,146.0,148.0,145.0,147.0,8800,0,EABL
2007-06-21,147.0,150.0,148.0,149.0,45500,1,EABL
2007-06-22,149.0,150.0,147.0,149.0,17600,0,EABL
2007-06-25,149.0,150.0,149.0,149.0,13000,1,EABL
2007-06-26,149.0,155.0,147.0,151.0,221300,0,EABL
2007-06-27,151.0,155.0,148.0,150.0,13200,0,EABL
2007-06-28,150.0,155.0,150.0,154.0,270500,0,EABL
2007-06-29,154.0,156.0,150.0,154.0,83300,0,EABL
2007-07-02,154.0,158.0,148.0,152.0,103900,0,EABL
2007-07-03,152.0,148.0,140.0,144.0,17600,1,EABL
2007-07-04,152.0,148.0,140.0,144.0,17600,1,EABL
2007-07-05,144.0,146.0,144.0,144.0,17100,1,EABL
2007-07-06,144.0,145.0,142.0,144.0,82100,1,EABL
2007-07-09,153.0,180.0,172.0,175.0,253200,0,EABL
2007-07-10,153.0,180.0,172.0,175.0,253200,1,EABL
