Date,Open,High,Low,Close,Volume,Is_Stale,Ticker
2007-01-02,20.3,21.5,20.0,20.3,134100,0,EQTY
2007-01-03,203.0,220.0,205.0,211.0,40300,1,EQTY
2007-01-04,203.0,220.0,205.0,211.0,40300,1,EQTY
2007-01-05,203.0,220.0,205.0,211.0,40300,1,EQTY
2007-01-08,21.1,13.0,12.0,12.6,115400,0,EQTY
2007-01-09,211.0,130.0,120.0,126.0,115400,1,EQTY
2007-01-10,126.0,118.0,115.0,116.0,91400,1,EQTY
2007-01-11,11.6,11.9,11.2,11.6,161900,0,EQTY
2007-01-12,116.0,119.0,112.0,116.0,161900,1,EQTY
2007-01-15,11.6,20.2,19.0,19.8,108900,0,EQTY
2007-01-16,19.8,19.0,17.8,18.8,47700,0,EQTY
2007-01-17,18.8,20.0,17.0,18.4,133500,0,EQTY
2007-01-18,18.4,20.6,19.0,20.0,165900,0,EQTY
2007-01-19,20.0,22.6,20.6,21.5,132700,0,EQTY
2007-01-22,21.5,22.5,20.8,21.4,119600,0,EQTY
2007-01-23,21.4,21.5,20.0,21.1,57500,0,EQTY
2007-01-24,21.1,21.0,19.2,20.5,123500,0,EQTY
2007-01-25,20.5,21.0,19.5,20.7,116200,0,EQTY
2007-01-26,20.7,22.0,20.8,21.0,303500,0,EQTY
2007-01-29,21.0,23.3,21.6,22.3,87500,0,EQTY
2007-01-30,22.3,22.4,21.5,21.7,117600,0,EQTY
2007-01-31,21.7,23.0,20.5,21.3,157500,0,EQTY
2007-02-01,21.3,14.5,14.0,14.1,7500,0,EQTY
2007-02-02,14.1,20.5,19.0,20.0,64300,0,EQTY
2007-02-05,27.4,9.2,8.3,9.1,108600,0,EQTY
2007-02-06,274.0,92.0,83.0,91.0,108600,1,EQTY
2007-02-07,9.1,15.0,14.3,14.6,92400,0,EQTY
2007-02-08,146.0,130.0,120.0,125.0,542000,1,EQTY
2007-02-09,146.0,130.0,120.0,125.0,542000,1,EQTY
2007-02-12,146.0,130.0,120.0,125.0,542000,1,EQTY
2007-02-13,11.5,27.5,22.5,24.7,213500,0,EQTY
2007-02-14,24.7,24.5,22.0,22.9,98400,0,EQTY
2007-02-15,22.9,22.9,22.0,22.4,94500,0,EQTY
2007-02-16,22.4,23.5,22.2,22.6,88300,0,EQTY
2007-02-19,22.6,23.8,23.0,23.4,158400,0,EQTY
2007-02-20,23.4,24.0,22.5,23.5,136700,0,EQTY
2007-02-21,23.5,24.0,23.0,23.5,142500,0,EQTY
2007-02-22,23.5,23.6,22.5,23.1,152800,0,EQTY
2007-02-23,23.1,23.0,22.0,22.5,68500,0,EQTY
2007-02-26,22.5,23.0,21.9,22.2,65100,0,EQTY
2007-02-27,22.2,22.0,21.8,21.9,69200,0,EQTY
2007-02-28,21.9,22.0,21.0,21.7,154800,0,EQTY
2007-03-01,21.7,15.0,14.0,14.4,13300,0,EQTY
2007-03-02,217.0,150.0,140.0,144.0,13300,1,EQTY
2007-03-05,27.6,9.3,8.5,8.95,351600,0,EQTY
2007-03-06,276.0,93.0,85.0,89.5,351600,1,EQTY
2007-03-07,8.95,15.0,14.0,14.7,702100,0,EQTY
2007-03-08,14.7,12.6,11.5,12.2,132200,0,EQTY
2007-03-09,12.2,12.8,12.0,12.2,288100,0,EQTY
2007-03-12,11.1,13.6,13.0,13.2,195500,0,EQTY
2007-03-13,13.2,23.9,23.3,23.7,39500,0,EQTY
2007-03-14,23.7,24.5,23.8,24.0,110700,0,EQTY
