Date,Open,High,Low,Close,Volume,Is_Stale,Ticker
2007-01-02,12.9,13.85,12.5,12.9,412200,0,EVRD
2007-01-03,12.9,11.5,10.6,11.0,71500,1,EVRD
2007-01-04,12.9,11.5,10.6,11.0,71500,1,EVRD
2007-01-05,12.9,11.5,10.6,11.0,71500,1,EVRD
2007-01-08,11.0,8.7,7.6,8.15,85600,0,EVRD
2007-01-09,11.0,8.7,7.6,8.15,85600,1,EVRD
2007-01-10,8.15,8.0,7.5,7.65,40600,0,EVRD
2007-01-11,7.65,7.3,6.9,6.95,26000,0,EVRD
2007-01-12,7.65,7.3,6.9,6.95,26000,1,EVRD
2007-01-15,6.95,16.5,15.2,15.9,571000,0,EVRD
2007-01-16,15.9,16.0,15.25,15.55,235800,0,EVRD
2007-01-17,15.55,16.0,15.2,15.8,314000,0,EVRD
2007-01-18,15.8,16.0,15.0,15.6,448000,0,EVRD
2007-01-19,15.6,16.15,15.0,15.15,439900,0,EVRD
2007-01-22,15.15,15.5,15.0,15.2,296500,0,EVRD
2007-01-23,15.2,15.0,14.1,14.8,232300,0,EVRD
2007-01-24,14.8,15.0,14.0,14.75,208900,0,EVRD
2007-01-25,14.75,15.0,14.2,14.75,318600,0,EVRD
2007-01-26,14.75,15.0,14.0,14.4,171700,0,EVRD
2007-01-29,14.4,14.5,13.5,14.2,186600,0,EVRD
2007-01-30,14.2,14.05,13.5,13.9,188300,0,EVRD
2007-01-31,13.9,13.85,13.0,13.5,355500,0,EVRD
2007-02-01,13.5,18.5,17.0,17.6,437200,0,EVRD
2007-02-02,17.6,13.0,12.0,12.7,218400,0,EVRD
2007-02-05,9.05,9.0,8.55,8.95,132700,0,EVRD
2007-02-06,9.05,9.0,8.55,8.95,132700,1,EVRD
2007-02-07,8.95,8.3,8.0,8.0,200500,0,EVRD
2007-02-08,8.0,8.9,7.65,8.45,77500,1,EVRD
2007-02-09,8.0,8.9,7.65,8.45,77500,1,EVRD
2007-02-12,8.0,8.9,7.65,8.45,77500,1,EVRD
2007-02-13,6.95,13.5,12.5,13.2,154600,0,EVRD
2007-02-14,13.2,13.8,12.1,13.05,178800,0,EVRD
2007-02-15,13.05,13.25,12.0,12.8,185800,0,EVRD
2007-02-16,12.8,13.2,12.0,12.75,94500,0,EVRD
2007-02-19,12.75,12.8,11.9,12.3,112200,0,EVRD
2007-02-20,12.3,12.8,11.9,12.2,142000,0,EVRD
2007-02-21,12.2,13.0,11.8,12.55,254400,0,EVRD
2007-02-22,12.55,12.35,12.0,12.0,221000,0,EVRD
2007-02-23,12.0,12.3,11.0,12.0,163200,0,EVRD
2007-02-26,12.0,12.3,11.2,11.95,92500,0,EVRD
2007-02-27,11.95,12.0,11.0,11.7,111000,0,EVRD
2007-02-28,11.7,12.0,10.5,11.35,78800,0,EVRD
2007-03-01,11.35,18.9,16.0,17.15,495100,0,EVRD
2007-03-02,11.35,18.9,16.0,17.15,495100,1,EVRD
2007-03-05,8.9,9.0,8.55,8.8,114500,0,EVRD
2007-03-06,8.9,9.0,8.55,8.8,114500,1,EVRD
2007-03-07,8.8,8.9,8.1,8.4,2180000,0,EVRD
2007-03-08,8.4,8.8,8.0,8.5,41400,0,EVRD
2007-03-09,8.5,8.1,7.7,7.85,61200,0,EVRD
2007-03-12,7.45,7.45,6.75,7.35,88700,0,EVRD
2007-03-13,7.35,10.5,9.5,10.0,93500,0,EVRD
2007-03-14,10.0,10.2,9.0,9.7,84300,0,EVRD
2007-03-15,9.7,10.5,9.5,9.9,106600,0,EVRD
2007-03-16,9.9,10.7,9.8,10.1,126000,0,EVRD
2007-03-19,10.1,10.0,9.0,9.5,170800,0,EVRD
2007-03-20,9.5,10.0,9.0,9.65,63400,0,EVRD
2007-03-21,9.65,9.5,8.5,9.35,55600,0,EVRD
2007-03-22,9.35,9.95,8.5,9.3,129700,0,EVRD
2007-03-23,9.3,9.0,8.6,8.75,69800,0,EVRD
2007-03-26,8.75,9.0,8.0,8.5,58000,0,EVRD
2007-03-27,8.5,8.5,7.8,7.95,59000,0,EVRD
2007-03-28,7.95,8.7,8.0,8.35,105400,0,EVRD
2007-03-29,8.35,9.3,8.5,8.9,104600,0,EVRD
2007-03-30,8.9,9.5,8.5,9.15,220500,1,EVRD
2007-04-02,8.9,9.5,8.5,9.15,220500,1,EVRD
2007-04-03,8.9,9.5,8.5,9.15,220500,1,EVRD
2007-04-04,17.2,9.5,8.5,9.0,111300,0,EVRD
2007-04-05,9.0,8.95,8.5,8.75,36500,0,EVRD
2007-04-06,8.75,8.8,7.8,8.1,247500,0,EVRD
2007-04-09,8.9,8.6,7.7,8.2,121900,0,EVRD
2007-04-10,8.2,7.5,7.0,7.4,68800,0,EVRD
2007-04-11,8.2,7.5,7.0,7.4,68800,1,EVRD
2007-04-12,7.4,7.6,6.7,7.3,41100,0,EVRD
2007-04-13,7.3,9.15,8.5,8.9,65500,0,EVRD
2007-04-16,8.9,9.55,8.25,8.75,146300,0,EVRD
2007-04-17,8.75,9.45,8.4,8.95,77800,0,EVRD
2007-04-18,8.95,9.5,8.4,9.0,252400,0,EVRD
2007-04-19,9.0,8.85,8.4,8.65,46300,0,EVRD
2007-04-20,8.65,8.85,8.4,8.5,81100,0,EVRD
2007-04-23,8.5,8.85,8.4,8.55,60000,0,EVRD
2007-04-24,8.55,9.0,8.5,8.65,111200,0,EVRD
2007-04-25,8.65,9.15,8.5,8.9,98500,0,EVRD
2007-04-26,8.9,9.0,8.05,8.75,45100,0,EVRD
2007-04-27,8.75,9.05,8.5,8.85,116100,0,EVRD
2007-04-30,8.85,9.15,8.5,8.8,75100,0,EVRD
2007-05-01,8.8,17.3,15.85,16.6,404100,0,EVRD
2007-05-02,16.6,13.0,12.05,12.6,185500,0,EVRD
2007-05-03,12.6,11.5,10.5,11.1,101200,0,EVRD
2007-05-04,11.1,9.3,8.5,9.0,134100,1,EVRD
2007-05-07,7.85,9.3,8.5,9.0,245600,0,EVRD
2007-05-08,7.85,9.3,8.5,9.0,245600,1,EVRD
2007-05-09,9.0,8.75,7.6,8.15,112200,0,EVRD
2007-05-10,8.15,7.5,7.0,7.4,48700,0,EVRD
2007-05-11,7.4,7.0,6.7,6.9,36700,0,EVRD
2007-05-14,6.65,8.5,8.0,8.2,59100,0,EVRD
2007-05-15,8.2,8.5,7.5,8.05,162400,0,EVRD
2007-05-16,8.05,8.5,7.6,8.3,53400,0,EVRD
2007-05-17,8.3,8.5,8.0,8.1,98500,0,EVRD
2007-05-18,8.1,8.5,8.0,8.2,72500,0,EVRD
2007-05-21,8.2,8.3,7.6,8.2,119000,0,EVRD
2007-05-22,8.2,8.5,8.0,8.35,328000,0,EVRD
2007-05-23,8.35,8.7,7.8,8.05,101700,0,EVRD
2007-05-24,8.05,8.5,7.5,8.0,362000,0,EVRD
2007-05-25,8.0,8.5,7.8,8.0,213400,0,EVRD
2007-05-28,8.0,8.8,7.9,8.15,196100,0,EVRD
