Date,Open,High,Low,Close,Volume,Is_Stale,Ticker
2013-07-15,25.0,25.0,25.0,25.0,21400,0,HAFR
2013-07-16,25.0,25.0,25.0,25.0,700,0,HAFR
2013-07-17,25.0,25.0,22.5,22.5,29400,0,HAFR
2013-07-18,22.5,23.0,22.5,22.75,46100,0,HAFR
2013-07-19,22.75,23.0,22.5,22.5,24700,0,HAFR
2013-07-22,22.5,22.5,20.5,22.25,12200,0,HAFR
2013-07-23,22.25,22.0,20.5,20.75,29500,0,HAFR
2013-07-24,20.75,20.5,18.7,19.0,15200,0,HAFR
2013-07-25,19.0,20.0,18.75,18.75,40800,0,HAFR
2013-07-26,18.75,20.0,19.75,19.95,14600,0,HAFR
2013-07-29,19.95,20.5,20.0,20.0,29800,0,HAFR
2013-07-30,20.0,20.0,19.75,19.9,21800,0,HAFR
2013-07-31,19.9,19.95,18.0,19.0,26800,0,HAFR
2013-08-01,19.0,19.95,18.0,19.6,2400,0,HAFR
2013-08-02,19.6,19.95,19.6,19.65,1700,0,HAFR
2013-08-05,19.65,19.85,19.0,19.2,3200,0,HAFR
2013-08-06,19.2,19.9,18.5,19.0,4500,0,HAFR
2013-08-07,19.0,19.8,17.1,17.55,39100,0,HAFR
2013-08-08,17.55,17.5,15.8,16.05,36500,0,HAFR
2013-08-09,17.55,17.5,15.8,16.05,36500,1,HAFR
2013-08-12,16.05,17.25,17.25,17.25,1100,0,HAFR
2013-08-13,17.25,17.0,17.0,17.0,12600,0,HAFR
2013-08-14,17.0,17.0,17.0,17.0,20700,0,HAFR
2013-08-15,17.0,17.5,15.3,16.4,65900,0,HAFR
2013-08-16,16.4,16.9,14.95,15.15,18900,0,HAFR
2013-08-19,15.15,15.1,14.8,14.8,2400,0,HAFR
2013-08-20,14.8,16.25,14.8,15.5,23700,0,HAFR
2013-08-21,15.5,15.85,14.0,14.75,83800,0,HAFR
2013-08-22,14.75,14.75,13.3,13.35,110600,0,HAFR
2013-08-23,13.35,13.5,13.0,13.25,41000,0,HAFR
2013-08-26,13.25,13.5,13.0,13.25,3400,0,HAFR
2013-08-27,13.25,13.25,12.0,12.4,14800,0,HAFR
2013-08-28,12.4,12.95,12.0,12.15,25500,0,HAFR
2013-08-29,12.15,12.25,12.0,12.0,28600,0,HAFR
2013-08-30,12.0,12.5,12.0,12.3,73500,0,HAFR
2013-09-02,12.3,12.6,11.2,11.2,2535500,0,HAFR
2013-09-03,11.2,11.5,11.0,11.1,22100,0,HAFR
2013-09-04,11.1,11.5,11.0,11.0,24500,0,HAFR
2013-09-05,11.0,10.5,9.9,10.05,58100,0,HAFR
2013-09-06,10.05,11.0,9.95,10.25,33900,0,HAFR
2013-09-09,10.25,11.0,9.95,10.0,101600,0,HAFR
2013-09-10,10.0,10.3,10.0,10.0,121000,0,HAFR
2013-09-11,10.0,10.0,9.05,9.1,191400,0,HAFR
2013-09-12,9.1,10.0,9.0,9.2,37500,0,HAFR
2013-09-13,9.2,9.5,8.3,8.6,194300,0,HAFR
2013-09-16,8.6,9.0,8.0,8.75,60900,0,HAFR
2013-09-17,8.75,8.8,7.9,8.0,228900,0,HAFR
2013-09-18,8.0,8.0,8.0,8.0,9700,0,HAFR
2013-09-19,8.0,8.0,7.2,7.25,169400,0,HAFR
2013-09-20,7.25,7.6,7.0,7.45,64100,0,HAFR
2013-09-23,7.45,7.9,6.75,6.95,363100,0,HAFR
2013-09-24,6.95,7.0,6.3,6.65,173200,0,HAFR
2013-09-25,6.65,7.0,6.0,6.3,294500,0,HAFR
2013-09-26,6.3,6.45,6.0,6.05,98300,0,HAFR
2013-09-27,6.05,6.5,6.0,6.15,486700,0,HAFR
2013-09-30,6.15,6.3,6.0,6.0,208100,1,HAFR
2013-10-01,6.15,6.3,6.0,6.0,208100,1,HAFR
2013-10-02,6.0,6.0,6.0,6.0,315000,1,HAFR
2013-10-03,6.0,6.05,6.0,6.0,374100,1,HAFR
2013-10-04,6.0,6.6,6.0,6.05,2352100,0,HAFR
2013-10-07,6.05,6.65,6.15,6.25,1274600,0,HAFR
2013-10-08,6.25,6.85,6.85,6.85,287000,0,HAFR
2013-10-09,6.85,7.5,7.5,7.5,3052200,0,HAFR
2013-10-10,7.5,8.25,8.25,8.25,2841000,0,HAFR
2013-10-11,8.25,9.05,8.25,8.65,2507900,0,HAFR
2013-10-14,8.65,8.95,8.25,8.5,1573500,0,HAFR
2013-10-15,8.5,8.5,7.9,7.95,575600,0,HAFR
2013-10-16,7.95,8.0,7.8,7.8,186600,0,HAFR
2013-10-17,7.8,8.0,7.8,7.9,632500,1,HAFR
2013-10-18,7.9,8.0,7.8,7.9,859200,1,HAFR
2013-10-21,7.9,8.0,7.8,7.9,859200,1,HAFR
2013-10-22,7.9,8.0,7.8,7.9,238200,1,HAFR
2013-10-23,7.9,8.0,7.8,7.95,840000,0,HAFR
2013-10-24,7.95,8.0,7.75,7.85,408300,0,HAFR
2013-10-25,7.85,8.0,7.9,7.9,119500,0,HAFR
2013-10-28,7.9,8.0,7.75,7.85,406900,0,HAFR
2013-10-29,7.9,8.0,7.75,7.85,406900,1,HAFR
2013-10-30,7.85,7.9,7.75,7.8,165200,0,HAFR
2013-10-31,7.8,7.8,7.05,7.3,190100,0,HAFR
2013-11-01,7.3,7.55,7.3,7.4,130600,0,HAFR
2013-11-04,7.4,7.7,7.15,7.25,106800,0,HAFR
2013-11-05,7.25,7.5,7.0,7.4,118200,0,HAFR
2013-11-06,7.4,7.5,7.0,7.1,195900,0,HAFR
2013-11-07,7.1,7.5,7.3,7.3,40800,0,HAFR
2013-11-08,7.3,7.3,7.0,7.1,520800,0,HAFR
2013-11-11,7.1,7.2,7.0,7.0,347400,0,HAFR
2013-11-12,7.0,7.4,6.9,7.05,404400,0,HAFR
2013-11-13,7.05,6.95,6.85,6.85,236700,0,HAFR
2013-11-14,6.85,6.95,6.8,6.9,266000,0,HAFR
