Date,Open,High,Low,Close,Volume,Is_Stale,Ticker
2007-01-02,38.0,39.0,36.0,38.0,140800,0,HFCK
2007-01-03,38.0,30.0,27.0,28.25,25400,1,HFCK
2007-01-04,38.0,30.0,27.0,28.25,25400,1,HFCK
2007-01-05,38.0,30.0,27.0,28.25,25400,1,HFCK
2007-01-08,28.25,34.75,31.5,32.75,53500,0,HFCK
2007-01-09,28.25,34.75,31.5,32.75,53500,1,HFCK
2007-01-10,32.75,31.5,28.0,29.25,57400,0,HFCK
2007-01-11,29.25,31.0,29.25,30.0,119600,0,HFCK
2007-01-12,29.25,31.0,29.25,30.0,119600,1,HFCK
2007-01-15,30.0,45.0,43.5,44.5,136300,0,HFCK
2007-01-16,44.5,45.0,40.5,43.25,271900,0,HFCK
2007-01-17,43.25,44.0,38.75,41.75,181200,0,HFCK
2007-01-18,41.75,45.25,40.0,42.5,89900,0,HFCK
2007-01-19,42.5,44.5,40.0,41.5,107500,0,HFCK
2007-01-22,41.5,44.0,39.0,41.5,89100,0,HFCK
2007-01-23,41.5,44.0,41.25,42.25,69200,0,HFCK
2007-01-24,42.25,43.0,40.0,40.5,264500,0,HFCK
2007-01-25,40.5,44.0,39.0,40.75,117600,0,HFCK
2007-01-26,40.75,40.25,38.0,39.5,166700,0,HFCK
2007-01-29,39.5,40.0,37.0,39.25,149600,0,HFCK
2007-01-30,39.25,39.0,35.5,37.75,113100,0,HFCK
2007-01-31,37.75,41.5,36.0,38.75,59000,0,HFCK
2007-02-01,38.75,50.0,47.0,48.75,86500,0,HFCK
2007-02-02,48.75,40.0,36.25,38.25,47900,0,HFCK
2007-02-05,26.25,27.5,25.0,26.5,33700,0,HFCK
2007-02-06,26.25,27.5,25.0,26.5,33700,1,HFCK
2007-02-07,26.5,39.0,34.75,36.25,302400,0,HFCK
2007-02-08,36.25,34.75,31.0,32.25,58000,1,HFCK
2007-02-09,36.25,34.75,31.0,32.25,58000,1,HFCK
2007-02-12,36.25,34.75,31.0,32.25,58000,1,HFCK
2007-02-13,30.25,38.0,35.0,36.0,60900,0,HFCK
2007-02-14,36.0,37.0,35.0,35.75,44100,0,HFCK
2007-02-15,35.75,37.0,33.0,36.0,53900,0,HFCK
2007-02-16,36.0,34.0,33.0,33.75,16000,0,HFCK
2007-02-19,33.75,35.0,31.0,33.0,28600,0,HFCK
2007-02-20,33.0,34.5,31.0,33.0,22800,0,HFCK
2007-02-21,33.0,34.0,32.0,33.25,68100,0,HFCK
2007-02-22,33.25,35.0,30.0,33.5,79900,0,HFCK
2007-02-23,33.5,33.75,31.75,32.5,30200,0,HFCK
2007-02-26,32.5,33.0,31.0,32.5,26300,0,HFCK
2007-02-27,32.5,33.0,29.5,32.0,49600,0,HFCK
2007-02-28,32.0,31.0,29.5,29.75,62100,0,HFCK
2007-03-01,29.75,48.0,43.0,45.5,106600,0,HFCK
2007-03-02,29.75,48.0,43.0,45.5,106600,1,HFCK
2007-03-05,28.25,27.75,24.0,26.5,38700,0,HFCK
2007-03-06,28.25,27.75,24.0,26.5,38700,1,HFCK
2007-03-07,26.5,37.0,34.0,35.25,284900,0,HFCK
2007-03-08,35.25,32.75,29.25,32.0,77000,0,HFCK
2007-03-09,32.0,34.0,30.0,32.5,30400,0,HFCK
2007-03-12,29.25,38.5,35.5,37.0,226100,0,HFCK
2007-03-13,37.0,30.0,28.0,29.0,28300,0,HFCK
2007-03-14,29.0,30.0,27.5,28.75,27400,0,HFCK
2007-03-15,28.75,30.0,27.0,28.25,36300,0,HFCK
2007-03-16,28.25,29.0,27.5,28.0,137100,0,HFCK
2007-03-19,28.0,29.0,27.5,28.0,29200,0,HFCK
2007-03-20,28.0,30.0,26.75,28.75,127900,0,HFCK
2007-03-21,28.75,28.0,25.0,27.25,55500,0,HFCK
2007-03-22,27.25,26.75,24.25,25.5,31800,0,HFCK
2007-03-23,25.5,24.0,23.0,23.75,10000,0,HFCK
2007-03-26,23.75,23.0,22.0,22.5,12600,0,HFCK
2007-03-27,22.5,22.0,19.8,20.25,25200,0,HFCK
2007-03-28,20.25,20.0,19.5,19.85,13600,0,HFCK
2007-03-29,19.85,22.0,21.25,21.75,24100,0,HFCK
2007-03-30,21.75,24.0,24.0,24.0,4200,1,HFCK
2007-04-02,21.75,24.0,24.0,24.0,4200,1,HFCK
2007-04-03,21.75,24.0,24.0,24.0,4200,1,HFCK
2007-04-04,46.0,29.75,25.5,29.0,60200,0,HFCK
2007-04-05,29.0,27.0,23.75,25.5,73800,0,HFCK
2007-04-06,25.5,28.75,26.0,28.0,83400,0,HFCK
2007-04-09,35.5,32.5,30.5,31.75,45000,0,HFCK
2007-04-10,31.75,29.0,26.5,27.75,46900,0,HFCK
2007-04-11,31.75,29.0,26.5,27.75,46900,1,HFCK
2007-04-12,27.75,38.75,36.0,37.25,280200,0,HFCK
2007-04-13,37.25,28.0,26.5,27.5,76700,0,HFCK
2007-04-16,27.5,28.0,25.0,27.25,40200,0,HFCK
2007-04-17,27.25,27.5,24.25,26.25,39900,0,HFCK
2007-04-18,26.25,28.75,24.5,25.5,35400,0,HFCK
2007-04-19,25.5,26.0,23.0,24.5,26100,0,HFCK
2007-04-20,24.5,25.0,22.0,24.0,40100,0,HFCK
2007-04-23,24.0,25.0,23.0,23.75,17600,0,HFCK
2007-04-24,23.75,26.25,25.0,26.0,41200,0,HFCK
2007-04-25,26.0,27.0,23.75,26.25,111600,0,HFCK
2007-04-26,26.25,28.0,24.5,27.0,47400,0,HFCK
2007-04-27,27.0,28.0,27.0,27.5,31600,0,HFCK
2007-04-30,27.5,28.0,25.25,27.75,34700,0,HFCK
2007-05-01,27.75,47.0,43.0,44.0,174400,0,HFCK
2007-05-02,44.0,40.0,36.25,38.0,38600,0,HFCK
2007-05-03,38.0,30.0,27.0,29.0,57700,0,HFCK
2007-05-04,29.0,30.0,25.25,29.75,119900,0,HFCK
2007-05-07,30.5,37.5,35.0,36.0,321300,0,HFCK
2007-05-08,30.5,37.5,35.0,36.0,321300,1,HFCK
2007-05-09,36.0,32.5,30.75,31.75,31000,0,HFCK
2007-05-10,31.75,29.0,26.0,27.0,83600,0,HFCK
2007-05-11,27.0,31.0,29.25,30.25,48300,0,HFCK
2007-05-14,38.5,26.5,25.0,26.0,37600,0,HFCK
2007-05-15,26.0,27.0,25.5,26.25,18000,0,HFCK
2007-05-16,26.25,27.0,25.0,25.25,29000,0,HFCK
2007-05-17,25.25,27.5,25.0,25.75,39700,0,HFCK
2007-05-18,25.75,28.0,24.0,25.0,203700,0,HFCK
2007-05-21,25.0,27.0,25.0,25.5,74800,0,HFCK
2007-05-22,25.5,27.0,25.0,25.75,15100,0,HFCK
2007-05-23,25.75,27.0,24.25,25.25,75600,0,HFCK
2007-05-24,25.25,26.0,23.25,24.25,59900,0,HFCK
2007-05-25,24.25,25.0,21.75,23.75,65200,0,HFCK
2007-05-28,23.75,26.0,23.5,24.25,156000,0,HFCK
2007-05-29,24.25,25.0,23.75,24.0,539100,0,HFCK
2007-05-30,24.0,26.0,22.0,24.0,460600,0,HFCK
2007-05-31,24.0,26.5,24.25,24.75,229300,1,HFCK
2007-06-01,24.0,26.5,24.25,24.75,229300,1,HFCK
2007-06-04,24.0,26.5,24.25,24.75,229300,1,HFCK
2007-06-05,24.0,26.5,24.25,24.75,229300,1,HFCK
2007-06-06,28.75,33.0,30.0,31.5,237600,0,HFCK
2007-06-07,31.5,38.5,35.25,37.0,110200,0,HFCK
2007-06-08,37.0,32.0,29.0,31.5,95500,0,HFCK
2007-06-11,31.75,31.5,29.25,30.75,49200,0,HFCK
2007-06-12,30.75,42.5,38.5,41.25,470000,0,HFCK
2007-06-13,41.25,33.0,30.0,32.75,281400,0,HFCK
2007-06-14,32.75,35.25,33.0,34.0,486200,0,HFCK
2007-06-15,34.0,37.5,33.0,34.5,399500,0,HFCK
2007-06-18,34.5,35.5,33.0,34.25,137700,0,HFCK
2007-06-19,34.25,34.0,30.75,32.75,357800,0,HFCK
2007-06-20,32.75,34.0,29.0,31.25,68200,0,HFCK
2007-06-21,31.25,33.0,30.0,31.5,290700,0,HFCK
2007-06-22,31.5,33.25,31.5,32.25,154300,0,HFCK
2007-06-25,32.25,35.25,30.25,33.75,276600,0,HFCK
2007-06-26,33.75,37.75,34.0,36.5,525600,0,HFCK
2007-06-27,36.5,37.0,33.0,35.5,149500,0,HFCK
2007-06-28,35.5,39.0,34.25,37.25,378500,0,HFCK
2007-06-29,37.25,40.0,38.0,38.5,362300,0,HFCK
2007-07-02,38.5,38.0,35.0,37.25,81600,0,HFCK
2007-07-03,37.25,30.0,27.0,29.25,19600,0,HFCK
2007-07-04,37.25,30.0,27.0,29.25,19600,1,HFCK
2007-07-05,29.25,27.0,24.5,25.25,165900,0,HFCK
2007-07-06,25.25,33.0,27.5,29.75,414200,0,HFCK
2007-07-09,29.0,33.0,31.0,31.25,268200,0,HFCK
2007-07-10,29.0,33.0,31.0,31.25,268200,1,HFCK
2007-07-11,31.25,31.0,30.0,30.5,89100,0,HFCK
2007-07-12,30.5,40.0,38.0,39.0,295100,0,HFCK
2007-07-13,39.0,46.0,37.75,39.25,402900,0,HFCK
2007-07-16,39.25,39.0,35.5,37.0,301900,0,HFCK
2007-07-17,37.0,39.0,35.5,37.75,93000,0,HFCK
2007-07-18,37.75,40.0,36.0,38.5,179100,0,HFCK
2007-07-19,38.5,38.0,35.5,37.25,56200,0,HFCK
2007-07-20,37.25,39.0,36.0,37.5,126500,0,HFCK
2007-07-23,37.5,38.5,35.0,37.25,76400,0,HFCK
2007-07-24,37.25,37.25,36.0,36.75,127600,0,HFCK
2007-07-25,36.75,37.0,36.0,36.75,54800,0,HFCK
2007-07-26,36.75,36.5,35.0,35.75,46500,0,HFCK
2007-07-27,35.75,37.0,35.0,35.5,59800,0,HFCK
2007-07-30,35.5,35.75,32.0,34.75,135200,0,HFCK
2007-07-31,34.75,35.75,34.0,34.75,86000,0,HFCK
2007-08-01,34.75,46.0,43.0,44.0,270000,0,HFCK
2007-08-02,44.0,39.0,36.0,37.25,110200,0,HFCK
2007-08-03,37.25,30.0,27.0,28.25,61100,0,HFCK
2007-08-06,27.0,32.5,27.0,28.0,348900,0,HFCK
2007-08-07,27.0,32.5,27.0,28.0,348900,1,HFCK
2007-08-08,28.0,31.75,30.0,30.5,89100,0,HFCK
2007-08-09,28.0,31.75,30.0,30.5,89100,1,HFCK
2007-08-10,30.5,27.0,26.5,26.5,11200,0,HFCK
2007-08-13,30.25,35.0,32.0,33.75,131500,0,HFCK
2007-08-14,33.75,36.0,31.0,34.75,177200,0,HFCK
