Date,Open,High,Low,Close,Volume,Is_Stale,Ticker
2013-06-25,100.75,103.0,93.0,100.75,273500,0,IMH
2013-06-26,100.75,105.0,99.5,100.75,288200,0,IMH
2013-06-27,100.75,100.0,100.0,100.0,75400,0,IMH
2013-06-28,100.0,100.0,95.0,96.25,69900,0,IMH
2013-07-01,96.25,97.5,96.0,96.75,4500,0,IMH
2013-07-02,96.75,96.5,95.0,95.0,35200,0,IMH
2013-07-03,95.0,95.0,95.0,95.0,130600,0,IMH
2013-07-04,95.0,98.0,95.0,97.0,37600,0,IMH
2013-07-05,97.0,99.0,97.0,97.5,54800,0,IMH
2013-07-08,97.5,102.0,98.0,98.0,38000,0,IMH
2013-07-09,98.0,101.0,97.0,98.25,11300,0,IMH
2013-07-10,98.25,99.5,98.0,98.0,36700,0,IMH
2013-07-11,98.0,99.5,97.0,97.75,30000,0,IMH
2013-07-12,97.75,98.0,97.0,97.75,39000,0,IMH
2013-07-15,97.75,98.0,96.0,97.25,8800,0,IMH
2013-07-16,97.25,97.5,96.0,96.75,18500,0,IMH
2013-07-17,96.75,97.0,97.0,97.0,5000,0,IMH
2013-07-18,97.0,100.0,96.5,96.5,60300,0,IMH
2013-07-19,96.5,97.5,96.5,97.0,8300,0,IMH
2013-07-22,97.0,97.5,96.5,96.75,10200,0,IMH
2013-07-23,96.75,97.0,95.0,95.0,62000,0,IMH
2013-07-24,95.0,96.5,95.0,95.75,11100,0,IMH
2013-07-25,95.75,96.0,95.0,95.0,5400,1,IMH
2013-07-26,95.0,96.0,95.0,95.0,29900,1,IMH
2013-07-29,95.0,96.0,95.0,95.0,2400,1,IMH
2013-07-30,95.0,96.0,95.0,95.0,41900,1,IMH
2013-07-31,95.0,95.0,95.0,95.0,17400,1,IMH
2013-08-01,95.0,94.0,93.0,93.25,900,0,IMH
2013-08-02,93.25,95.0,95.0,95.0,6900,0,IMH
2013-08-05,95.0,94.0,93.0,93.0,35700,1,IMH
2013-08-06,93.0,93.0,93.0,93.0,10600,0,IMH
2013-08-07,93.0,93.0,93.0,93.0,1400,1,IMH
2013-08-08,93.0,92.0,92.0,92.0,45800,0,IMH
2013-08-09,93.0,92.0,92.0,92.0,45800,1,IMH
2013-08-12,92.0,92.0,91.0,91.5,1100,0,IMH
2013-08-13,91.5,91.0,90.0,90.25,18900,0,IMH
2013-08-14,90.25,92.0,90.0,90.0,8700,0,IMH
2013-08-15,90.0,90.5,90.0,90.25,22700,0,IMH
2013-08-16,90.25,90.0,90.0,90.0,35500,0,IMH
2013-08-19,90.0,90.0,90.0,90.0,0,0,IMH
2013-08-20,90.0,90.0,88.0,88.75,85400,0,IMH
2013-08-21,88.75,90.0,86.0,88.0,4100,0,IMH
2013-08-22,88.0,90.0,88.0,89.5,25100,0,IMH
2013-08-23,89.5,89.0,88.0,88.0,7400,0,IMH
2013-08-26,88.0,88.0,88.0,88.0,24500,0,IMH
2013-08-27,88.0,89.0,86.0,86.0,134000,0,IMH
2013-08-28,86.0,87.0,85.0,85.0,50200,0,IMH
2013-08-29,85.0,89.5,88.0,88.75,2200,0,IMH
2013-08-30,88.75,90.0,85.0,85.0,25500,1,IMH
2013-09-02,85.0,85.0,85.0,85.0,5000,1,IMH
2013-09-03,85.0,85.0,85.0,85.0,11100,1,IMH
2013-09-04,85.0,85.0,85.0,85.0,100,1,IMH
2013-09-05,85.0,85.5,85.0,85.0,127500,1,IMH
2013-09-06,85.0,90.0,90.0,90.0,3500,1,IMH
2013-09-09,90.0,90.0,90.0,90.0,2000,1,IMH
2013-09-10,90.0,93.0,90.0,90.0,105700,1,IMH
2013-09-11,90.0,92.0,90.0,90.0,348600,1,IMH
2013-09-12,90.0,90.5,90.0,90.0,23000,1,IMH
2013-09-13,90.0,90.0,90.0,90.0,0,1,IMH
2013-09-16,90.0,90.0,90.0,90.0,5000,1,IMH
2013-09-17,90.0,90.0,90.0,90.0,500000,1,IMH
2013-09-18,90.0,90.0,90.0,90.0,0,1,IMH
2013-09-19,90.0,92.0,91.0,91.5,14300,0,IMH
2013-09-20,91.5,95.0,92.0,92.5,2400,0,IMH
2013-09-23,92.5,95.0,92.0,92.25,800,0,IMH
2013-09-24,92.25,95.0,95.0,95.0,600,0,IMH
2013-09-25,95.0,99.0,98.0,98.25,128600,0,IMH
2013-09-26,98.25,100.0,100.0,100.0,104900,0,IMH
2013-09-27,100.0,102.0,100.0,102.0,220700,0,IMH
2013-09-30,102.0,105.0,101.0,103.0,280100,0,IMH
2013-10-01,102.0,105.0,101.0,103.0,280100,1,IMH
2013-10-02,103.0,104.0,100.0,100.0,1234800,0,IMH
2013-10-03,100.0,100.0,100.0,100.0,2900,0,IMH
2013-10-04,100.0,103.0,100.0,102.0,160000,1,IMH
2013-10-07,102.0,102.0,102.0,102.0,0,1,IMH
