Date,Open,High,Low,Close,Volume,Is_Stale,Ticker
2007-01-02,274.0,280.0,270.0,274.0,4800,0,JUB
2007-01-03,274.0,255.0,250.0,254.0,2000,1,JUB
2007-01-04,274.0,255.0,250.0,254.0,2000,1,JUB
2007-01-05,274.0,255.0,250.0,254.0,2000,1,JUB
2007-01-08,254.0,235.0,232.0,234.0,2000,0,JUB
2007-01-09,254.0,235.0,232.0,234.0,2000,1,JUB
2007-01-10,234.0,213.0,205.0,212.0,3900,0,JUB
2007-01-11,212.0,199.0,192.0,193.0,600,0,JUB
2007-01-12,212.0,199.0,192.0,193.0,600,1,JUB
2007-01-15,193.0,350.0,336.0,341.0,39000,0,JUB
2007-01-16,341.0,360.0,310.0,331.0,6700,0,JUB
2007-01-17,331.0,320.0,318.0,319.0,2800,0,JUB
2007-01-18,319.0,335.0,300.0,318.0,7300,0,JUB
2007-01-19,318.0,315.0,300.0,310.0,3800,0,JUB
2007-01-22,310.0,310.0,305.0,305.0,4100,0,JUB
2007-01-23,305.0,310.0,302.0,306.0,7300,0,JUB
2007-01-24,306.0,311.0,305.0,309.0,2700,0,JUB
2007-01-25,309.0,310.0,300.0,305.0,15300,0,JUB
2007-01-26,305.0,310.0,300.0,309.0,11000,0,JUB
2007-01-29,309.0,304.0,290.0,299.0,4000,0,JUB
2007-01-30,299.0,300.0,295.0,295.0,12400,0,JUB
2007-01-31,295.0,300.0,270.0,297.0,22800,0,JUB
2007-02-01,297.0,330.0,323.0,329.0,700,0,JUB
2007-02-02,329.0,280.0,245.0,255.0,700,0,JUB
2007-02-05,226.0,275.0,255.0,270.0,4200,0,JUB
2007-02-06,226.0,275.0,255.0,270.0,4200,1,JUB
2007-02-07,270.0,231.0,220.0,230.0,55300,0,JUB
2007-02-08,230.0,240.0,234.0,236.0,1600,1,JUB
2007-02-09,230.0,240.0,234.0,236.0,1600,1,JUB
2007-02-12,230.0,240.0,234.0,236.0,1600,1,JUB
2007-02-13,202.0,318.0,315.0,315.0,8800,0,JUB
2007-02-14,315.0,315.0,305.0,310.0,9500,0,JUB
2007-02-15,310.0,315.0,310.0,310.0,3400,0,JUB
