Date,Open,High,Low,Close,Volume,Is_Stale,Ticker
2007-01-02,116.0,122.0,112.0,116.0,1300,1,KAPC
2007-01-03,116.0,122.0,112.0,116.0,1300,1,KAPC
2007-01-04,116.0,122.0,112.0,116.0,1300,1,KAPC
2007-01-05,116.0,122.0,112.0,116.0,1300,1,KAPC
2007-01-08,116.0,122.0,112.0,116.0,1300,1,KAPC
2007-01-09,116.0,122.0,112.0,116.0,1300,1,KAPC
2007-01-10,116.0,95.0,95.0,95.0,300,1,KAPC
2007-01-11,116.0,95.0,95.0,95.0,300,1,KAPC
2007-01-12,116.0,95.0,95.0,95.0,300,1,KAPC
2007-01-15,95.0,100.0,100.0,100.0,42200,0,KAPC
2007-01-16,100.0,105.0,100.0,100.0,187300,0,KAPC
2007-01-17,100.0,110.0,110.0,110.0,2500,0,KAPC
2007-01-18,110.0,121.0,110.0,111.0,73400,0,KAPC
2007-01-19,111.0,120.0,110.0,112.0,11300,0,KAPC
2007-01-22,111.0,120.0,110.0,112.0,11300,1,KAPC
2007-01-23,112.0,123.0,122.0,122.0,10100,0,KAPC
2007-01-24,122.0,130.0,125.0,125.0,9500,0,KAPC
2007-01-25,125.0,135.0,125.0,132.0,21200,0,KAPC
2007-01-26,132.0,135.0,131.0,132.0,3600,0,KAPC
2007-01-29,132.0,130.0,120.0,124.0,26100,0,KAPC
2007-01-30,124.0,125.0,120.0,122.0,13600,0,KAPC
2007-01-31,122.0,124.0,120.0,121.0,1200,0,KAPC
2007-02-01,121.0,100.0,100.0,100.0,7800,0,KAPC
2007-02-02,100.0,126.0,120.0,123.0,7400,0,KAPC
2007-02-05,123.0,120.0,120.0,120.0,900,0,KAPC
2007-02-06,123.0,120.0,120.0,120.0,900,1,KAPC
2007-02-07,120.0,106.0,106.0,106.0,200,0,KAPC
2007-02-08,106.0,108.0,108.0,108.0,3800,1,KAPC
2007-02-09,106.0,108.0,108.0,108.0,3800,1,KAPC
2007-02-12,106.0,108.0,108.0,108.0,3800,1,KAPC
2007-02-13,90.0,125.0,125.0,125.0,20500,0,KAPC
2007-02-14,125.0,125.0,120.0,120.0,13100,0,KAPC
2007-02-15,125.0,125.0,120.0,120.0,13100,1,KAPC
2007-02-16,120.0,125.0,120.0,124.0,10100,0,KAPC
2007-02-19,120.0,125.0,120.0,124.0,10100,1,KAPC
2007-02-20,124.0,125.0,125.0,125.0,900,1,KAPC
2007-02-21,125.0,125.0,125.0,125.0,200,1,KAPC
2007-02-22,125.0,126.0,125.0,125.0,1200,1,KAPC
2007-02-23,125.0,125.0,125.0,125.0,800,1,KAPC
2007-02-26,125.0,123.0,120.0,122.0,3300,0,KAPC
2007-02-27,125.0,123.0,120.0,122.0,3300,1,KAPC
2007-02-28,122.0,118.0,118.0,118.0,1000,0,KAPC
2007-03-01,118.0,100.0,100.0,100.0,7600,0,KAPC
2007-03-02,118.0,100.0,100.0,100.0,7600,1,KAPC
2007-03-05,120.0,117.0,117.0,117.0,1000,1,KAPC
2007-03-06,120.0,117.0,117.0,117.0,1000,1,KAPC
2007-03-07,120.0,117.0,117.0,117.0,1000,1,KAPC
2007-03-08,120.0,117.0,117.0,117.0,1000,1,KAPC
2007-03-09,120.0,117.0,117.0,117.0,1000,1,KAPC
2007-03-12,120.0,117.0,117.0,117.0,1000,1,KAPC
2007-03-13,90.0,114.0,113.0,113.0,700,0,KAPC
2007-03-14,113.0,115.0,114.0,114.0,1300,0,KAPC
2007-03-15,113.0,115.0,114.0,114.0,1300,1,KAPC
2007-03-16,114.0,115.0,115.0,115.0,300,1,KAPC
2007-03-19,115.0,115.0,115.0,115.0,500,0,KAPC
2007-03-20,115.0,115.0,115.0,115.0,500,1,KAPC
2007-03-21,115.0,125.0,115.0,121.0,600,0,KAPC
2007-03-22,121.0,115.0,112.0,113.0,200,0,KAPC
2007-03-23,113.0,105.0,105.0,105.0,100,1,KAPC
2007-03-26,105.0,110.0,105.0,105.0,2500,0,KAPC
2007-03-27,105.0,105.0,105.0,105.0,2600,1,KAPC
2007-03-28,105.0,112.0,112.0,112.0,6500,1,KAPC
2007-03-29,105.0,112.0,112.0,112.0,6500,1,KAPC
2007-03-30,105.0,112.0,112.0,112.0,6500,1,KAPC
2007-04-02,105.0,112.0,112.0,112.0,6500,1,KAPC
2007-04-03,105.0,112.0,112.0,112.0,6500,1,KAPC
2007-04-04,105.0,112.0,112.0,112.0,6500,1,KAPC
2007-04-05,105.0,112.0,112.0,112.0,6500,1,KAPC
2007-04-06,105.0,112.0,112.0,112.0,6500,1,KAPC
2007-04-09,105.0,112.0,112.0,112.0,6500,1,KAPC
2007-04-10,105.0,112.0,112.0,112.0,6500,1,KAPC
2007-04-11,105.0,112.0,112.0,112.0,6500,1,KAPC
2007-04-12,105.0,112.0,112.0,112.0,6500,1,KAPC
2007-04-13,106.0,120.0,108.0,116.0,2300,0,KAPC
2007-04-16,116.0,109.0,108.0,108.0,3000,0,KAPC
2007-04-17,108.0,112.0,110.0,110.0,2300,0,KAPC
2007-04-18,110.0,115.0,112.0,112.0,2200,0,KAPC
2007-04-19,112.0,115.0,115.0,115.0,100,0,KAPC
2007-04-20,115.0,115.0,115.0,115.0,2000,0,KAPC
2007-04-23,115.0,117.0,117.0,117.0,1000,0,KAPC
2007-04-24,117.0,120.0,120.0,120.0,500,0,KAPC
2007-04-25,120.0,117.0,117.0,117.0,100,0,KAPC
2007-04-26,117.0,120.0,120.0,120.0,700,1,KAPC
2007-04-27,117.0,120.0,120.0,120.0,700,1,KAPC
2007-04-30,117.0,120.0,120.0,120.0,700,1,KAPC
2007-05-01,120.0,100.0,100.0,100.0,1400,0,KAPC
2007-05-02,100.0,125.0,125.0,125.0,5000,0,KAPC
2007-05-03,100.0,125.0,125.0,125.0,5000,1,KAPC
2007-05-04,125.0,124.0,120.0,120.0,2900,0,KAPC
2007-05-07,120.0,106.0,106.0,106.0,3700,1,KAPC
2007-05-08,120.0,106.0,106.0,106.0,3700,1,KAPC
2007-05-09,120.0,106.0,106.0,106.0,3700,1,KAPC
2007-05-10,106.0,90.0,90.0,90.0,2200,0,KAPC
2007-05-11,106.0,90.0,90.0,90.0,2200,1,KAPC
2007-05-14,90.0,117.0,117.0,117.0,100,0,KAPC
2007-05-15,117.0,115.0,113.0,114.0,2600,0,KAPC
2007-05-16,114.0,115.0,115.0,115.0,1500,1,KAPC
2007-05-17,114.0,115.0,115.0,115.0,1500,1,KAPC
2007-05-18,115.0,115.0,115.0,115.0,1200,1,KAPC
2007-05-21,115.0,115.0,115.0,115.0,300,1,KAPC
2007-05-22,115.0,115.0,115.0,115.0,200,1,KAPC
2007-05-23,115.0,116.0,115.0,115.0,5000,1,KAPC
2007-05-24,115.0,115.0,115.0,115.0,100,1,KAPC
2007-05-25,115.0,115.0,115.0,115.0,100,1,KAPC
2007-05-28,115.0,115.0,115.0,115.0,100,1,KAPC
2007-05-29,115.0,115.0,115.0,115.0,100,1,KAPC
2007-05-30,115.0,112.0,112.0,112.0,1000,1,KAPC
2007-05-31,115.0,112.0,112.0,112.0,1000,1,KAPC
2007-06-01,115.0,112.0,112.0,112.0,1000,1,KAPC
2007-06-04,115.0,112.0,112.0,112.0,1000,1,KAPC
2007-06-05,115.0,112.0,112.0,112.0,1000,1,KAPC
2007-06-06,115.0,112.0,112.0,112.0,1000,1,KAPC
2007-06-07,115.0,108.0,108.0,108.0,100,1,KAPC
2007-06-08,115.0,108.0,108.0,108.0,100,1,KAPC
2007-06-11,115.0,108.0,108.0,108.0,100,1,KAPC
2007-06-12,115.0,108.0,108.0,108.0,100,1,KAPC
2007-06-13,115.0,108.0,108.0,108.0,100,1,KAPC
2007-06-14,115.0,108.0,108.0,108.0,100,1,KAPC
2007-06-15,115.0,108.0,108.0,108.0,100,1,KAPC
2007-06-18,115.0,108.0,108.0,108.0,100,1,KAPC
2007-06-19,115.0,108.0,108.0,108.0,100,1,KAPC
2007-06-20,115.0,108.0,108.0,108.0,100,1,KAPC
2007-06-21,115.0,108.0,108.0,108.0,100,1,KAPC
2007-06-22,115.0,108.0,108.0,108.0,100,1,KAPC
2007-06-25,92.0,112.0,112.0,112.0,800,1,KAPC
2007-06-26,92.0,112.0,112.0,112.0,800,1,KAPC
2007-06-27,92.0,112.0,112.0,112.0,800,1,KAPC
2007-06-28,92.0,112.0,112.0,112.0,800,1,KAPC
2007-06-29,112.0,112.0,112.0,112.0,5000,1,KAPC
2007-07-02,112.0,120.0,120.0,120.0,2500,1,KAPC
2007-07-03,112.0,120.0,120.0,120.0,2500,1,KAPC
2007-07-04,112.0,120.0,120.0,120.0,2500,1,KAPC
2007-07-05,112.0,120.0,120.0,120.0,2500,1,KAPC
2007-07-06,112.0,120.0,120.0,120.0,2500,1,KAPC
2007-07-09,112.0,120.0,120.0,120.0,2500,1,KAPC
2007-07-10,112.0,120.0,120.0,120.0,2500,1,KAPC
2007-07-11,112.0,120.0,120.0,120.0,2500,1,KAPC
