Date,Open,High,Low,Close,Volume,Is_Stale,Ticker
2007-01-02,225.0,235.0,220.0,225.0,148700,0,KCB
2007-01-03,225.0,227.0,210.0,222.0,278000,1,KCB
2007-01-04,225.0,227.0,210.0,222.0,278000,1,KCB
2007-01-05,225.0,227.0,210.0,222.0,278000,1,KCB
2007-01-08,222.0,29.25,28.25,28.5,5630000,0,KCB
2007-01-09,222.0,29.25,28.25,28.5,5630000,1,KCB
2007-01-10,28.5,26.0,25.0,255.0,1340000,1,KCB
2007-01-11,255.0,26.0,25.0,255.0,1180000,0,KCB
2007-01-12,255.0,26.0,25.0,255.0,1180000,1,KCB
2007-01-15,255.0,271.0,260.0,267.0,264600,0,KCB
2007-01-16,267.0,271.0,261.0,269.0,307800,0,KCB
2007-01-17,269.0,270.0,260.0,265.0,221200,0,KCB
2007-01-18,265.0,266.0,250.0,261.0,175600,0,KCB
2007-01-19,261.0,264.0,255.0,260.0,317200,0,KCB
2007-01-22,260.0,265.0,246.0,261.0,295400,0,KCB
2007-01-23,261.0,265.0,255.0,260.0,180700,0,KCB
2007-01-24,260.0,260.0,250.0,255.0,115500,0,KCB
2007-01-25,255.0,260.0,240.0,247.0,117000,0,KCB
2007-01-26,247.0,250.0,228.0,235.0,261900,0,KCB
2007-01-29,235.0,252.0,240.0,245.0,177500,0,KCB
2007-01-30,245.0,250.0,236.0,242.0,153800,0,KCB
2007-01-31,242.0,240.0,220.0,234.0,136900,0,KCB
2007-02-01,234.0,260.0,220.0,243.0,225900,0,KCB
2007-02-02,243.0,230.0,223.0,226.0,233000,0,KCB
2007-02-05,212.0,27.5,25.0,25.0,1940000,0,KCB
2007-02-06,212.0,27.5,25.0,25.0,1940000,1,KCB
2007-02-07,25.0,24.0,22.5,23.5,772500,0,KCB
2007-02-08,23.5,30.25,26.5,28.5,3090000,1,KCB
2007-02-09,23.5,30.25,26.5,28.5,3090000,1,KCB
2007-02-12,23.5,30.25,26.5,28.5,3090000,1,KCB
2007-02-13,25.25,270.0,258.0,263.0,221300,0,KCB
2007-02-14,263.0,270.0,256.0,264.0,296400,0,KCB
2007-02-15,264.0,270.0,242.0,253.0,138600,0,KCB
2007-02-16,253.0,260.0,250.0,255.0,174600,0,KCB
2007-02-19,255.0,265.0,245.0,252.0,255200,0,KCB
2007-02-20,252.0,250.0,236.0,247.0,120900,0,KCB
2007-02-21,247.0,250.0,240.0,245.0,153000,0,KCB
2007-02-22,245.0,245.0,230.0,240.0,168200,0,KCB
2007-02-23,240.0,242.0,230.0,235.0,211200,0,KCB
2007-02-26,235.0,250.0,220.0,229.0,185200,0,KCB
2007-02-27,229.0,226.0,220.0,225.0,207300,0,KCB
2007-02-28,225.0,225.0,202.0,213.0,136700,0,KCB
2007-03-01,213.0,275.0,245.0,256.0,462200,0,KCB
2007-03-02,213.0,275.0,245.0,256.0,462200,1,KCB
2007-03-05,22.5,26.0,24.25,25.0,496300,0,KCB
2007-03-06,22.5,26.0,24.25,25.0,496300,1,KCB
2007-03-07,25.0,24.5,23.5,23.75,1270000,0,KCB
2007-03-08,23.75,30.5,25.0,28.0,3800000,0,KCB
2007-03-09,28.0,27.5,26.25,26.75,1970000,0,KCB
2007-03-12,25.5,28.0,26.75,27.25,1590000,0,KCB
2007-03-13,27.25,223.0,215.0,220.0,225500,0,KCB
2007-03-14,220.0,224.0,216.0,220.0,58200,0,KCB
2007-03-15,220.0,225.0,212.0,218.0,310700,0,KCB
2007-03-16,218.0,222.0,211.0,220.0,553400,0,KCB
2007-03-19,220.0,222.0,211.0,220.0,180000,0,KCB
2007-03-20,220.0,221.0,215.0,219.0,116900,0,KCB
2007-03-21,219.0,216.0,195.0,207.0,62800,0,KCB
2007-03-22,207.0,213.0,179.0,197.0,173400,0,KCB
2007-03-23,197.0,180.0,167.0,174.0,97700,0,KCB
2007-03-26,174.0,180.0,165.0,173.0,269400,0,KCB
2007-03-27,173.0,190.0,170.0,176.0,521100,0,KCB
2007-03-28,176.0,196.0,182.0,192.0,66800,0,KCB
2007-03-29,192.0,215.0,201.0,214.0,72700,0,KCB
2007-03-30,214.0,236.0,215.0,227.0,444400,1,KCB
2007-04-02,214.0,236.0,215.0,227.0,444400,1,KCB
2007-04-03,214.0,236.0,215.0,227.0,444400,1,KCB
2007-04-04,268.0,25.0,23.75,24.75,1760000,0,KCB
2007-04-05,24.75,26.0,24.0,25.0,281200,0,KCB
2007-04-06,25.0,25.0,22.25,23.25,374900,0,KCB
2007-04-09,24.25,28.0,26.0,27.25,1300000,0,KCB
2007-04-10,27.25,27.0,24.0,25.0,2580000,0,KCB
2007-04-11,27.25,27.0,24.0,25.0,2580000,1,KCB
2007-04-12,25.0,28.5,27.0,27.0,4230000,0,KCB
2007-04-13,27.0,27.0,24.5,25.0,843800,0,KCB
2007-04-16,25.0,26.0,24.25,25.25,225700,0,KCB
2007-04-17,25.25,26.0,23.75,25.0,636900,0,KCB
2007-04-18,25.0,25.0,24.0,24.75,329500,0,KCB
2007-04-19,24.75,25.0,22.5,24.0,453400,0,KCB
2007-04-20,24.0,26.0,23.0,25.0,170100,0,KCB
2007-04-23,25.0,26.0,23.25,24.25,793500,0,KCB
2007-04-24,24.25,26.0,23.0,24.75,1600000,0,KCB
2007-04-25,24.75,25.0,23.5,24.5,429800,0,KCB
2007-04-26,24.5,25.0,23.5,24.0,310200,0,KCB
2007-04-27,24.0,26.0,24.0,24.5,685500,0,KCB
2007-04-30,24.5,26.0,23.0,25.25,555900,0,KCB
2007-05-01,25.25,275.0,261.0,26.9,328500,0,KCB
2007-05-02,26.9,232.0,220.0,22.5,339800,0,KCB
2007-05-03,22.5,243.0,225.0,23.2,230400,0,KCB
2007-05-04,23.2,27.0,23.5,25.0,1410000,0,KCB
2007-05-07,23.25,26.5,22.75,24.5,4240000,0,KCB
2007-05-08,23.25,26.5,22.75,24.5,4240000,1,KCB
2007-05-09,24.5,29.75,26.0,27.5,816600,0,KCB
2007-05-10,27.5,25.5,23.75,24.25,2280000,0,KCB
2007-05-11,24.25,26.0,25.25,25.5,1220000,0,KCB
2007-05-14,27.25,26.0,24.5,25.0,975400,0,KCB
2007-05-15,25.0,25.0,24.0,24.75,344100,0,KCB
2007-05-16,24.75,25.0,24.0,24.5,424800,1,KCB
2007-05-17,24.5,25.0,23.75,24.5,536100,1,KCB
2007-05-18,24.5,25.0,22.5,24.5,292100,1,KCB
2007-05-21,24.5,26.5,23.0,24.5,751700,1,KCB
2007-05-22,24.5,25.0,23.5,24.5,138200,1,KCB
2007-05-23,24.5,25.0,24.0,24.5,695700,1,KCB
2007-05-24,24.5,25.0,23.75,24.5,1700000,1,KCB
2007-05-25,24.5,24.5,23.75,24.25,289700,0,KCB
2007-05-28,24.25,24.5,22.75,24.0,484100,0,KCB
2007-05-29,24.0,24.0,22.0,23.25,670000,0,KCB
2007-05-30,23.25,25.0,22.0,23.25,280600,0,KCB
2007-05-31,23.25,25.0,23.0,23.5,254600,1,KCB
2007-06-01,23.25,25.0,23.0,23.5,254600,1,KCB
2007-06-04,23.25,25.0,23.0,23.5,254600,1,KCB
2007-06-05,23.25,25.0,23.0,23.5,254600,1,KCB
2007-06-06,22.6,24.0,22.0,23.5,1110000,1,KCB
2007-06-07,23.5,25.0,23.0,23.75,2300000,0,KCB
2007-06-08,23.75,28.5,25.5,27.25,1780000,0,KCB
2007-06-11,27.5,27.0,25.5,26.75,4840000,0,KCB
2007-06-12,26.75,28.0,26.75,27.0,3740000,0,KCB
2007-06-13,27.0,24.5,23.5,23.75,213900,0,KCB
2007-06-14,23.75,24.25,22.25,24.0,587600,1,KCB
2007-06-15,24.0,25.0,23.5,24.0,788800,0,KCB
2007-06-18,24.0,24.75,23.5,24.0,439500,1,KCB
2007-06-19,24.0,25.0,24.0,24.5,457700,0,KCB
2007-06-20,24.5,25.75,24.0,24.75,314400,0,KCB
2007-06-21,24.75,25.5,24.0,24.75,234600,0,KCB
2007-06-22,24.75,24.75,24.0,24.25,434200,0,KCB
2007-06-25,24.25,24.0,21.75,22.5,6240000,0,KCB
2007-06-26,22.5,23.5,20.0,21.25,6360000,0,KCB
2007-06-27,21.25,24.75,21.75,22.25,4490000,0,KCB
2007-06-28,22.25,23.75,21.5,22.5,3650000,0,KCB
2007-06-29,22.5,24.75,22.0,23.5,1390000,0,KCB
2007-07-02,23.5,240.0,225.0,23.0,358000,0,KCB
2007-07-03,23.0,230.0,215.0,22.2,274000,0,KCB
2007-07-04,23.0,230.0,215.0,22.2,274000,1,KCB
2007-07-05,22.2,26.0,24.0,25.25,197500,0,KCB
2007-07-06,25.25,23.75,21.5,22.75,1630000,0,KCB
