Date,Open,High,Low,Close,Volume,Is_Stale,Ticker
2007-01-02,21.75,23.0,20.0,21.75,1110000,0,KEGN
2007-01-03,21.75,28.0,20.0,24.0,1820000,1,KEGN
2007-01-04,21.75,28.0,20.0,24.0,1820000,1,KEGN
2007-01-05,21.75,28.0,20.0,24.0,1820000,1,KEGN
2007-01-08,24.0,32.0,28.5,29.0,669700,0,KEGN
2007-01-09,24.0,32.0,28.5,29.0,669700,1,KEGN
2007-01-10,29.0,29.0,26.5,28.0,1060000,0,KEGN
2007-01-11,28.0,27.75,26.25,27.0,411500,0,KEGN
2007-01-12,28.0,27.75,26.25,27.0,411500,1,KEGN
2007-01-15,27.0,29.5,25.0,26.75,836900,0,KEGN
2007-01-16,26.75,29.25,25.5,26.75,970700,0,KEGN
2007-01-17,26.75,28.75,25.0,26.5,2300000,0,KEGN
2007-01-18,26.5,29.25,24.5,26.0,1190000,0,KEGN
2007-01-19,26.0,28.25,25.25,26.25,2310000,0,KEGN
2007-01-22,26.25,29.25,26.0,26.75,1010000,0,KEGN
2007-01-23,26.75,28.0,26.25,26.75,987600,0,KEGN
2007-01-24,26.75,27.5,25.25,26.25,1240000,0,KEGN
2007-01-25,26.25,28.5,25.0,26.5,2090000,0,KEGN
2007-01-26,26.5,29.0,24.0,25.75,1360000,0,KEGN
2007-01-29,25.75,25.5,22.5,24.5,698200,0,KEGN
2007-01-30,24.5,24.0,22.0,23.5,721600,0,KEGN
2007-01-31,23.5,24.5,21.0,22.75,1430000,0,KEGN
2007-02-01,22.75,32.0,28.0,29.25,840000,0,KEGN
2007-02-02,29.25,23.25,20.75,21.5,957600,0,KEGN
2007-02-05,19.85,29.25,25.0,27.5,1820000,0,KEGN
2007-02-06,19.85,29.25,25.0,27.5,1820000,1,KEGN
2007-02-07,27.5,27.5,25.5,26.75,1130000,0,KEGN
2007-02-08,26.75,31.0,27.5,29.5,1380000,1,KEGN
2007-02-09,26.75,31.0,27.5,29.5,1380000,1,KEGN
2007-02-12,26.75,31.0,27.5,29.5,1380000,1,KEGN
2007-02-13,26.75,24.25,21.25,23.25,849400,0,KEGN
2007-02-14,23.25,25.25,21.0,22.5,1690000,0,KEGN
2007-02-15,22.5,24.75,21.0,23.25,958900,0,KEGN
2007-02-16,23.25,24.75,21.0,23.0,727000,0,KEGN
2007-02-19,23.0,24.25,21.25,22.25,1030000,0,KEGN
2007-02-20,22.25,24.0,22.0,23.0,826100,0,KEGN
2007-02-21,23.0,25.0,22.25,23.5,985100,0,KEGN
2007-02-22,23.5,25.0,21.25,23.0,712800,0,KEGN
2007-02-23,23.0,24.75,23.0,23.75,602600,0,KEGN
2007-02-26,23.75,25.25,22.5,23.75,1610000,0,KEGN
2007-02-27,23.75,26.0,23.5,24.5,1250000,0,KEGN
2007-02-28,24.5,26.0,22.5,25.0,1100000,0,KEGN
2007-03-01,25.0,31.75,27.0,28.25,564800,0,KEGN
2007-03-02,25.0,31.75,27.0,28.25,564800,1,KEGN
2007-03-05,20.75,27.0,25.5,26.5,913600,0,KEGN
2007-03-06,20.75,27.0,25.5,26.5,913600,1,KEGN
2007-03-07,26.5,27.75,24.25,27.0,952700,0,KEGN
2007-03-08,27.0,31.25,29.0,30.25,1540000,0,KEGN
2007-03-09,30.25,34.25,28.25,30.75,1130000,0,KEGN
2007-03-12,26.75,28.25,27.0,27.5,651000,0,KEGN
2007-03-13,27.5,21.5,18.9,20.0,945700,0,KEGN
2007-03-14,20.0,21.5,17.7,19.15,552000,0,KEGN
2007-03-15,19.15,18.5,16.35,17.9,1250000,0,KEGN
2007-03-16,17.9,19.7,17.0,17.95,1330000,0,KEGN
2007-03-19,17.95,19.0,16.5,17.85,619200,0,KEGN
2007-03-20,17.85,19.5,16.8,17.8,594800,0,KEGN
2007-03-21,17.8,19.0,16.5,17.95,455500,0,KEGN
2007-03-22,17.95,19.0,17.05,17.85,988200,0,KEGN
2007-03-23,17.85,22.0,15.85,17.55,434600,0,KEGN
2007-03-26,17.55,19.25,16.0,16.8,479500,0,KEGN
2007-03-27,16.8,17.5,15.5,16.45,588300,0,KEGN
2007-03-28,16.45,17.5,15.05,16.65,593800,0,KEGN
2007-03-29,16.65,18.5,16.5,17.55,423700,0,KEGN
2007-03-30,17.55,19.5,18.0,18.7,271900,1,KEGN
2007-04-02,17.55,19.5,18.0,18.7,271900,1,KEGN
2007-04-03,17.55,19.5,18.0,18.7,271900,1,KEGN
2007-04-04,28.25,23.0,21.25,22.25,646900,0,KEGN
2007-04-05,22.25,26.5,24.25,25.75,1270000,0,KEGN
2007-04-06,25.75,28.0,24.75,27.0,1120000,0,KEGN
2007-04-09,27.0,33.75,30.75,31.0,1120000,0,KEGN
