Date,Open,High,Low,Close,Volume,Is_Stale,Ticker
2007-01-10,16.25,16.5,16.0,16.25,586900,0,KNRE
2007-01-11,16.25,15.1,14.85,14.95,406600,1,KNRE
2007-01-12,16.25,15.1,14.85,14.95,406600,1,KNRE
2007-01-15,16.25,15.1,14.85,14.95,406600,1,KNRE
2007-01-16,16.25,15.1,14.85,14.95,406600,1,KNRE
2007-01-17,16.25,15.1,14.85,14.95,406600,1,KNRE
2007-01-18,16.25,15.1,14.85,14.95,406600,1,KNRE
2007-01-19,16.25,15.1,14.85,14.95,406600,1,KNRE
2007-01-22,16.25,15.1,14.85,14.95,406600,1,KNRE
2007-01-23,16.25,15.1,14.85,14.95,406600,1,KNRE
2007-01-24,16.25,15.1,14.85,14.95,406600,1,KNRE
2007-01-25,16.25,15.1,14.85,14.95,406600,1,KNRE
2007-01-26,16.25,15.1,14.85,14.95,406600,1,KNRE
2007-01-29,16.25,15.1,14.85,14.95,406600,1,KNRE
2007-01-30,16.25,15.1,14.85,14.95,406600,1,KNRE
2007-01-31,16.25,15.1,14.85,14.95,406600,1,KNRE
2007-02-01,16.25,15.1,14.85,14.95,406600,1,KNRE
2007-02-02,16.25,15.1,14.85,14.95,406600,1,KNRE
2007-02-05,16.25,15.1,14.85,14.95,406600,1,KNRE
2007-02-06,16.25,15.1,14.85,14.95,406600,1,KNRE
2007-02-07,16.25,15.1,14.85,14.95,406600,1,KNRE
2007-02-08,16.25,15.1,14.85,14.95,406600,1,KNRE
2007-02-09,16.25,15.1,14.85,14.95,406600,1,KNRE
2007-02-12,16.25,15.1,14.85,14.95,406600,1,KNRE
2007-02-13,16.25,15.1,14.85,14.95,406600,1,KNRE
2007-02-14,16.25,15.1,14.85,14.95,406600,1,KNRE
2007-02-15,16.25,15.1,14.85,14.95,406600,1,KNRE
2007-02-16,16.25,15.1,14.85,14.95,406600,1,KNRE
2007-02-19,16.25,15.1,14.85,14.95,406600,1,KNRE
2007-02-20,16.25,15.1,14.85,14.95,406600,1,KNRE
2007-02-21,16.25,15.1,14.85,14.95,406600,1,KNRE
2007-02-22,16.25,15.1,14.85,14.95,406600,1,KNRE
2007-02-23,16.25,15.1,14.85,14.95,406600,1,KNRE
2007-02-26,16.25,15.1,14.85,14.95,406600,1,KNRE
2007-02-27,16.25,15.1,14.85,14.95,406600,1,KNRE
2007-02-28,16.25,15.1,14.85,14.95,406600,1,KNRE
2007-03-01,16.25,15.1,14.85,14.95,406600,1,KNRE
2007-03-02,16.25,15.1,14.85,14.95,406600,1,KNRE
2007-03-05,16.25,15.1,14.85,14.95,406600,1,KNRE
2007-03-06,16.25,15.1,14.85,14.95,406600,1,KNRE
2007-03-07,16.25,15.1,14.85,14.95,406600,1,KNRE
2007-03-08,16.25,15.1,14.85,14.95,406600,1,KNRE
2007-03-09,14.95,17.5,15.5,16.3,4840000,0,KNRE
2007-03-12,16.3,15.5,15.1,15.2,358600,1,KNRE
2007-03-13,16.3,15.5,15.1,15.2,358600,1,KNRE
2007-03-14,16.3,15.5,15.1,15.2,358600,1,KNRE
2007-03-15,16.3,15.5,15.1,15.2,358600,1,KNRE
2007-03-16,16.3,15.5,15.1,15.2,358600,1,KNRE
2007-03-19,16.3,15.5,15.1,15.2,358600,1,KNRE
2007-03-20,16.3,15.5,15.1,15.2,358600,1,KNRE
2007-03-21,16.3,15.5,15.1,15.2,358600,1,KNRE
2007-03-22,16.3,15.5,15.1,15.2,358600,1,KNRE
2007-03-23,16.3,15.5,15.1,15.2,358600,1,KNRE
2007-03-26,16.3,15.5,15.1,15.2,358600,1,KNRE
2007-03-27,16.3,15.5,15.1,15.2,358600,1,KNRE
2007-03-28,16.3,15.5,15.1,15.2,358600,1,KNRE
2007-03-29,16.3,15.5,15.1,15.2,358600,1,KNRE
2007-03-30,16.3,15.5,15.1,15.2,358600,1,KNRE
2007-04-02,16.3,15.5,15.1,15.2,358600,1,KNRE
2007-04-03,16.3,15.5,15.1,15.2,358600,1,KNRE
2007-04-04,16.3,15.5,15.1,15.2,358600,1,KNRE
2007-04-05,16.3,15.5,15.1,15.2,358600,1,KNRE
2007-04-06,16.3,15.5,15.1,15.2,358600,1,KNRE
2007-04-09,15.2,17.8,16.55,17.25,4250000,0,KNRE
2007-04-10,17.25,16.0,14.75,15.2,1070000,0,KNRE
2007-04-11,17.25,16.0,14.75,15.2,1070000,1,KNRE
2007-04-12,15.2,16.0,15.0,15.5,683900,1,KNRE
2007-04-13,15.2,16.0,15.0,15.5,683900,1,KNRE
2007-04-16,15.2,16.0,15.0,15.5,683900,1,KNRE
2007-04-17,15.2,16.0,15.0,15.5,683900,1,KNRE
2007-04-18,15.2,16.0,15.0,15.5,683900,1,KNRE
2007-04-19,15.2,16.0,15.0,15.5,683900,1,KNRE
2007-04-20,15.2,16.0,15.0,15.5,683900,1,KNRE
2007-04-23,15.2,16.0,15.0,15.5,683900,1,KNRE
2007-04-24,15.2,16.0,15.0,15.5,683900,1,KNRE
2007-04-25,15.2,16.0,15.0,15.5,683900,1,KNRE
2007-04-26,15.2,16.0,15.0,15.5,683900,1,KNRE
2007-04-27,15.2,16.0,15.0,15.5,683900,1,KNRE
2007-04-30,15.2,16.0,15.0,15.5,683900,1,KNRE
2007-05-01,15.2,16.0,15.0,15.5,683900,1,KNRE
2007-05-02,15.2,16.0,15.0,15.5,683900,1,KNRE
2007-05-03,15.2,16.0,15.0,15.5,683900,1,KNRE
2007-05-04,15.2,16.0,15.0,15.5,683900,1,KNRE
2007-05-07,15.2,16.0,15.0,15.5,683900,1,KNRE
2007-05-08,15.2,16.0,15.0,15.5,683900,1,KNRE
2007-05-09,15.5,18.4,16.5,17.75,6140000,0,KNRE
2007-05-10,17.75,15.3,14.5,14.95,872200,0,KNRE
2007-05-11,14.95,15.2,14.6,15.0,622700,1,KNRE
2007-05-14,14.95,15.2,14.6,15.0,622700,1,KNRE
2007-05-15,14.95,15.2,14.6,15.0,622700,1,KNRE
2007-05-16,14.95,15.2,14.6,15.0,622700,1,KNRE
2007-05-17,14.95,15.2,14.6,15.0,622700,1,KNRE
2007-05-18,14.95,15.2,14.6,15.0,622700,1,KNRE
2007-05-21,14.95,15.2,14.6,15.0,622700,1,KNRE
2007-05-22,14.95,15.2,14.6,15.0,622700,1,KNRE
2007-05-23,14.95,15.2,14.6,15.0,622700,1,KNRE
2007-05-24,14.95,15.2,14.6,15.0,622700,1,KNRE
2007-05-25,14.95,15.2,14.6,15.0,622700,1,KNRE
2007-05-28,14.95,15.2,14.6,15.0,622700,1,KNRE
2007-05-29,14.95,15.2,14.6,15.0,622700,1,KNRE
2007-05-30,14.95,15.2,14.6,15.0,622700,1,KNRE
2007-05-31,14.95,15.2,14.6,15.0,622700,1,KNRE
2007-06-01,14.95,15.2,14.6,15.0,622700,1,KNRE
2007-06-04,14.95,15.2,14.6,15.0,622700,1,KNRE
2007-06-05,14.95,15.2,14.6,15.0,622700,1,KNRE
2007-06-06,14.95,15.2,14.6,15.0,622700,1,KNRE
2007-06-07,14.95,15.2,14.6,15.0,622700,1,KNRE
2007-06-08,14.95,15.2,14.6,15.0,622700,1,KNRE
2007-06-11,17.5,15.3,14.6,15.0,391300,1,KNRE
2007-06-12,15.0,16.0,15.3,15.75,345300,1,KNRE
2007-06-13,15.0,16.0,15.3,15.75,345300,1,KNRE
2007-06-14,15.0,16.0,15.3,15.75,345300,1,KNRE
2007-06-15,15.0,16.0,15.3,15.75,345300,1,KNRE
2007-06-18,15.0,16.0,15.3,15.75,345300,1,KNRE
2007-06-19,15.0,16.0,15.3,15.75,345300,1,KNRE
2007-06-20,15.0,16.0,15.3,15.75,345300,1,KNRE
2007-06-21,15.0,16.0,15.3,15.75,345300,1,KNRE
2007-06-22,15.0,16.0,15.3,15.75,345300,1,KNRE
2007-06-25,15.0,16.0,15.3,15.75,345300,1,KNRE
2007-06-26,15.0,16.0,15.3,15.75,345300,1,KNRE
2007-06-27,15.0,16.0,15.3,15.75,345300,1,KNRE
2007-06-28,15.0,16.0,15.3,15.75,345300,1,KNRE
2007-06-29,15.0,16.0,15.3,15.75,345300,1,KNRE
2007-07-02,15.0,16.0,15.3,15.75,345300,1,KNRE
2007-07-03,15.0,16.0,15.3,15.75,345300,1,KNRE
2007-07-04,15.0,16.0,15.3,15.75,345300,1,KNRE
2007-07-05,15.0,16.0,15.3,15.75,345300,1,KNRE
2007-07-06,15.0,16.0,15.3,15.75,345300,1,KNRE
