Date,Open,High,Low,Close,Volume,Is_Stale,Ticker
2026-01-07,9.18,9.46,9.1,9.2,507178,1,KPC
2026-01-08,9.18,9.46,9.1,9.2,507178,1,KPC
2026-01-09,9.18,9.46,9.1,9.2,507178,1,KPC
2026-01-12,9.18,9.46,9.1,9.2,507178,1,KPC
2026-01-13,9.18,9.46,9.1,9.2,507178,1,KPC
2026-01-14,9.18,9.46,9.1,9.2,507178,1,KPC
2026-01-15,9.18,9.46,9.1,9.2,507178,1,KPC
2026-01-16,9.18,9.46,9.1,9.2,507178,1,KPC
2026-01-19,9.18,9.46,9.1,9.2,507178,1,KPC
2026-01-20,9.18,9.46,9.1,9.2,507178,1,KPC
2026-01-21,9.18,9.46,9.1,9.2,507178,1,KPC
2026-01-22,9.18,9.46,9.1,9.2,507178,1,KPC
2026-01-23,9.18,9.46,9.1,9.2,507178,1,KPC
2026-01-26,9.18,9.46,9.1,9.2,507178,1,KPC
2026-01-27,9.18,9.46,9.1,9.2,507178,1,KPC
2026-01-28,9.18,9.46,9.1,9.2,507178,1,KPC
2026-01-29,9.18,9.46,9.1,9.2,507178,1,KPC
2026-01-30,9.18,9.46,9.1,9.2,507178,1,KPC
2026-02-02,9.18,9.46,9.1,9.2,507178,1,KPC
2026-02-03,9.18,9.46,9.1,9.2,507178,1,KPC
2026-02-04,9.2,9.3,9.08,9.14,1463713,0,KPC
2026-02-05,9.2,9.3,9.08,9.14,1463713,1,KPC
2026-02-06,9.14,9.2,9.1,9.1,207474,1,KPC
2026-02-09,9.14,9.2,9.1,9.1,207474,1,KPC
2026-02-10,9.14,9.2,9.1,9.1,207474,1,KPC
2026-02-11,9.14,9.2,9.1,9.1,207474,1,KPC
2026-02-12,9.14,9.2,9.1,9.1,207474,1,KPC
2026-02-13,9.14,9.2,9.1,9.1,207474,1,KPC
2026-02-16,9.14,9.2,9.1,9.1,207474,1,KPC
2026-02-17,9.14,9.2,9.1,9.1,207474,1,KPC
2026-02-18,9.14,9.2,9.1,9.1,207474,1,KPC
2026-02-19,9.14,9.2,9.1,9.1,207474,1,KPC
2026-02-20,9.14,9.2,9.1,9.1,207474,1,KPC
2026-02-23,9.14,9.2,9.1,9.1,207474,1,KPC
2026-02-24,9.14,9.2,9.1,9.1,207474,1,KPC
2026-02-25,9.14,9.2,9.1,9.1,207474,1,KPC
2026-02-26,9.14,9.2,9.1,9.1,207474,1,KPC
2026-02-27,9.14,9.2,9.1,9.1,207474,1,KPC
2026-03-02,9.14,9.2,9.1,9.1,207474,1,KPC
2026-03-03,9.14,9.2,9.1,9.1,207474,1,KPC
2026-03-04,9.14,9.2,9.1,9.1,207474,1,KPC
2026-03-05,9.14,9.2,9.1,9.1,207474,1,KPC
2026-03-06,9.22,9.26,9.1,9.1,1750377,1,KPC
2026-03-09,9.22,9.26,9.1,9.1,1750377,1,KPC
2026-03-10,9.22,9.26,9.1,9.1,1750377,1,KPC
2026-03-11,9.22,9.26,9.1,9.1,1750377,1,KPC
2026-03-12,9.22,9.26,9.1,9.1,1750377,1,KPC
2026-03-13,9.24,9.44,9.0,9.08,1361178,0,KPC
2026-03-16,9.08,9.2,9.04,9.1,1698923,0,KPC
2026-03-17,9.1,9.16,9.0,9.08,612772,0,KPC
2026-03-18,9.08,9.2,9.0,9.08,1499395,0,KPC
2026-03-19,9.08,9.2,9.0,9.06,1224363,1,KPC
2026-03-20,9.08,9.2,9.0,9.06,1224363,1,KPC
2026-03-23,9.06,9.06,9.04,9.06,831,1,KPC
2026-03-24,9.06,9.06,9.0,9.04,3957567,0,KPC
2026-03-25,9.04,9.08,9.0,9.04,1930380,0,KPC
2026-03-26,9.04,9.1,9.0,9.02,2739446,0,KPC
2026-03-27,9.02,9.1,9.0,9.06,2214554,0,KPC
2026-03-30,9.06,9.2,9.0,9.08,1476988,1,KPC
2026-03-31,9.08,9.2,9.0,9.08,2158366,1,KPC
2026-04-01,9.08,9.2,9.0,9.08,2158366,1,KPC
2026-04-02,9.08,9.2,9.0,9.08,2158366,1,KPC
2026-04-03,9.08,9.2,9.0,9.08,2158366,1,KPC
2026-04-06,9.18,9.12,9.04,9.1,776865,1,KPC
2026-04-07,9.18,9.12,9.04,9.1,776865,1,KPC
2026-04-08,9.18,9.12,9.04,9.1,776865,1,KPC
2026-04-09,9.18,9.12,9.04,9.1,776865,1,KPC
2026-04-10,9.18,9.12,9.04,9.1,776865,1,KPC
2026-04-13,9.1,9.56,9.28,9.4,2134174,0,KPC
2026-04-14,9.4,9.5,9.1,9.24,932681,0,KPC
2026-04-15,9.24,9.56,9.1,9.36,1365235,0,KPC
2026-04-16,9.36,9.7,9.14,9.4,876682,0,KPC
2026-04-17,9.4,9.94,9.4,9.94,223073286,0,KPC
2026-04-20,9.94,9.9,9.2,9.4,338318,0,KPC
2026-04-21,9.4,9.8,9.3,9.52,210958,0,KPC
2026-04-22,9.52,9.4,9.2,9.26,212171,0,KPC
2026-04-23,9.26,9.26,9.2,9.2,229860,0,KPC
2026-04-24,9.2,9.4,9.2,9.26,183788,0,KPC
2026-04-27,9.26,9.3,9.02,9.24,318604,0,KPC
2026-04-28,9.24,9.4,9.04,9.24,546310,0,KPC
2026-04-29,9.24,9.4,9.1,9.2,235140,0,KPC
2026-04-30,9.2,9.4,9.2,9.24,160067,1,KPC
2026-05-01,9.2,9.4,9.2,9.24,160067,1,KPC
2026-05-04,9.2,9.4,9.2,9.24,160067,1,KPC
2026-05-05,9.24,9.24,9.04,9.12,230081,0,KPC
2026-05-06,9.12,9.12,9.1,9.1,354881,1,KPC
2026-05-07,9.12,9.12,9.1,9.1,354881,1,KPC
2026-05-08,9.12,9.12,9.1,9.1,354881,1,KPC
2026-05-11,9.12,9.12,9.1,9.1,354881,1,KPC
2026-05-12,9.12,9.12,9.1,9.1,354881,1,KPC
2026-05-13,9.1,9.2,9.0,9.12,188124,0,KPC
2026-05-14,9.12,9.26,9.04,9.2,22990551,0,KPC
2026-05-15,9.2,9.26,9.1,9.1,247523,0,KPC
2026-05-18,9.1,9.4,9.04,9.12,276692,0,KPC
2026-05-19,9.12,9.4,9.04,9.1,274592,0,KPC
2026-05-20,9.1,9.42,9.0,9.42,170162,0,KPC
2026-05-21,9.42,9.12,9.1,9.12,407,0,KPC
2026-05-22,9.12,9.16,9.1,9.12,219781,0,KPC
2026-05-25,9.12,9.2,9.0,9.2,234968,0,KPC
2026-05-26,9.2,9.16,9.0,9.1,761014,1,KPC
2026-05-27,9.2,9.16,9.0,9.1,761014,1,KPC
2026-05-28,9.1,9.12,9.08,9.1,6830350,1,KPC
2026-05-29,9.1,9.24,9.1,9.14,3063307,1,KPC
2026-06-01,9.1,9.24,9.1,9.14,3063307,1,KPC
2026-06-02,9.1,9.24,9.1,9.14,3063307,1,KPC
2026-06-03,9.1,9.24,9.1,9.14,3063307,1,KPC
2026-06-04,9.1,9.24,9.1,9.14,3063307,1,KPC
2026-06-05,9.14,9.36,9.1,9.14,29871,1,KPC
2026-06-08,9.14,9.36,9.1,9.14,29871,1,KPC
2026-06-09,9.14,9.36,9.1,9.14,29871,1,KPC
2026-06-10,9.14,9.36,9.1,9.14,29871,1,KPC
2026-06-11,9.14,9.36,9.1,9.14,29871,1,KPC
2026-06-12,9.14,9.36,9.1,9.14,29871,1,KPC
2026-06-15,9.22,9.14,9.0,9.1,576360,1,KPC
2026-06-16,9.1,9.14,9.08,9.1,439462,0,KPC
2026-06-17,9.1,9.16,9.0,9.1,708969,1,KPC
2026-06-18,9.1,9.12,9.06,9.08,778252,0,KPC
2026-06-19,9.1,9.12,9.06,9.08,778252,1,KPC
2026-06-22,9.08,9.12,9.08,9.1,648410,0,KPC
2026-06-23,9.1,9.12,9.06,9.08,364831,0,KPC
2026-06-24,9.08,9.1,9.02,9.08,323149,0,KPC
2026-06-25,9.08,9.14,9.0,9.1,966541,0,KPC
2026-06-26,9.1,9.12,9.0,9.1,817192,0,KPC
2026-06-29,9.1,9.3,9.1,9.16,619028,0,KPC
2026-06-30,9.16,10.0,9.0,9.46,1196378,1,KPC
2026-07-01,9.16,10.0,9.0,9.46,1196378,1,KPC
2026-07-02,9.16,10.0,9.0,9.46,1196378,1,KPC
2026-07-03,9.16,10.0,9.0,9.46,1196378,1,KPC
2026-07-06,9.16,10.0,9.0,9.46,1196378,1,KPC
2026-07-07,9.1,9.26,9.14,9.2,378865,1,KPC
2026-07-08,9.1,9.26,9.14,9.2,378865,1,KPC
2026-07-09,9.1,9.26,9.14,9.2,378865,1,KPC
2026-07-10,9.1,9.26,9.14,9.2,378865,1,KPC
2026-07-13,9.2,9.3,9.1,9.16,108451,0,KPC
2026-07-14,9.16,9.26,9.06,9.12,104304,1,KPC
2026-07-15,9.16,9.26,9.06,9.12,104304,1,KPC
2026-07-16,9.16,9.26,9.06,9.12,104304,1,KPC
2026-07-17,9.12,9.16,9.1,9.1,208193,0,KPC
