Date,Open,High,Low,Close,Volume,Is_Stale,Ticker
2007-01-02,284.0,290.0,275.0,284.0,98300,0,KPLC
2007-01-03,284.0,240.0,224.0,230.0,16600,1,KPLC
2007-01-04,284.0,240.0,224.0,230.0,16600,1,KPLC
2007-01-05,284.0,240.0,224.0,230.0,16600,1,KPLC
2007-01-08,230.0,230.0,225.0,226.0,4100,0,KPLC
2007-01-09,230.0,230.0,225.0,226.0,4100,1,KPLC
2007-01-10,226.0,223.0,215.0,219.0,57900,0,KPLC
2007-01-11,219.0,216.0,211.0,212.0,9900,0,KPLC
2007-01-12,219.0,216.0,211.0,212.0,9900,1,KPLC
2007-01-15,212.0,332.0,310.0,325.0,160300,0,KPLC
2007-01-16,325.0,325.0,310.0,316.0,38300,0,KPLC
2007-01-17,316.0,312.0,285.0,302.0,125100,0,KPLC
2007-01-18,302.0,310.0,284.0,300.0,112000,0,KPLC
2007-01-19,300.0,310.0,305.0,307.0,50600,0,KPLC
2007-01-22,307.0,320.0,305.0,310.0,27300,0,KPLC
2007-01-23,310.0,310.0,300.0,308.0,140500,0,KPLC
2007-01-24,308.0,305.0,300.0,300.0,54600,0,KPLC
2007-01-25,300.0,300.0,290.0,296.0,85000,0,KPLC
2007-01-26,296.0,300.0,275.0,287.0,40800,0,KPLC
2007-01-29,287.0,298.0,290.0,293.0,44900,0,KPLC
2007-01-30,293.0,290.0,270.0,278.0,28100,0,KPLC
2007-01-31,278.0,295.0,275.0,283.0,84400,0,KPLC
2007-02-01,283.0,280.0,260.0,270.0,101000,0,KPLC
2007-02-02,270.0,286.0,275.0,283.0,137900,0,KPLC
2007-02-05,198.0,212.0,210.0,210.0,20200,0,KPLC
2007-02-06,198.0,212.0,210.0,210.0,20200,1,KPLC
2007-02-07,210.0,212.0,207.0,209.0,25500,0,KPLC
2007-02-08,209.0,235.0,218.0,222.0,81700,1,KPLC
2007-02-09,209.0,235.0,218.0,222.0,81700,1,KPLC
2007-02-12,209.0,235.0,218.0,222.0,81700,1,KPLC
2007-02-13,219.0,289.0,284.0,286.0,47300,0,KPLC
2007-02-14,286.0,290.0,275.0,284.0,117100,0,KPLC
2007-02-15,284.0,280.0,270.0,273.0,82200,0,KPLC
2007-02-16,273.0,290.0,270.0,277.0,51700,0,KPLC
2007-02-19,277.0,300.0,280.0,291.0,104200,0,KPLC
2007-02-20,291.0,300.0,280.0,285.0,100900,1,KPLC
2007-02-21,285.0,290.0,280.0,285.0,31600,0,KPLC
2007-02-22,285.0,289.0,270.0,285.0,95900,1,KPLC
2007-02-23,285.0,280.0,275.0,276.0,169600,0,KPLC
2007-02-26,276.0,280.0,258.0,275.0,164000,0,KPLC
2007-02-27,275.0,260.0,238.0,241.0,49900,0,KPLC
2007-02-28,241.0,268.0,150.0,241.0,159500,0,KPLC
2007-03-01,241.0,280.0,270.0,275.0,17800,0,KPLC
2007-03-02,241.0,280.0,270.0,275.0,17800,1,KPLC
2007-03-05,196.0,212.0,210.0,211.0,13700,0,KPLC
2007-03-06,196.0,212.0,210.0,211.0,13700,1,KPLC
2007-03-07,211.0,211.0,210.0,210.0,2900,0,KPLC
2007-03-08,210.0,229.0,218.0,226.0,171200,0,KPLC
2007-03-09,226.0,245.0,240.0,240.0,48300,0,KPLC
2007-03-12,224.0,216.0,211.0,215.0,45000,0,KPLC
2007-03-13,215.0,215.0,207.0,211.0,376200,0,KPLC
2007-03-14,211.0,213.0,190.0,202.0,54200,0,KPLC
