Date,Open,High,Low,Close,Volume,Ticker,is_stale,is_outlier
2015-01-02,8.7,8.95,8.4,8.7,102100.0,KQ.NR,0,0
2015-01-05,8.7,9.0,8.65,8.9,134700.0,KQ.NR,0,0
2015-01-06,8.9,9.15,8.9,9.05,82700.0,KQ.NR,0,0
2015-01-07,9.05,9.2,8.9,9.0,131800.0,KQ.NR,0,0
2015-01-08,9.0,9.2,9.0,9.0,156500.0,KQ.NR,0,0
2015-01-09,9.0,9.2,9.0,9.1,403400.0,KQ.NR,0,0
2015-01-12,9.1,9.75,9.0,9.05,386600.0,KQ.NR,0,0
2015-01-13,9.05,9.1,8.9,9.0,186800.0,KQ.NR,0,0
2015-01-14,9.0,9.75,9.0,9.3,178700.0,KQ.NR,0,0
2015-01-15,9.3,9.6,9.25,9.45,288000.0,KQ.NR,0,0
2015-01-16,9.45,9.65,9.3,9.5,175600.0,KQ.NR,0,0
2015-01-19,9.5,9.5,9.2,9.35,216700.0,KQ.NR,0,0
2015-01-20,9.35,9.5,9.3,9.35,164100.0,KQ.NR,0,0
2015-01-21,9.35,9.55,9.3,9.45,242500.0,KQ.NR,0,0
2015-01-22,9.45,9.7,9.2,9.55,69300.0,KQ.NR,0,0
2015-01-23,9.55,10.0,9.5,9.9,154000.0,KQ.NR,0,0
2015-01-26,9.9,10.85,10.0,10.65,304300.0,KQ.NR,0,0
2015-01-27,10.65,11.45,10.65,10.85,802600.0,KQ.NR,0,0
2015-01-28,10.85,11.0,10.45,10.75,167100.0,KQ.NR,0,0
2015-01-29,10.75,10.9,10.4,10.65,84200.0,KQ.NR,0,0
2015-01-30,10.65,11.15,10.65,10.95,882200.0,KQ.NR,0,0
2015-02-02,10.95,11.5,10.85,11.0,1510700.0,KQ.NR,0,0
2015-02-03,11.0,11.45,10.7,10.9,147600.0,KQ.NR,0,0
2015-02-04,10.9,11.0,10.8,10.95,237300.0,KQ.NR,0,0
2015-02-05,10.95,11.0,10.8,10.9,58500.0,KQ.NR,0,0
2015-02-06,10.9,11.3,10.85,11.0,236500.0,KQ.NR,0,0
2015-02-09,11.0,11.5,10.8,10.95,159400.0,KQ.NR,0,0
2015-02-10,10.95,11.0,10.8,10.85,1696300.0,KQ.NR,0,0
2015-02-11,10.85,11.0,10.8,10.9,41700.0,KQ.NR,0,0
2015-02-12,10.9,10.95,10.6,10.75,236600.0,KQ.NR,0,0
2015-02-13,10.75,10.75,10.5,10.5,154600.0,KQ.NR,0,0
2015-02-16,10.5,10.8,10.0,10.2,224400.0,KQ.NR,0,0
2015-02-17,10.2,10.8,9.9,10.0,241400.0,KQ.NR,0,0
2015-02-18,10.0,10.1,9.9,9.95,200600.0,KQ.NR,0,0
2015-02-19,9.95,10.05,9.8,10.0,119000.0,KQ.NR,0,0
2015-02-20,10.0,10.05,10.0,10.0,49500.0,KQ.NR,0,0
2015-02-23,10.0,10.0,9.55,9.75,68400.0,KQ.NR,0,0
2015-02-24,9.75,10.0,9.6,9.8,143000.0,KQ.NR,0,0
2015-02-25,9.8,10.0,9.6,9.75,388500.0,KQ.NR,0,0
2015-02-26,9.75,10.0,9.7,9.9,215400.0,KQ.NR,0,0
2015-02-27,9.9,10.2,9.8,9.9,22800.0,KQ.NR,0,0
2015-03-02,9.9,10.1,9.75,9.9,143800.0,KQ.NR,0,0
2015-03-03,9.9,10.0,9.75,9.9,43400.0,KQ.NR,0,0
2015-03-04,9.9,10.0,9.55,9.9,167700.0,KQ.NR,0,0
2015-03-05,9.9,10.0,9.75,9.8,177700.0,KQ.NR,0,0
2015-03-06,9.8,9.9,9.7,9.75,135900.0,KQ.NR,0,0
2015-03-09,9.75,9.8,9.05,9.55,173000.0,KQ.NR,0,0
2015-03-10,9.55,9.55,9.4,9.45,132000.0,KQ.NR,0,0
2015-03-11,9.45,9.55,9.3,9.35,58600.0,KQ.NR,0,0
2015-03-12,9.35,9.5,9.3,9.35,105900.0,KQ.NR,0,0
2015-03-13,9.35,9.75,9.25,9.3,2031300.0,KQ.NR,0,0
2015-03-16,9.3,9.6,9.3,9.4,33400.0,KQ.NR,0,0
2015-03-17,9.4,9.5,9.0,9.15,98600.0,KQ.NR,0,0
2015-03-18,9.15,9.45,8.45,9.0,79600.0,KQ.NR,0,0
2015-03-19,9.0,9.45,8.9,9.05,657700.0,KQ.NR,0,0
2015-03-20,9.05,9.1,8.9,8.95,636200.0,KQ.NR,0,0
2015-03-23,8.95,9.1,8.65,8.9,42700.0,KQ.NR,0,0
2015-03-24,8.9,9.0,8.65,8.7,68500.0,KQ.NR,0,0
2015-03-25,8.7,8.95,8.5,8.6,230300.0,KQ.NR,0,0
2015-03-26,8.6,9.0,8.45,8.9,2368200.0,KQ.NR,0,0
2015-03-27,8.9,8.9,8.3,8.4,110100.0,KQ.NR,0,0
2015-03-30,8.4,8.4,8.1,8.35,149400.0,KQ.NR,0,0
2015-03-31,8.35,8.3,8.1,8.2,165000.0,KQ.NR,0,0
2015-04-01,8.2,8.5,8.0,8.05,175300.0,KQ.NR,0,0
2015-04-02,8.05,8.1,7.85,7.95,280900.0,KQ.NR,0,0
2015-04-03,8.05,8.1,7.85,7.95,0.0,,0,0
