Date,Open,High,Low,Close,Volume,Is_Stale,Ticker
2012-01-02,11.2,11.2,11.2,11.2,0,1,LKL
2012-01-03,11.2,11.2,11.2,11.2,0,1,LKL
2012-01-04,11.2,11.2,11.2,11.2,0,1,LKL
2012-01-05,11.2,11.2,11.2,11.2,0,1,LKL
2012-01-06,11.2,11.2,11.2,11.2,0,1,LKL
2012-01-09,11.2,11.2,11.2,11.2,0,1,LKL
2012-01-10,18.3,13.95,13.95,13.95,300,0,LKL
2012-01-11,13.95,10.0,10.0,10.0,300,0,LKL
2012-01-12,13.95,10.0,10.0,10.0,300,1,LKL
2012-01-13,10.0,11.2,11.2,11.2,0,1,LKL
2012-01-16,11.2,11.2,11.2,11.2,0,1,LKL
2012-01-17,11.2,11.2,11.2,11.2,0,1,LKL
2012-01-18,11.2,11.2,11.2,11.2,0,1,LKL
2012-01-19,11.2,11.2,11.2,11.2,0,1,LKL
2012-01-20,11.2,11.2,11.2,11.2,0,1,LKL
2012-01-23,11.2,11.2,11.2,11.2,0,1,LKL
2012-01-24,11.2,11.2,11.2,11.2,0,1,LKL
2012-01-25,11.2,11.2,11.2,11.2,0,1,LKL
2012-01-26,11.2,11.2,11.2,11.2,0,1,LKL
2012-01-27,11.2,11.2,11.2,11.2,0,1,LKL
2012-01-30,11.2,11.2,11.2,11.2,0,1,LKL
2012-01-31,11.2,11.2,11.2,11.2,0,1,LKL
2012-02-01,11.2,11.2,11.2,11.2,0,1,LKL
2012-02-02,11.2,11.2,11.2,11.2,0,1,LKL
2012-02-03,11.2,11.2,11.2,11.2,0,1,LKL
2012-02-06,11.2,11.2,11.2,11.2,0,1,LKL
2012-02-07,11.2,19.0,18.0,18.15,1300,0,LKL
2012-02-08,18.15,18.3,18.3,18.3,200,0,LKL
2012-02-09,18.15,18.3,18.3,18.3,200,1,LKL
2012-02-10,18.3,13.4,13.4,13.4,100,0,LKL
2012-02-13,9.0,11.2,11.2,11.2,0,1,LKL
2012-02-14,11.2,11.2,11.2,11.2,0,1,LKL
2012-02-15,11.2,11.2,11.2,11.2,0,1,LKL
2012-02-16,11.2,11.2,11.2,11.2,0,1,LKL
2012-02-17,11.2,11.2,11.2,11.2,0,1,LKL
2012-02-20,11.2,11.2,11.2,11.2,0,1,LKL
2012-02-21,11.2,11.2,11.2,11.2,0,1,LKL
2012-02-22,11.2,11.2,11.2,11.2,0,1,LKL
2012-02-23,11.2,11.2,11.2,11.2,0,1,LKL
2012-02-24,11.2,11.2,11.2,11.2,0,1,LKL
2012-02-27,11.2,11.2,11.2,11.2,0,1,LKL
2012-02-28,11.2,11.2,11.2,11.2,0,1,LKL
2012-02-29,11.2,11.2,11.2,11.2,0,1,LKL
2012-03-01,11.2,11.2,11.2,11.2,0,1,LKL
2012-03-02,11.2,11.2,11.2,11.2,0,1,LKL
2012-03-05,11.2,11.2,11.2,11.2,0,1,LKL
2012-03-06,11.2,11.2,11.2,11.2,0,1,LKL
2012-03-07,11.2,19.0,18.0,18.4,2000,0,LKL
2012-03-08,18.4,18.3,18.3,18.3,0,0,LKL
2012-03-09,18.3,17.15,17.15,17.15,100,0,LKL
2012-03-12,13.25,9.9,9.9,9.9,0,0,LKL
2012-03-13,9.9,11.2,11.2,11.2,0,1,LKL
2012-03-14,11.2,11.2,11.2,11.2,0,1,LKL
2012-03-15,11.2,11.2,11.2,11.2,0,1,LKL
2012-03-16,11.2,11.2,11.2,11.2,0,1,LKL
2012-03-19,11.2,11.2,11.2,11.2,0,1,LKL
2012-03-20,11.2,11.2,11.2,11.2,0,1,LKL
2012-03-21,11.2,11.2,11.2,11.2,0,1,LKL
2012-03-22,11.2,11.2,11.2,11.2,0,1,LKL
2012-03-23,11.2,11.2,11.2,11.2,0,1,LKL
2012-03-26,11.2,11.2,11.2,11.2,0,1,LKL
2012-03-27,11.2,11.2,11.2,11.2,0,1,LKL
2012-03-28,11.2,11.2,11.2,11.2,0,1,LKL
2012-03-29,11.2,11.2,11.2,11.2,0,1,LKL
2012-03-30,11.2,11.2,11.2,11.2,0,1,LKL
2012-04-02,11.2,11.2,11.2,11.2,0,1,LKL
2012-04-03,11.2,11.2,11.2,11.2,0,1,LKL
2012-04-04,11.2,11.2,11.2,11.2,0,1,LKL
2012-04-05,11.2,11.2,11.2,11.2,0,1,LKL
2012-04-06,11.2,19.5,18.0,18.25,600,0,LKL
2012-04-09,18.65,17.15,17.15,17.15,0,0,LKL
2012-04-10,17.15,12.5,12.5,12.5,500,0,LKL
2012-04-11,17.15,12.5,12.5,12.5,500,1,LKL
2012-04-12,12.5,9.9,9.9,9.9,0,0,LKL
2012-04-13,9.9,11.2,11.2,11.2,0,1,LKL
2012-04-16,11.2,11.2,11.2,11.2,0,1,LKL
2012-04-17,11.2,11.2,11.2,11.2,0,1,LKL
2012-04-18,11.2,11.2,11.2,11.2,0,1,LKL
2012-04-19,11.2,11.2,11.2,11.2,0,1,LKL
2012-04-20,11.2,11.2,11.2,11.2,0,1,LKL
2012-04-23,11.2,11.2,11.2,11.2,0,1,LKL
2012-04-24,11.2,11.2,11.2,11.2,0,1,LKL
2012-04-25,11.2,11.2,11.2,11.2,0,1,LKL
2012-04-26,11.2,11.2,11.2,11.2,0,1,LKL
2012-04-27,11.2,11.2,11.2,11.2,0,1,LKL
2012-04-30,11.2,11.2,11.2,11.2,0,1,LKL
2012-05-01,11.2,11.2,11.2,11.2,0,1,LKL
