Date,Open,High,Low,Close,Volume,Is_Stale,Ticker
2007-01-02,56.0,58.0,55.0,56.0,46300,0,NBV
2007-01-03,56.0,47.0,43.0,44.0,25400,1,NBV
2007-01-04,56.0,47.0,43.0,44.0,25400,1,NBV
2007-01-05,56.0,47.0,43.0,44.0,25400,1,NBV
2007-01-08,44.0,49.0,46.5,47.25,51800,0,NBV
2007-01-09,44.0,49.0,46.5,47.25,51800,1,NBV
2007-01-10,47.25,42.0,40.0,40.5,38400,0,NBV
2007-01-11,40.5,40.0,36.25,38.25,20200,0,NBV
2007-01-12,40.5,40.0,36.25,38.25,20200,1,NBV
2007-01-15,38.25,68.0,63.0,66.5,139100,0,NBV
2007-01-16,66.5,67.0,64.0,65.0,83600,0,NBV
2007-01-17,65.0,67.0,60.5,64.5,83700,0,NBV
2007-01-18,64.5,64.0,57.0,59.5,166900,0,NBV
2007-01-19,59.5,60.0,57.0,59.0,175400,0,NBV
2007-01-22,59.0,60.0,57.5,59.5,107100,0,NBV
2007-01-23,59.5,60.0,58.0,59.5,62300,0,NBV
2007-01-24,59.5,60.0,57.5,59.0,101700,0,NBV
2007-01-25,59.0,59.5,57.0,58.5,74500,0,NBV
2007-01-26,58.5,63.0,53.0,57.0,82900,0,NBV
2007-01-29,57.0,58.5,51.5,57.5,62800,0,NBV
2007-01-30,57.5,57.5,54.0,56.0,60100,0,NBV
2007-01-31,56.0,57.0,54.0,56.0,55300,0,NBV
2007-02-01,56.0,60.0,57.0,58.5,84900,0,NBV
2007-02-02,58.5,56.5,53.0,55.5,42900,0,NBV
2007-02-05,49.0,43.0,39.0,40.5,67800,0,NBV
2007-02-06,49.0,43.0,39.0,40.5,67800,1,NBV
2007-02-07,40.5,50.0,45.0,47.0,47700,0,NBV
2007-02-08,47.0,49.5,46.25,47.75,58700,1,NBV
2007-02-09,47.0,49.5,46.25,47.75,58700,1,NBV
2007-02-12,47.0,49.5,46.25,47.75,58700,1,NBV
2007-02-13,37.25,59.0,54.0,56.0,124800,0,NBV
2007-02-14,56.0,58.0,55.0,56.5,147300,0,NBV
2007-02-15,56.5,58.0,54.0,56.0,137800,0,NBV
2007-02-16,56.0,57.5,55.0,56.0,47000,0,NBV
2007-02-19,56.0,57.5,54.0,56.5,45200,0,NBV
2007-02-20,56.5,57.0,53.0,55.5,58900,0,NBV
2007-02-21,55.5,58.5,55.0,55.5,40100,0,NBV
2007-02-22,55.5,58.5,54.0,56.0,113000,0,NBV
2007-02-23,56.0,60.0,53.0,57.0,86600,0,NBV
2007-02-26,57.0,58.0,53.0,54.5,176100,0,NBV
2007-02-27,54.5,55.0,50.0,52.0,54300,0,NBV
2007-02-28,52.0,52.0,47.0,50.0,20000,0,NBV
2007-03-01,50.0,61.0,57.0,58.5,157100,0,NBV
2007-03-02,50.0,61.0,57.0,58.5,157100,1,NBV
2007-03-05,49.75,42.0,40.0,40.75,34400,0,NBV
2007-03-06,49.75,42.0,40.0,40.75,34400,1,NBV
2007-03-07,40.75,49.0,47.0,48.0,50500,0,NBV
2007-03-08,48.0,48.0,46.0,47.0,28900,0,NBV
2007-03-09,47.0,46.75,46.0,46.5,40800,0,NBV
2007-03-12,43.25,43.0,40.0,41.25,28500,0,NBV
2007-03-13,41.25,50.5,46.0,49.0,94500,0,NBV
2007-03-14,49.0,53.5,48.5,51.0,79200,0,NBV
2007-03-15,51.0,55.5,50.0,52.5,99200,0,NBV
2007-03-16,52.5,53.0,46.5,51.0,166800,0,NBV
2007-03-19,51.0,53.5,45.0,48.5,36600,0,NBV
2007-03-20,48.5,52.0,43.0,46.0,56000,0,NBV
2007-03-21,46.0,45.0,39.25,40.5,39500,0,NBV
2007-03-22,40.5,40.0,36.25,38.75,27600,0,NBV
2007-03-23,38.75,36.0,33.25,33.5,25000,0,NBV
2007-03-26,33.5,33.5,30.0,31.75,24200,0,NBV
2007-03-27,31.75,38.0,31.75,34.5,114200,0,NBV
2007-03-28,34.5,38.5,35.0,37.5,78900,0,NBV
2007-03-29,37.5,41.75,38.25,40.75,32400,0,NBV
2007-03-30,40.75,45.0,45.0,45.0,18300,1,NBV
2007-04-02,40.75,45.0,45.0,45.0,18300,1,NBV
2007-04-03,40.75,45.0,45.0,45.0,18300,1,NBV
2007-04-04,60.0,51.0,47.25,49.0,61600,0,NBV
2007-04-05,49.0,42.0,40.25,40.5,27500,0,NBV
2007-04-06,40.5,53.0,49.0,52.5,125200,0,NBV
2007-04-09,48.25,46.25,45.0,45.25,67700,0,NBV
2007-04-10,45.25,42.0,39.0,40.0,74100,0,NBV
2007-04-11,45.25,42.0,39.0,40.0,74100,1,NBV
2007-04-12,40.0,43.0,41.25,42.25,91100,0,NBV
2007-04-13,42.25,45.0,40.25,44.0,36900,0,NBV
2007-04-16,44.0,44.0,41.0,41.25,23300,0,NBV
2007-04-17,41.25,42.0,41.0,41.25,27000,0,NBV
2007-04-18,41.25,41.0,37.0,40.25,58100,0,NBV
2007-04-19,40.25,41.0,38.0,39.5,34500,0,NBV
2007-04-20,39.5,43.0,39.25,40.5,32000,0,NBV
2007-04-23,40.5,43.0,39.5,41.0,32700,0,NBV
2007-04-24,41.0,45.0,37.25,43.0,31200,0,NBV
2007-04-25,43.0,45.0,40.0,44.0,39100,0,NBV
2007-04-26,44.0,46.0,42.75,44.5,18300,0,NBV
2007-04-27,44.5,44.0,40.25,42.25,31600,0,NBV
2007-04-30,42.25,43.0,40.0,41.25,6400,0,NBV
2007-05-01,41.25,66.0,58.0,62.5,55900,0,NBV
2007-05-02,62.5,57.0,53.5,55.0,31400,0,NBV
2007-05-03,55.0,43.0,39.5,40.5,57300,0,NBV
2007-05-04,40.5,50.0,45.25,49.25,62800,0,NBV
2007-05-07,58.0,50.0,48.0,48.75,32600,0,NBV
2007-05-08,58.0,50.0,48.0,48.75,32600,1,NBV
2007-05-09,48.75,46.0,42.0,44.25,123200,0,NBV
2007-05-10,44.25,42.0,37.0,39.5,31000,0,NBV
