Date,Open,High,Low,Close,Volume,Ticker,is_stale,is_outlier
2015-01-02,57.5,58.5,57.5,57.75,35900.0,NCBA.NR,0,0
2015-01-05,57.75,58.5,58.0,58.25,42500.0,NCBA.NR,0,0
2015-01-06,58.25,60.0,58.0,58.75,14000.0,NCBA.NR,0,0
2015-01-07,58.75,64.0,58.5,60.75,30400.0,NCBA.NR,0,0
2015-01-08,60.75,64.0,61.0,63.25,25900.0,NCBA.NR,0,0
2015-01-09,63.25,63.5,62.0,63.25,207000.0,NCBA.NR,0,0
2015-01-12,63.25,65.0,63.0,63.0,636100.0,NCBA.NR,0,0
2015-01-13,63.0,65.0,62.0,63.75,105300.0,NCBA.NR,0,0
2015-01-14,63.75,65.0,63.0,64.75,82200.0,NCBA.NR,0,0
2015-01-15,64.75,65.0,63.5,64.0,16400.0,NCBA.NR,0,0
2015-01-16,64.0,65.0,64.0,64.25,145000.0,NCBA.NR,0,0
2015-01-19,64.25,65.0,62.0,63.25,21400.0,NCBA.NR,0,0
2015-01-20,63.25,67.0,63.5,65.0,211700.0,NCBA.NR,0,0
2015-01-21,65.0,67.0,65.0,66.75,195300.0,NCBA.NR,0,0
2015-01-22,66.75,67.0,66.0,66.75,333500.0,NCBA.NR,0,0
2015-01-23,66.75,70.0,66.5,66.75,9000.0,NCBA.NR,1,0
2015-01-26,66.75,72.0,66.5,67.0,725200.0,NCBA.NR,0,0
2015-01-27,67.0,68.0,66.5,67.5,102300.0,NCBA.NR,0,0
2015-01-28,67.5,68.0,66.0,66.75,829000.0,NCBA.NR,0,0
2015-01-29,66.75,67.0,65.0,65.5,63800.0,NCBA.NR,0,0
2015-01-30,65.5,66.5,65.0,66.0,537300.0,NCBA.NR,0,0
2015-02-02,66.0,66.0,64.0,65.5,87200.0,NCBA.NR,0,0
2015-02-03,65.5,66.0,65.0,65.75,223100.0,NCBA.NR,0,0
2015-02-04,65.75,67.0,66.0,66.0,49400.0,NCBA.NR,0,0
2015-02-05,66.0,67.0,66.0,66.0,55100.0,NCBA.NR,0,0
2015-02-06,66.0,66.5,65.5,65.5,52400.0,NCBA.NR,0,0
2015-02-09,65.5,65.5,63.0,64.75,277100.0,NCBA.NR,0,0
2015-02-10,64.75,65.0,62.0,63.0,26700.0,NCBA.NR,0,0
2015-02-11,63.0,64.0,63.5,63.75,75900.0,NCBA.NR,0,0
2015-02-12,63.75,64.0,62.5,63.0,172100.0,NCBA.NR,0,0
2015-02-13,63.0,64.5,62.5,63.25,88000.0,NCBA.NR,0,0
2015-02-16,63.25,65.0,62.5,62.75,34600.0,NCBA.NR,0,0
2015-02-17,62.75,64.0,62.5,63.25,126000.0,NCBA.NR,0,0
2015-02-18,63.25,66.0,63.0,64.5,146600.0,NCBA.NR,0,0
2015-02-19,64.5,66.0,65.0,65.0,220000.0,NCBA.NR,0,0
2015-02-20,65.0,65.5,65.0,65.0,25200.0,NCBA.NR,0,0
2015-02-23,65.0,66.0,65.0,65.75,54900.0,NCBA.NR,0,0
2015-02-24,65.75,67.0,65.5,65.75,106500.0,NCBA.NR,0,0
2015-02-25,65.75,66.0,65.5,65.75,57900.0,NCBA.NR,1,0
2015-02-26,65.75,67.0,65.5,65.5,79100.0,NCBA.NR,0,0
2015-02-27,65.5,66.5,65.0,65.0,665500.0,NCBA.NR,0,0
2015-03-02,65.0,65.0,63.0,64.0,41100.0,NCBA.NR,0,0
2015-03-03,64.0,64.0,63.0,63.25,32700.0,NCBA.NR,0,0
2015-03-04,63.25,63.0,63.0,63.0,900.0,NCBA.NR,0,0
2015-03-05,63.0,64.0,62.5,63.75,856300.0,NCBA.NR,0,0
2015-03-06,63.75,64.0,62.5,63.25,193400.0,NCBA.NR,0,0
2015-03-09,63.25,63.5,62.5,63.0,594900.0,NCBA.NR,0,0
