Date,Open,High,Low,Close,Volume,Is_Stale,Ticker
2014-09-09,16.3,18.0,15.0,16.3,3844000,0,NSE
2014-09-10,16.3,17.9,17.0,17.85,6824800,0,NSE
2014-09-11,17.85,19.6,19.6,19.6,1737500,0,NSE
2014-09-12,19.6,21.5,21.5,21.5,6311700,0,NSE
2014-09-15,21.5,23.5,21.5,23.4,3455100,0,NSE
2014-09-16,23.4,25.5,21.5,23.65,3313500,0,NSE
2014-09-17,23.65,23.5,21.25,21.8,2167000,0,NSE
2014-09-18,21.8,23.75,23.25,23.65,1644300,0,NSE
2014-09-19,23.65,25.75,24.0,25.1,1509600,0,NSE
2014-09-22,25.1,27.5,25.75,27.1,2758900,0,NSE
2014-09-23,27.1,28.0,24.5,26.35,3138500,0,NSE
2014-09-24,26.35,26.5,24.25,24.75,1339000,0,NSE
2014-09-25,24.75,24.5,22.5,22.85,2574500,0,NSE
2014-09-26,22.85,24.25,22.75,23.1,999100,0,NSE
2014-09-29,23.1,24.0,22.75,23.15,510300,0,NSE
2014-09-30,23.15,23.75,23.0,23.5,538300,0,NSE
2014-10-01,23.5,23.5,22.75,23.0,753600,0,NSE
2014-10-02,23.0,23.0,21.75,22.35,296200,0,NSE
2014-10-03,22.35,23.0,22.0,22.45,148600,0,NSE
2014-10-06,22.45,23.5,22.25,23.05,398400,0,NSE
2014-10-07,23.05,23.5,22.25,22.85,521900,0,NSE
2014-10-08,22.85,23.25,22.0,22.8,276200,0,NSE
2014-10-09,22.8,23.0,22.0,22.6,315800,0,NSE
2014-10-10,22.6,23.0,22.0,22.95,2648900,0,NSE
2014-10-13,22.95,23.0,22.5,22.8,148800,0,NSE
2014-10-14,22.8,22.75,22.0,22.5,143800,0,NSE
2014-10-15,22.5,22.75,21.75,22.2,167500,0,NSE
2014-10-16,22.2,22.5,21.5,21.95,1212400,0,NSE
2014-10-17,21.95,22.75,21.75,21.85,132500,0,NSE
2014-10-20,21.95,22.75,21.75,21.85,132500,1,NSE
2014-10-21,21.85,22.5,21.75,21.9,153700,0,NSE
2014-10-22,21.9,22.0,21.5,21.65,181600,0,NSE
2014-10-23,21.65,21.75,21.0,21.05,617600,0,NSE
2014-10-24,21.05,22.0,20.0,21.25,132700,0,NSE
2014-10-27,21.25,21.0,20.25,20.5,95900,0,NSE
