Date,Open,High,Low,Close,Volume,Is_Stale,Ticker
2007-01-02,27.0,27.0,27.0,27.0,200,0,OCH
2007-01-03,27.0,23.0,23.0,23.0,700,1,OCH
2007-01-04,27.0,23.0,23.0,23.0,700,1,OCH
2007-01-05,27.0,23.0,23.0,23.0,700,1,OCH
2007-01-08,23.0,22.0,20.0,20.75,33900,0,OCH
2007-01-09,23.0,22.0,20.0,20.75,33900,1,OCH
2007-01-10,20.75,16.5,16.0,16.3,40200,0,OCH
2007-01-11,16.3,15.3,14.0,14.4,179400,0,OCH
2007-01-12,16.3,15.3,14.0,14.4,179400,1,OCH
2007-01-15,14.4,32.5,31.0,31.5,19900,0,OCH
2007-01-16,31.5,34.0,30.0,30.0,24300,0,OCH
2007-01-17,30.0,31.0,29.75,30.0,5300,0,OCH
2007-01-18,30.0,29.0,28.0,28.75,4000,0,OCH
2007-01-19,28.75,30.0,28.75,29.0,29900,0,OCH
2007-01-22,29.0,30.0,28.0,28.75,15400,0,OCH
2007-01-23,28.75,30.0,28.0,28.75,6700,0,OCH
2007-01-24,28.75,29.0,27.5,28.25,2200,0,OCH
2007-01-25,28.25,29.0,27.5,28.75,17900,0,OCH
2007-01-26,28.75,30.0,27.5,29.0,1500,0,OCH
2007-01-29,29.0,30.0,28.0,28.75,2100,0,OCH
2007-01-30,28.75,30.0,27.5,29.75,1600,0,OCH
2007-01-31,29.75,28.0,27.0,27.75,10800,0,OCH
2007-02-01,27.75,30.0,30.0,30.0,3400,0,OCH
2007-02-02,30.0,27.0,27.0,27.0,500,1,OCH
2007-02-05,30.0,27.0,27.0,27.0,500,1,OCH
2007-02-06,30.0,27.0,27.0,27.0,500,1,OCH
2007-02-07,16.0,19.5,19.5,19.5,9000,0,OCH
2007-02-08,19.5,21.0,19.5,20.0,24100,1,OCH
2007-02-09,19.5,21.0,19.5,20.0,24100,1,OCH
2007-02-12,19.5,21.0,19.5,20.0,24100,1,OCH
2007-02-13,14.95,28.0,27.0,27.75,600,0,OCH
2007-02-14,27.75,27.0,25.25,25.25,11300,0,OCH
2007-02-15,25.25,27.0,25.0,25.25,900,0,OCH
2007-02-16,25.25,25.0,25.0,25.0,1400,1,OCH
2007-02-19,25.0,25.0,25.0,25.0,1100,0,OCH
2007-02-20,25.0,25.0,25.0,25.0,5100,1,OCH
2007-02-21,25.0,25.0,23.0,23.75,5200,0,OCH
2007-02-22,23.75,25.0,21.0,21.75,1000,0,OCH
2007-02-23,21.75,27.0,23.0,24.0,400,0,OCH
2007-02-26,24.0,25.0,23.0,23.5,1600,0,OCH
2007-02-27,23.5,23.5,23.0,23.25,4100,0,OCH
2007-02-28,23.5,23.5,23.0,23.25,4100,1,OCH
2007-03-01,23.25,32.5,29.0,31.0,7000,0,OCH
2007-03-02,23.25,32.5,29.0,31.0,7000,1,OCH
2007-03-05,31.0,19.0,19.0,19.0,8800,0,OCH
2007-03-06,31.0,19.0,19.0,19.0,8800,1,OCH
2007-03-07,19.0,20.0,19.0,19.95,5200,0,OCH
2007-03-08,19.95,21.0,20.0,20.75,2000,0,OCH
2007-03-09,19.95,21.0,20.0,20.75,2000,1,OCH
2007-03-12,18.0,14.6,13.85,14.45,62500,0,OCH
2007-03-13,3.0,3.0,3.0,3.0,211800,1,OCH
2007-03-14,19.9,20.0,19.0,19.7,1500,0,OCH
2007-03-15,19.7,20.0,20.0,20.0,900,0,OCH
2007-03-16,20.0,20.0,18.5,19.15,7200,0,OCH
2007-03-19,19.15,20.0,19.0,19.7,1800,0,OCH
2007-03-20,19.7,18.5,18.45,18.45,1100,0,OCH
2007-03-21,19.7,18.5,18.45,18.45,1100,1,OCH
2007-03-22,18.45,19.5,16.8,17.7,1500,0,OCH
2007-03-23,18.45,19.5,16.8,17.7,1500,1,OCH
2007-03-26,17.7,16.0,15.2,15.6,1000,0,OCH
2007-03-27,15.6,15.0,15.0,15.0,2000,0,OCH
2007-03-28,3.0,3.0,3.0,3.0,211800,1,OCH
2007-03-29,3.0,3.0,3.0,3.0,211800,1,OCH
2007-03-30,14.0,15.0,15.0,15.0,100,1,OCH
2007-04-02,14.0,15.0,15.0,15.0,100,1,OCH
2007-04-03,14.0,15.0,15.0,15.0,100,1,OCH
2007-04-04,29.75,17.0,17.0,17.0,200,0,OCH
2007-04-05,29.75,17.0,17.0,17.0,200,1,OCH
2007-04-06,3.0,3.0,3.0,3.0,211800,1,OCH
2007-04-09,3.0,3.0,3.0,3.0,211800,1,OCH
2007-04-10,3.0,3.0,3.0,3.0,211800,1,OCH
2007-04-11,19.2,19.5,16.5,18.75,53000,1,OCH
2007-04-12,18.75,15.0,13.95,14.55,18100,0,OCH
2007-04-13,3.0,3.0,3.0,3.0,211800,1,OCH
2007-04-16,3.0,3.0,3.0,3.0,211800,1,OCH
2007-04-17,3.0,3.0,3.0,3.0,211800,1,OCH
2007-04-18,19.6,21.0,20.0,20.75,5600,0,OCH
2007-04-19,3.0,3.0,3.0,3.0,211800,1,OCH
2007-04-20,3.0,3.0,3.0,3.0,211800,1,OCH
2007-04-23,3.0,3.0,3.0,3.0,211800,1,OCH
2007-04-24,3.0,3.0,3.0,3.0,211800,1,OCH
2007-04-25,3.0,3.0,3.0,3.0,211800,1,OCH
2007-04-26,3.0,3.0,3.0,3.0,211800,1,OCH
