Date,Open,High,Low,Close,Volume,Is_Stale,Ticker
2007-01-02,130.0,130.0,130.0,130.0,2100,0,PORT
2007-01-03,130.0,125.0,122.0,122.0,1100,1,PORT
2007-01-04,130.0,125.0,122.0,122.0,1100,1,PORT
2007-01-05,130.0,125.0,122.0,122.0,1100,1,PORT
2007-01-08,130.0,125.0,122.0,122.0,1100,1,PORT
2007-01-09,130.0,125.0,122.0,122.0,1100,1,PORT
2007-01-10,122.0,130.0,130.0,130.0,500,1,PORT
2007-01-11,130.0,135.0,130.0,130.0,9600,0,PORT
2007-01-12,130.0,135.0,130.0,130.0,9600,1,PORT
2007-01-15,130.0,148.0,135.0,135.0,3000,0,PORT
2007-01-16,135.0,132.0,132.0,132.0,100,0,PORT
2007-01-17,132.0,140.0,132.0,133.0,6600,0,PORT
2007-01-18,133.0,140.0,140.0,140.0,1100,0,PORT
2007-01-19,140.0,135.0,135.0,135.0,1000,0,PORT
2007-01-22,135.0,140.0,140.0,140.0,2500,1,PORT
2007-01-23,140.0,140.0,140.0,140.0,1300,1,PORT
2007-01-24,140.0,140.0,140.0,140.0,100,1,PORT
2007-01-25,140.0,140.0,140.0,140.0,500,1,PORT
2007-01-26,140.0,140.0,140.0,140.0,1500,1,PORT
2007-01-29,140.0,140.0,140.0,140.0,100,1,PORT
2007-01-30,140.0,140.0,140.0,140.0,6700,1,PORT
2007-01-31,140.0,140.0,140.0,140.0,6700,1,PORT
2007-02-01,140.0,130.0,130.0,130.0,5800,0,PORT
2007-02-02,130.0,140.0,128.0,134.0,1000,1,PORT
2007-02-05,130.0,140.0,128.0,134.0,1000,1,PORT
2007-02-06,130.0,140.0,128.0,134.0,1000,1,PORT
2007-02-07,120.0,110.0,110.0,110.0,4900,0,PORT
2007-02-08,110.0,117.0,117.0,117.0,3100,1,PORT
2007-02-09,110.0,117.0,117.0,117.0,3100,1,PORT
2007-02-12,110.0,117.0,117.0,117.0,3100,1,PORT
2007-02-13,130.0,134.0,134.0,134.0,1800,0,PORT
2007-02-14,134.0,135.0,134.0,134.0,7500,0,PORT
2007-02-15,134.0,140.0,130.0,138.0,4600,0,PORT
2007-02-16,138.0,140.0,140.0,140.0,3600,0,PORT
2007-02-19,140.0,140.0,134.0,139.0,3700,0,PORT
2007-02-20,139.0,145.0,140.0,142.0,9800,0,PORT
2007-02-21,142.0,150.0,140.0,149.0,7000,0,PORT
2007-02-22,149.0,150.0,145.0,147.0,79400,0,PORT
2007-02-23,147.0,146.0,146.0,146.0,3000,0,PORT
2007-02-26,146.0,147.0,146.0,146.0,1600,0,PORT
2007-02-27,146.0,145.0,133.0,139.0,6300,0,PORT
2007-02-28,139.0,135.0,135.0,135.0,8600,0,PORT
2007-03-01,135.0,128.0,128.0,128.0,800,1,PORT
2007-03-02,135.0,128.0,128.0,128.0,800,1,PORT
2007-03-05,135.0,128.0,128.0,128.0,800,1,PORT
2007-03-06,135.0,128.0,128.0,128.0,800,1,PORT
2007-03-07,121.0,110.0,110.0,110.0,300,0,PORT
2007-03-08,110.0,117.0,117.0,117.0,500,0,PORT
2007-03-09,110.0,117.0,117.0,117.0,500,1,PORT
2007-03-12,130.0,133.0,133.0,133.0,100,0,PORT
2007-03-13,133.0,129.0,129.0,129.0,100,0,PORT
2007-03-14,129.0,129.0,129.0,129.0,200,0,PORT
2007-03-15,129.0,120.0,120.0,120.0,1000,1,PORT
2007-03-16,129.0,120.0,120.0,120.0,1000,1,PORT
2007-03-19,129.0,120.0,120.0,120.0,1000,1,PORT
2007-03-20,120.0,120.0,115.0,116.0,3700,0,PORT
2007-03-21,120.0,120.0,115.0,116.0,3700,1,PORT
2007-03-22,116.0,114.0,114.0,114.0,100,1,PORT
2007-03-23,116.0,114.0,114.0,114.0,100,1,PORT
2007-03-26,116.0,114.0,114.0,114.0,100,1,PORT
2007-03-27,114.0,114.0,114.0,114.0,700,1,PORT
2007-03-28,114.0,114.0,114.0,114.0,1000,1,PORT
2007-03-29,114.0,116.0,115.0,115.0,1100,1,PORT
2007-03-30,114.0,116.0,115.0,115.0,1100,1,PORT
2007-04-02,114.0,116.0,115.0,115.0,1100,1,PORT
2007-04-03,114.0,116.0,115.0,115.0,1100,1,PORT
2007-04-04,115.0,135.0,120.0,120.0,2200,1,PORT
2007-04-05,115.0,135.0,120.0,120.0,2200,1,PORT
2007-04-06,115.0,135.0,120.0,120.0,2200,1,PORT
2007-04-09,110.0,130.0,129.0,129.0,1800,1,PORT
2007-04-10,110.0,130.0,129.0,129.0,1800,1,PORT
2007-04-11,110.0,130.0,129.0,129.0,1800,1,PORT
2007-04-12,129.0,138.0,138.0,138.0,200,0,PORT
2007-04-13,138.0,134.0,134.0,134.0,100,0,PORT
2007-04-16,134.0,133.0,125.0,128.0,2000,0,PORT
2007-04-17,128.0,134.0,134.0,134.0,1000,1,PORT
2007-04-18,128.0,134.0,134.0,134.0,1000,1,PORT
2007-04-19,128.0,134.0,134.0,134.0,1000,1,PORT
2007-04-20,128.0,134.0,134.0,134.0,1000,1,PORT
2007-04-23,128.0,134.0,134.0,134.0,1000,1,PORT
2007-04-24,134.0,129.0,129.0,129.0,100,0,PORT
2007-04-25,129.0,130.0,120.0,122.0,700,0,PORT
2007-04-26,129.0,130.0,120.0,122.0,700,1,PORT
2007-04-27,122.0,120.0,120.0,120.0,400,1,PORT
2007-04-30,120.0,120.0,120.0,120.0,500,0,PORT
2007-05-01,120.0,120.0,120.0,120.0,500,1,PORT
2007-05-02,120.0,129.0,129.0,129.0,500,0,PORT
2007-05-03,129.0,120.0,105.0,114.0,4600,0,PORT
2007-05-04,114.0,146.0,125.0,140.0,700,1,PORT
2007-05-07,114.0,146.0,125.0,140.0,700,1,PORT
2007-05-08,114.0,146.0,125.0,140.0,700,1,PORT
2007-05-09,109.0,130.0,130.0,130.0,800,0,PORT
2007-05-10,130.0,129.0,129.0,129.0,400,0,PORT
2007-05-11,130.0,129.0,129.0,129.0,400,1,PORT
2007-05-14,133.0,112.0,112.0,112.0,100,0,PORT
2007-05-15,112.0,115.0,115.0,115.0,900,0,PORT
2007-05-16,115.0,110.0,110.0,110.0,100,0,PORT
2007-05-17,110.0,110.0,105.0,108.0,5700,1,PORT
2007-05-18,110.0,110.0,105.0,108.0,5700,1,PORT
2007-05-21,110.0,110.0,105.0,108.0,5700,1,PORT
2007-05-22,110.0,110.0,105.0,108.0,5700,1,PORT
2007-05-23,110.0,110.0,105.0,108.0,5700,1,PORT
2007-05-24,110.0,110.0,105.0,108.0,5700,1,PORT
2007-05-25,110.0,110.0,105.0,108.0,5700,1,PORT
2007-05-28,110.0,110.0,105.0,108.0,5700,1,PORT
2007-05-29,108.0,108.0,108.0,108.0,100,1,PORT
2007-05-30,108.0,110.0,110.0,110.0,100,1,PORT
2007-05-31,108.0,110.0,110.0,110.0,100,1,PORT
2007-06-01,108.0,110.0,110.0,110.0,100,1,PORT
2007-06-04,108.0,110.0,110.0,110.0,100,1,PORT
2007-06-05,108.0,110.0,110.0,110.0,100,1,PORT
2007-06-06,108.0,110.0,110.0,110.0,100,1,PORT
2007-06-07,116.0,110.0,110.0,110.0,3300,1,PORT
2007-06-08,116.0,110.0,110.0,110.0,3300,1,PORT
2007-06-11,136.0,130.0,130.0,130.0,800,0,PORT
2007-06-12,130.0,136.0,125.0,128.0,2800,0,PORT
2007-06-13,128.0,110.0,110.0,110.0,300,1,PORT
2007-06-14,128.0,110.0,110.0,110.0,300,1,PORT
2007-06-15,110.0,110.0,110.0,110.0,12600,1,PORT
2007-06-18,110.0,110.0,110.0,110.0,100,1,PORT
2007-06-19,110.0,110.0,110.0,110.0,5000,1,PORT
2007-06-20,110.0,110.0,110.0,110.0,5000,1,PORT
2007-06-21,110.0,110.0,110.0,110.0,1000,1,PORT
2007-06-22,110.0,110.0,110.0,110.0,1000,1,PORT
2007-06-25,110.0,110.0,110.0,110.0,500,1,PORT
2007-06-26,110.0,110.0,110.0,110.0,500,1,PORT
2007-06-27,110.0,110.0,110.0,110.0,500,1,PORT
2007-06-28,110.0,110.0,110.0,110.0,100,1,PORT
2007-06-29,110.0,110.0,110.0,110.0,100,1,PORT
2007-07-02,110.0,130.0,130.0,130.0,100,0,PORT
2007-07-03,130.0,120.0,120.0,120.0,100,0,PORT
2007-07-04,130.0,120.0,120.0,120.0,100,1,PORT
2007-07-05,120.0,118.0,118.0,118.0,100,0,PORT
2007-07-06,118.0,110.0,110.0,110.0,200,0,PORT
2007-07-09,120.0,135.0,135.0,135.0,2000,1,PORT
2007-07-10,120.0,135.0,135.0,135.0,2000,1,PORT
2007-07-11,120.0,135.0,135.0,135.0,2000,1,PORT
2007-07-12,135.0,136.0,136.0,136.0,100,0,PORT
2007-07-13,136.0,112.0,111.0,111.0,10800,0,PORT
2007-07-16,111.0,112.0,112.0,112.0,200,0,PORT
