Date,Open,High,Low,Close,Volume,Is_Stale,Ticker
2007-01-02,13.6,14.0,13.4,13.6,26100,0,SASN
2007-01-03,136.0,23.0,20.5,22.25,50600,1,SASN
2007-01-04,136.0,23.0,20.5,22.25,50600,1,SASN
2007-01-05,136.0,23.0,20.5,22.25,50600,1,SASN
2007-01-08,22.25,19.9,18.6,19.65,109100,0,SASN
2007-01-09,22.25,19.9,18.6,19.65,109100,1,SASN
2007-01-10,19.65,17.95,17.5,17.6,6400,0,SASN
2007-01-11,17.6,16.85,15.5,16.45,5100,0,SASN
2007-01-12,17.6,16.85,15.5,16.45,5100,1,SASN
2007-01-15,1.645,15.5,14.8,15.1,114000,0,SASN
2007-01-16,15.1,15.5,14.0,14.1,320500,0,SASN
2007-01-17,141.0,150.0,144.0,145.0,26400,1,SASN
2007-01-18,14.5,14.8,14.0,14.5,91400,0,SASN
2007-01-19,145.0,150.0,138.0,145.0,119100,1,SASN
2007-01-22,145.0,145.0,139.0,144.0,9900,1,SASN
2007-01-23,14.4,14.5,14.0,14.4,9000,0,SASN
2007-01-24,144.0,145.0,142.0,144.0,6900,1,SASN
2007-01-25,14.4,14.5,14.2,14.3,6000,0,SASN
2007-01-26,14.3,14.5,14.0,14.3,27000,0,SASN
2007-01-29,14.3,14.5,14.0,14.2,23600,0,SASN
2007-01-30,14.2,14.5,14.2,14.4,33900,0,SASN
2007-01-31,14.4,14.5,14.0,14.2,14200,0,SASN
2007-02-01,14.2,14.5,14.0,14.0,70900,0,SASN
2007-02-02,14.0,14.0,13.0,13.1,27400,0,SASN
2007-02-05,19.15,20.5,18.05,19.2,24400,0,SASN
2007-02-06,19.15,20.5,18.05,19.2,24400,1,SASN
2007-02-07,19.2,18.7,18.0,18.5,15600,0,SASN
2007-02-08,18.5,20.0,18.0,19.7,200600,1,SASN
2007-02-09,18.5,20.0,18.0,19.7,200600,1,SASN
2007-02-12,18.5,20.0,18.0,19.7,200600,1,SASN
2007-02-13,1.64,13.4,13.0,13.2,38800,0,SASN
2007-02-14,13.2,13.4,12.5,13.0,17500,0,SASN
2007-02-15,130.0,21.98,15.0,20.0,15100,0,SASN
2007-02-16,20.0,16.75,16.75,16.75,700,0,SASN
2007-02-19,16.75,18.4,18.4,18.4,1200,0,SASN
2007-02-20,18.4,20.0,20.0,20.0,3100,0,SASN
2007-02-21,20.0,22.0,22.0,22.0,2700,0,SASN
2007-02-22,22.0,24.0,24.0,24.0,173300,0,SASN
2007-02-23,24.0,24.75,23.5,24.25,375100,0,SASN
2007-02-26,24.25,25.0,24.0,24.5,148900,0,SASN
2007-02-27,24.5,25.0,23.0,23.75,77400,0,SASN
2007-02-28,23.75,23.0,22.0,22.5,122400,0,SASN
2007-03-01,2.25,14.2,13.1,13.7,63800,0,SASN
2007-03-02,22.5,142.0,131.0,137.0,63800,1,SASN
2007-03-05,19.95,19.5,19.0,19.05,72700,0,SASN
2007-03-06,19.95,19.5,19.0,19.05,72700,1,SASN
2007-03-07,19.05,18.7,17.5,18.5,13800,0,SASN
2007-03-08,18.5,20.0,19.0,19.3,115800,0,SASN
2007-03-09,19.3,19.0,18.5,18.95,441300,0,SASN
2007-03-12,16.45,18.25,16.5,17.65,41800,0,SASN
2007-03-13,17.65,18.5,17.0,17.85,47500,0,SASN
2007-03-14,17.85,18.5,18.0,18.3,46200,0,SASN
2007-03-15,18.3,19.0,17.0,18.15,102800,0,SASN
2007-03-16,18.15,18.45,16.05,17.5,134100,0,SASN
2007-03-19,17.5,18.3,16.5,17.2,44800,0,SASN
2007-03-20,17.2,17.0,16.0,16.45,70600,0,SASN
2007-03-21,16.45,16.5,15.0,16.15,15700,0,SASN
2007-03-22,16.15,16.0,14.15,15.35,76800,0,SASN
2007-03-23,15.35,15.0,13.35,13.95,65300,0,SASN
2007-03-26,13.95,16.45,14.5,15.3,38400,0,SASN
2007-03-27,15.3,16.45,15.0,15.9,36600,0,SASN
2007-03-28,15.9,17.2,16.0,16.6,35500,0,SASN
2007-03-29,16.6,18.0,17.2,17.65,120300,0,SASN
2007-03-30,17.65,19.5,16.5,17.9,118100,1,SASN
2007-04-02,17.65,19.5,16.5,17.9,118100,1,SASN
2007-04-03,17.65,19.5,16.5,17.9,118100,1,SASN
2007-04-04,143.0,21.0,20.0,20.25,97800,0,SASN
2007-04-05,20.25,19.0,18.05,18.7,24300,0,SASN
2007-04-06,18.7,19.0,17.95,18.3,31200,0,SASN
2007-04-09,19.4,19.0,18.3,18.5,35700,0,SASN
2007-04-10,18.5,16.25,16.0,16.15,12300,0,SASN
2007-04-11,18.5,16.25,16.0,16.15,12300,1,SASN
2007-04-12,16.15,18.0,17.05,17.55,36800,0,SASN
2007-04-13,17.55,22.0,20.0,21.0,48700,0,SASN
2007-04-16,21.0,21.5,20.0,21.0,47800,0,SASN
2007-04-17,21.0,21.0,19.0,20.0,79200,0,SASN
2007-04-18,20.0,20.25,19.0,19.6,57800,0,SASN
2007-04-19,19.6,19.45,18.5,18.75,36100,0,SASN
2007-04-20,18.75,19.5,17.7,18.55,28000,0,SASN
2007-04-23,18.55,19.0,18.0,18.25,23200,0,SASN
2007-04-24,18.25,20.0,18.5,19.75,34000,0,SASN
2007-04-25,19.75,20.0,18.0,19.35,53200,0,SASN
2007-04-26,19.35,20.5,19.0,19.45,16400,0,SASN
2007-04-27,19.45,20.0,19.5,19.6,37000,0,SASN
2007-04-30,19.6,20.0,18.5,19.55,14000,0,SASN
2007-05-01,1.955,14.8,13.0,13.9,77800,0,SASN
2007-05-02,13.9,14.0,13.5,13.8,6500,0,SASN
2007-05-03,138.0,18.4,18.25,18.3,106900,0,SASN
2007-05-04,18.3,22.0,18.75,20.5,108400,0,SASN
2007-05-07,18.55,19.0,17.75,18.2,35800,0,SASN
2007-05-08,18.55,19.0,17.75,18.2,35800,1,SASN
2007-05-09,18.2,19.0,18.2,18.95,215100,0,SASN
2007-05-10,18.95,16.0,14.85,15.1,32800,0,SASN
2007-05-11,15.1,16.5,16.0,16.15,8400,0,SASN
2007-05-14,17.45,20.25,18.0,18.3,48900,0,SASN
2007-05-15,18.3,19.0,17.5,18.0,155900,0,SASN
2007-05-16,18.0,18.5,18.0,18.0,36700,0,SASN
2007-05-17,18.0,18.5,18.0,18.4,38500,0,SASN
2007-05-18,18.4,19.0,18.3,18.55,16100,0,SASN
2007-05-21,18.55,18.5,18.35,18.45,22500,0,SASN
2007-05-22,18.45,18.4,16.95,17.6,144700,0,SASN
2007-05-23,17.6,18.0,17.0,17.25,72500,0,SASN
2007-05-24,17.25,18.0,17.0,17.2,32300,0,SASN
2007-05-25,17.2,17.5,17.0,17.45,27300,0,SASN
2007-05-28,17.45,18.4,17.2,17.65,645400,0,SASN
2007-05-29,17.65,19.0,17.7,18.0,33200,0,SASN
2007-05-30,18.0,18.95,17.2,17.55,246500,0,SASN
2007-05-31,17.55,18.5,17.2,18.0,47400,1,SASN
2007-06-01,17.55,18.5,17.2,18.0,47400,1,SASN
2007-06-04,17.55,18.5,17.2,18.0,47400,1,SASN
2007-06-05,17.55,18.5,17.2,18.0,47400,1,SASN
2007-06-06,17.05,18.5,18.0,18.4,71900,0,SASN
2007-06-07,18.4,19.0,17.5,18.05,59800,0,SASN
2007-06-08,18.05,20.0,18.0,19.45,139500,0,SASN
2007-06-11,18.75,16.5,16.15,16.35,1100,0,SASN
2007-06-12,16.35,19.0,17.05,18.0,239900,0,SASN
2007-06-13,18.0,20.0,17.45,19.6,246600,0,SASN
2007-06-14,19.6,20.5,18.5,20.0,582800,0,SASN
2007-06-15,20.0,20.5,18.7,20.25,118900,0,SASN
2007-06-18,20.25,20.0,19.0,19.5,23800,0,SASN
2007-06-19,19.5,19.95,19.0,19.15,208100,0,SASN
2007-06-20,19.15,20.25,18.0,19.5,376000,0,SASN
2007-06-21,19.5,20.0,18.05,19.3,216900,0,SASN
2007-06-22,19.3,20.75,18.0,18.75,62800,0,SASN
2007-06-25,18.75,19.0,18.0,18.6,30000,0,SASN
2007-06-26,18.6,19.5,18.0,19.15,293500,0,SASN
2007-06-27,19.15,19.0,18.0,18.8,54900,0,SASN
2007-06-28,18.8,19.0,18.0,18.5,22300,0,SASN
2007-06-29,18.5,19.0,17.5,17.95,55600,0,SASN
2007-07-02,1.795,14.0,13.0,13.4,28400,0,SASN
2007-07-03,134.0,18.0,16.0,16.8,97500,0,SASN
2007-07-04,134.0,18.0,16.0,16.8,97500,1,SASN
2007-07-05,16.8,20.5,17.95,18.35,72600,0,SASN
2007-07-06,18.35,19.5,17.5,18.85,311300,0,SASN
2007-07-09,19.7,19.0,17.5,18.8,22900,0,SASN
2007-07-10,19.7,19.0,17.5,18.8,22900,1,SASN
2007-07-11,18.8,16.6,16.35,16.5,39500,0,SASN
2007-07-12,16.5,18.0,17.1,17.65,29400,0,SASN
2007-07-13,17.65,18.5,17.5,18.0,47700,0,SASN
2007-07-16,18.0,18.5,17.55,18.1,12900,0,SASN
2007-07-17,18.1,18.1,18.0,18.0,43200,0,SASN
2007-07-18,18.0,18.0,17.55,17.75,37800,0,SASN
2007-07-19,17.75,18.1,17.7,17.95,75200,0,SASN
2007-07-20,17.95,18.5,18.0,18.2,32300,0,SASN
2007-07-23,18.2,19.5,17.5,18.25,30500,0,SASN
2007-07-24,18.25,18.15,18.0,18.0,38700,0,SASN
2007-07-25,18.0,18.5,18.0,18.1,29800,0,SASN
2007-07-26,18.1,18.3,18.0,18.05,64100,0,SASN
2007-07-27,18.05,18.5,18.0,18.35,55400,0,SASN
2007-07-30,18.35,18.5,18.0,18.05,26700,0,SASN
2007-07-31,18.05,19.0,17.95,18.55,49200,0,SASN
2007-08-01,1.855,14.7,13.0,13.6,108100,0,SASN
2007-08-02,13.6,13.4,12.9,13.1,43100,0,SASN
2007-08-03,131.0,18.0,16.5,16.55,44600,0,SASN
2007-08-06,18.2,19.95,18.0,19.05,122500,0,SASN
2007-08-07,18.2,19.95,18.0,19.05,122500,1,SASN
2007-08-08,19.05,19.9,19.0,19.55,28800,0,SASN
2007-08-09,19.05,19.9,19.0,19.55,28800,1,SASN
2007-08-10,19.55,15.1,14.0,14.9,51600,0,SASN
2007-08-13,16.45,21.0,18.5,20.25,179000,0,SASN
2007-08-14,20.25,20.0,18.5,19.05,11100,0,SASN
2007-08-15,19.05,19.0,18.0,18.5,28400,0,SASN
2007-08-16,18.5,19.0,18.0,18.75,62200,0,SASN
2007-08-17,18.75,19.4,18.1,18.9,346600,0,SASN
2007-08-20,18.9,19.0,18.0,18.2,53200,0,SASN
2007-08-21,18.2,18.5,17.55,18.45,148800,0,SASN
2007-08-22,18.45,18.5,18.0,18.45,318400,0,SASN
2007-08-23,18.45,18.5,18.0,18.3,66000,0,SASN
2007-08-24,18.3,18.5,18.0,18.4,240200,0,SASN
2007-08-27,18.4,18.5,18.0,18.45,27300,0,SASN
2007-08-28,18.45,20.25,18.0,20.0,375100,0,SASN
2007-08-29,20.0,19.0,18.45,18.5,75600,0,SASN
2007-08-30,18.5,18.5,18.1,18.4,22500,0,SASN
2007-08-31,18.4,18.5,18.2,18.4,26400,0,SASN
2007-09-03,131.0,18.0,16.5,17.3,52600,0,SASN
2007-09-04,131.0,18.0,16.5,17.3,52600,1,SASN
2007-09-05,17.3,19.0,18.0,18.5,13800,0,SASN
2007-09-06,17.3,19.0,18.0,18.5,13800,1,SASN
2007-09-07,18.5,18.5,18.0,18.3,34900,0,SASN
2007-09-10,19.3,15.0,14.0,14.9,85400,0,SASN
2007-09-11,14.9,16.8,15.1,16.55,23600,0,SASN
2007-09-12,14.9,16.8,15.1,16.55,23600,1,SASN
