Date,Open,High,Low,Close,Volume,Is_Stale,Ticker
2007-01-02,218.0,220.0,207.0,218.0,34500,0,SCBK
2007-01-03,218.0,185.0,165.0,177.0,26000,1,SCBK
2007-01-04,218.0,185.0,165.0,177.0,26000,1,SCBK
2007-01-05,218.0,185.0,165.0,177.0,26000,1,SCBK
2007-01-08,177.0,189.0,187.0,188.0,42600,1,SCBK
2007-01-09,177.0,189.0,187.0,188.0,42600,1,SCBK
2007-01-10,188.0,192.0,185.0,188.0,21200,1,SCBK
2007-01-11,188.0,186.0,176.0,181.0,9200,0,SCBK
2007-01-12,188.0,186.0,176.0,181.0,9200,1,SCBK
2007-01-15,181.0,259.0,235.0,250.0,44900,0,SCBK
2007-01-16,250.0,251.0,230.0,249.0,48900,0,SCBK
2007-01-17,249.0,250.0,232.0,247.0,12300,0,SCBK
2007-01-18,247.0,247.0,230.0,239.0,21600,0,SCBK
2007-01-19,239.0,246.0,231.0,237.0,21100,0,SCBK
2007-01-22,237.0,235.0,230.0,233.0,15700,0,SCBK
2007-01-23,233.0,235.0,225.0,230.0,32200,0,SCBK
2007-01-24,230.0,231.0,230.0,230.0,35100,0,SCBK
2007-01-25,230.0,230.0,218.0,223.0,14100,0,SCBK
2007-01-26,223.0,225.0,208.0,216.0,59000,0,SCBK
2007-01-29,216.0,225.0,212.0,217.0,50000,0,SCBK
2007-01-30,217.0,220.0,214.0,215.0,44500,0,SCBK
2007-01-31,215.0,222.0,212.0,220.0,113500,0,SCBK
2007-02-01,220.0,210.0,202.0,205.0,54400,0,SCBK
2007-02-02,205.0,219.0,210.0,218.0,70900,0,SCBK
2007-02-05,189.0,181.0,180.0,180.0,9900,0,SCBK
2007-02-06,189.0,181.0,180.0,180.0,9900,1,SCBK
2007-02-07,180.0,191.0,185.0,187.0,11300,1,SCBK
2007-02-08,187.0,189.0,185.0,187.0,33000,1,SCBK
2007-02-09,187.0,189.0,185.0,187.0,33000,1,SCBK
2007-02-12,187.0,189.0,185.0,187.0,33000,1,SCBK
2007-02-13,187.0,218.0,215.0,217.0,37400,1,SCBK
2007-02-14,217.0,218.0,215.0,217.0,36500,0,SCBK
2007-02-15,217.0,218.0,216.0,217.0,22800,1,SCBK
2007-02-16,217.0,218.0,215.0,216.0,13400,0,SCBK
2007-02-19,216.0,218.0,215.0,216.0,21600,0,SCBK
2007-02-20,216.0,218.0,214.0,217.0,83700,1,SCBK
2007-02-21,217.0,218.0,210.0,217.0,250500,0,SCBK
2007-02-22,217.0,219.0,212.0,217.0,45100,1,SCBK
2007-02-23,217.0,215.0,205.0,210.0,11200,0,SCBK
2007-02-26,210.0,213.0,200.0,210.0,115000,0,SCBK
2007-02-27,210.0,211.0,198.0,209.0,62900,0,SCBK
2007-02-28,209.0,198.0,180.0,191.0,17500,0,SCBK
2007-03-01,191.0,215.0,206.0,210.0,66100,0,SCBK
2007-03-02,191.0,215.0,206.0,210.0,66100,1,SCBK
2007-03-05,191.0,182.0,180.0,180.0,10700,0,SCBK
2007-03-06,191.0,182.0,180.0,180.0,10700,1,SCBK
2007-03-07,180.0,193.0,190.0,191.0,155100,0,SCBK
2007-03-08,191.0,190.0,185.0,187.0,91400,0,SCBK
2007-03-09,187.0,195.0,190.0,193.0,27300,0,SCBK
2007-03-12,189.0,210.0,205.0,206.0,75100,0,SCBK
2007-03-13,206.0,205.0,187.0,194.0,22300,1,SCBK
2007-03-14,194.0,195.0,187.0,194.0,66900,1,SCBK
2007-03-15,194.0,195.0,185.0,194.0,57300,1,SCBK
2007-03-16,194.0,195.0,190.0,194.0,139800,1,SCBK
2007-03-19,194.0,195.0,188.0,193.0,132400,0,SCBK
2007-03-20,193.0,190.0,180.0,187.0,6400,0,SCBK
2007-03-21,187.0,190.0,179.0,184.0,20800,0,SCBK
