Date,Open,High,Low,Close,Volume,Is_Stale,Ticker
2008-01-07,7.35,7.5,7.25,7.35,41090000,0,SCOM
2008-01-08,7.35,5.9,5.5,5.7,23760000,0,SCOM
2008-01-09,5.7,5.6,5.1,5.4,8170000,1,SCOM
2008-01-10,5.7,5.6,5.1,5.4,8170000,1,SCOM
2008-01-11,5.7,5.6,5.1,5.4,8170000,1,SCOM
2008-01-14,5.7,5.6,5.1,5.4,8170000,1,SCOM
2008-01-15,5.7,5.6,5.1,5.4,8170000,1,SCOM
2008-01-16,5.7,5.6,5.1,5.4,8170000,1,SCOM
2008-01-17,5.7,5.6,5.1,5.4,8170000,1,SCOM
2008-01-18,5.7,5.6,5.1,5.4,8170000,1,SCOM
2008-01-21,5.7,5.6,5.1,5.4,8170000,1,SCOM
2008-01-22,5.7,5.6,5.1,5.4,8170000,1,SCOM
2008-01-23,5.7,5.6,5.1,5.4,8170000,1,SCOM
2008-01-24,5.7,5.6,5.1,5.4,8170000,1,SCOM
2008-01-25,5.7,5.6,5.1,5.4,8170000,1,SCOM
2008-01-28,5.7,5.6,5.1,5.4,8170000,1,SCOM
2008-01-29,5.7,5.6,5.1,5.4,8170000,1,SCOM
2008-01-30,5.7,5.6,5.1,5.4,8170000,1,SCOM
2008-01-31,5.7,5.6,5.1,5.4,8170000,1,SCOM
2008-02-01,5.7,5.6,5.1,5.4,8170000,1,SCOM
2008-02-04,5.7,5.6,5.1,5.4,8170000,1,SCOM
2008-02-05,5.7,5.6,5.1,5.4,8170000,1,SCOM
2008-02-06,5.7,5.6,5.1,5.4,8170000,1,SCOM
2008-02-07,3.55,7.5,7.2,7.25,60290000,1,SCOM
2008-02-08,3.55,7.5,7.2,7.25,60290000,1,SCOM
2008-02-11,3.55,7.5,7.2,7.25,60290000,1,SCOM
2008-02-12,4.85,3.55,3.2,3.35,6240000,1,SCOM
2008-02-13,4.85,3.55,3.2,3.35,6240000,1,SCOM
2008-02-14,4.85,3.55,3.2,3.35,6240000,1,SCOM
2008-02-15,4.85,3.55,3.2,3.35,6240000,1,SCOM
2008-02-18,4.85,3.55,3.2,3.35,6240000,1,SCOM
2008-02-19,4.85,3.55,3.2,3.35,6240000,1,SCOM
2008-02-20,4.85,3.55,3.2,3.35,6240000,1,SCOM
2008-02-21,4.85,3.55,3.2,3.35,6240000,1,SCOM
2008-02-22,4.85,3.55,3.2,3.35,6240000,1,SCOM
2008-02-25,4.85,3.55,3.2,3.35,6240000,1,SCOM
2008-02-26,4.85,3.55,3.2,3.35,6240000,1,SCOM
2008-02-27,4.85,3.55,3.2,3.35,6240000,1,SCOM
2008-02-28,4.85,3.55,3.2,3.35,6240000,1,SCOM
2008-02-29,4.85,3.55,3.2,3.35,6240000,1,SCOM
2008-03-03,4.85,3.55,3.2,3.35,6240000,1,SCOM
2008-03-04,4.85,3.55,3.2,3.35,6240000,1,SCOM
2008-03-05,4.85,3.55,3.2,3.35,6240000,1,SCOM
2008-03-06,4.85,3.55,3.2,3.35,6240000,1,SCOM
2008-03-07,3.35,7.4,7.0,7.2,47490000,0,SCOM
2008-03-10,5.35,4.95,4.7,4.8,29440000,0,SCOM
2008-03-11,4.8,3.7,3.4,3.55,11070000,0,SCOM
2008-03-12,3.55,3.4,3.25,3.35,1130000,1,SCOM
2008-03-13,3.55,3.4,3.25,3.35,1130000,1,SCOM
2008-03-14,3.55,3.4,3.25,3.35,1130000,1,SCOM
2008-03-17,3.55,3.4,3.25,3.35,1130000,1,SCOM
2008-03-18,3.55,3.4,3.25,3.35,1130000,1,SCOM
2008-03-19,3.55,3.4,3.25,3.35,1130000,1,SCOM
2008-03-20,3.55,3.4,3.25,3.35,1130000,1,SCOM
2008-03-21,3.55,3.4,3.25,3.35,1130000,1,SCOM
2008-03-24,3.55,3.4,3.25,3.35,1130000,1,SCOM
2008-03-25,3.55,3.4,3.25,3.35,1130000,1,SCOM
2008-03-26,3.55,3.4,3.25,3.35,1130000,1,SCOM
2008-03-27,3.55,3.4,3.25,3.35,1130000,1,SCOM
2008-03-28,3.55,3.4,3.25,3.35,1130000,1,SCOM
2008-03-31,3.55,3.4,3.25,3.35,1130000,1,SCOM
2008-04-01,3.55,3.4,3.25,3.35,1130000,1,SCOM
2008-04-02,3.55,3.4,3.25,3.35,1130000,1,SCOM
2008-04-03,3.55,3.4,3.25,3.35,1130000,1,SCOM
2008-04-04,3.55,3.4,3.25,3.35,1130000,1,SCOM
2008-04-07,3.35,7.2,7.05,7.1,25270000,0,SCOM
2008-04-08,7.1,5.9,5.7,5.75,49780000,0,SCOM
2008-04-09,5.75,5.35,5.2,5.25,8030000,0,SCOM
2008-04-10,5.75,5.35,5.2,5.25,8030000,1,SCOM
2008-04-11,5.25,3.9,3.8,3.85,12250000,1,SCOM
2008-04-14,5.25,3.9,3.8,3.85,12250000,1,SCOM
2008-04-15,5.25,3.9,3.8,3.85,12250000,1,SCOM
2008-04-16,5.25,3.9,3.8,3.85,12250000,1,SCOM
2008-04-17,5.25,3.9,3.8,3.85,12250000,1,SCOM
2008-04-18,5.25,3.9,3.8,3.85,12250000,1,SCOM
2008-04-21,5.25,3.9,3.8,3.85,12250000,1,SCOM
2008-04-22,5.25,3.9,3.8,3.85,12250000,1,SCOM
2008-04-23,3.2,5.0,5.0,5.0,0,1,SCOM
2008-04-24,3.2,5.0,5.0,5.0,0,1,SCOM
2008-04-25,3.2,5.0,5.0,5.0,0,1,SCOM
2008-04-28,3.2,5.0,5.0,5.0,0,1,SCOM
2008-04-29,3.2,5.0,5.0,5.0,0,1,SCOM
2008-04-30,3.2,5.0,5.0,5.0,0,1,SCOM
2008-05-01,3.2,5.0,5.0,5.0,0,1,SCOM
2008-05-02,3.2,5.0,5.0,5.0,0,1,SCOM
2008-05-05,3.2,5.0,5.0,5.0,0,1,SCOM
2008-05-06,3.2,5.0,5.0,5.0,0,1,SCOM
2008-05-07,3.2,5.0,5.0,5.0,0,1,SCOM
2008-05-08,5.0,5.9,5.75,5.8,18760000,0,SCOM
2008-05-09,5.8,5.45,5.2,5.25,15780000,0,SCOM
2008-05-12,4.15,3.4,3.2,3.3,4480000,1,SCOM
2008-05-13,4.15,3.4,3.2,3.3,4480000,1,SCOM
2008-05-14,4.15,3.4,3.2,3.3,4480000,1,SCOM
2008-05-15,4.15,3.4,3.2,3.3,4480000,1,SCOM
2008-05-16,4.15,3.4,3.2,3.3,4480000,1,SCOM
2008-05-19,4.15,3.4,3.2,3.3,4480000,1,SCOM
2008-05-20,4.15,3.4,3.2,3.3,4480000,1,SCOM
2008-05-21,4.15,3.4,3.2,3.3,4480000,1,SCOM
2008-05-22,4.15,3.4,3.2,3.3,4480000,1,SCOM
2008-05-23,4.15,3.4,3.2,3.3,4480000,1,SCOM
2008-05-26,4.15,3.4,3.2,3.3,4480000,1,SCOM
2008-05-27,4.15,3.4,3.2,3.3,4480000,1,SCOM
2008-05-28,4.15,3.4,3.2,3.3,4480000,1,SCOM
2008-05-29,4.15,3.4,3.2,3.3,4480000,1,SCOM
2008-05-30,4.15,3.4,3.2,3.3,4480000,1,SCOM
2008-06-02,4.15,3.4,3.2,3.3,4480000,1,SCOM
2008-06-03,4.15,3.4,3.2,3.3,4480000,1,SCOM
2008-06-04,4.15,3.4,3.2,3.3,4480000,1,SCOM
2008-06-05,4.15,3.4,3.2,3.3,4480000,1,SCOM
2008-06-06,4.15,3.4,3.2,3.3,4480000,1,SCOM
2008-06-09,4.15,3.4,3.2,3.3,4480000,1,SCOM
2008-06-10,5.75,4.8,4.7,4.75,9260000,1,SCOM
2008-06-11,5.75,4.8,4.7,4.75,9260000,1,SCOM
2008-06-12,5.75,4.8,4.7,4.75,9260000,1,SCOM
2008-06-13,4.75,7.65,7.0,7.45,250900000,0,SCOM
2008-06-16,7.45,8.15,7.5,7.9,103790000,0,SCOM
2008-06-17,7.9,8.05,7.7,7.8,121490000,0,SCOM
2008-06-18,7.8,7.9,7.7,7.8,112660000,0,SCOM
2008-06-19,7.8,7.9,7.8,7.85,58890000,0,SCOM
2008-06-20,7.85,7.9,7.7,7.8,61270000,0,SCOM
2008-06-23,7.8,7.9,7.75,7.8,100390000,0,SCOM
2008-06-24,7.8,7.8,7.55,7.7,56940000,0,SCOM
2008-06-25,7.7,7.7,7.4,7.55,68550000,0,SCOM
2008-06-26,7.55,7.5,7.05,7.25,56220000,0,SCOM
2008-06-27,7.25,7.4,7.2,7.25,77780000,0,SCOM
2008-06-30,7.25,7.55,7.3,7.4,36380000,1,SCOM
2008-07-01,7.25,7.55,7.3,7.4,36380000,1,SCOM
2008-07-02,7.25,7.55,7.3,7.4,36380000,1,SCOM
2008-07-03,7.25,7.55,7.3,7.4,36380000,1,SCOM
2008-07-04,7.25,7.55,7.3,7.4,36380000,1,SCOM
2008-07-07,7.4,7.2,6.95,7.05,29580000,0,SCOM
2008-07-08,7.05,5.85,5.55,5.75,14340000,0,SCOM
2008-07-09,7.05,5.85,5.55,5.75,14340000,1,SCOM
2008-07-10,5.75,4.75,4.3,4.5,25830000,0,SCOM
2008-07-11,4.5,4.3,3.8,4.0,22940000,0,SCOM
2008-07-14,4.0,6.95,6.7,6.8,17920000,0,SCOM
2008-07-15,6.8,6.8,6.55,6.7,29320000,0,SCOM
2008-07-16,6.7,6.75,6.65,6.65,30190000,0,SCOM
2008-07-17,6.65,6.7,6.5,6.6,18200000,0,SCOM
2008-07-18,6.6,6.6,5.95,6.2,72490000,0,SCOM
2008-07-21,6.2,6.5,6.2,6.3,21750000,0,SCOM
2008-07-22,6.3,6.5,6.4,6.45,28310000,1,SCOM
2008-07-23,6.45,6.5,6.35,6.45,22010000,0,SCOM
2008-07-24,6.45,6.5,6.4,6.45,17640000,1,SCOM
2008-07-25,6.45,6.95,6.25,6.35,115170000,0,SCOM
2008-07-28,6.35,6.4,6.05,6.3,13170000,0,SCOM
2008-07-29,6.3,6.2,6.0,6.0,31880000,0,SCOM
2008-07-30,6.0,6.2,5.75,5.95,49740000,0,SCOM
2008-07-31,5.95,6.0,5.45,5.8,18270000,1,SCOM
2008-08-01,5.95,6.0,5.45,5.8,18270000,1,SCOM
2008-08-04,5.95,6.0,5.45,5.8,18270000,1,SCOM
2008-08-05,5.95,6.0,5.45,5.8,18270000,1,SCOM
2008-08-06,5.95,6.0,5.45,5.8,18270000,1,SCOM
2008-08-07,5.8,7.0,6.85,6.9,21290000,0,SCOM
2008-08-08,6.9,5.75,5.55,5.6,6420000,0,SCOM
2008-08-11,6.9,5.75,5.55,5.6,6420000,1,SCOM
2008-08-12,4.05,3.4,3.15,3.2,3540000,0,SCOM
2008-08-13,3.2,5.5,5.05,5.2,22780000,0,SCOM
2008-08-14,5.2,5.7,5.35,5.55,6350000,0,SCOM
2008-08-15,5.55,6.05,5.55,5.85,27470000,0,SCOM
2008-08-18,5.85,6.0,5.7,5.85,8020000,0,SCOM
2008-08-19,5.85,5.9,5.75,5.8,14860000,1,SCOM
2008-08-20,5.8,5.9,5.8,5.8,9620000,0,SCOM
2008-08-21,5.8,5.85,5.7,5.8,17240000,1,SCOM
2008-08-22,5.8,5.85,5.7,5.75,6940000,0,SCOM
2008-08-25,5.75,5.8,5.6,5.7,12930000,0,SCOM
2008-08-26,5.7,6.0,5.55,5.7,7430000,0,SCOM
2008-08-27,5.7,5.8,5.5,5.65,12680000,0,SCOM
2008-08-28,5.65,5.75,5.5,5.65,19980000,0,SCOM
2008-08-29,5.65,5.7,5.25,5.5,35320000,1,SCOM
2008-09-01,5.65,5.7,5.25,5.5,35320000,1,SCOM
2008-09-02,5.65,5.7,5.25,5.5,35320000,1,SCOM
2008-09-03,5.65,5.7,5.25,5.5,35320000,1,SCOM
2008-09-04,5.65,5.7,5.25,5.5,35320000,1,SCOM
2008-09-05,5.65,5.7,5.25,5.5,35320000,1,SCOM
2008-09-08,5.65,5.7,5.25,5.5,35320000,1,SCOM
2008-09-09,6.8,5.4,5.25,5.3,9870000,0,SCOM
2008-09-10,5.3,4.0,3.65,3.7,72820000,0,SCOM
2008-09-11,5.3,4.0,3.65,3.7,72820000,1,SCOM
2008-09-12,3.7,3.3,3.2,3.25,3490000,0,SCOM
2008-09-15,3.25,5.2,4.85,5.05,5290000,0,SCOM
2008-09-16,5.05,5.1,4.6,4.8,48810000,0,SCOM
2008-09-17,4.8,4.95,4.7,4.8,7310000,0,SCOM
2008-09-18,4.8,5.2,4.75,4.9,34870000,0,SCOM
2008-09-19,4.9,5.05,4.85,4.9,32340000,0,SCOM
2008-09-22,4.9,5.1,4.65,4.95,19360000,1,SCOM
2008-09-23,4.95,5.0,4.85,4.95,22370000,1,SCOM
2008-09-24,4.95,5.0,4.9,4.95,17660000,1,SCOM
2008-09-25,4.95,5.1,4.9,4.95,31620000,1,SCOM
2008-09-26,4.95,5.05,4.9,4.95,12140000,1,SCOM
2008-09-29,4.95,5.0,4.9,4.95,5570000,1,SCOM
2008-09-30,4.95,5.0,4.8,4.9,8640000,1,SCOM
2008-10-01,4.95,5.0,4.8,4.9,8640000,1,SCOM
2008-10-02,4.95,5.0,4.8,4.9,8640000,1,SCOM
2008-10-03,4.95,5.0,4.8,4.9,8640000,1,SCOM
2008-10-06,4.9,8.0,6.65,6.95,127310000,1,SCOM
2008-10-07,6.95,7.2,6.8,6.95,64660000,0,SCOM
2008-10-08,6.95,7.2,6.8,6.95,64660000,1,SCOM
2008-10-09,6.95,5.4,5.2,5.25,20000000,0,SCOM
2008-10-10,6.95,5.4,5.2,5.25,20000000,1,SCOM
2008-10-13,3.3,4.05,3.75,3.95,16680000,0,SCOM
2008-10-14,3.95,4.35,3.9,4.0,20400000,0,SCOM
2008-10-15,4.0,4.35,4.0,4.05,15900000,0,SCOM
2008-10-16,4.05,4.3,3.8,3.95,11860000,0,SCOM
2008-10-17,3.95,4.3,3.8,3.9,5450000,0,SCOM
2008-10-20,3.95,4.3,3.8,3.9,5450000,1,SCOM
2008-10-21,3.9,4.0,3.55,3.7,9350000,0,SCOM
2008-10-22,3.7,3.8,3.5,3.6,6090000,0,SCOM
2008-10-23,3.6,3.8,3.5,3.6,8190000,0,SCOM
2008-10-24,3.6,3.6,3.35,3.45,8740000,0,SCOM
2008-10-27,3.45,3.7,3.3,3.4,8140000,0,SCOM
2008-10-28,3.4,3.5,3.1,3.25,7700000,0,SCOM
2008-10-29,3.25,3.4,3.0,3.1,9350000,0,SCOM
2008-10-30,3.1,3.25,3.05,3.1,12070000,0,SCOM
2008-10-31,3.1,3.4,3.2,3.35,23910000,1,SCOM
2008-11-03,3.1,3.4,3.2,3.35,23910000,1,SCOM
2008-11-04,3.1,3.4,3.2,3.35,23910000,1,SCOM
2008-11-05,3.1,3.4,3.2,3.35,23910000,1,SCOM
2008-11-06,3.35,7.1,6.9,6.95,183490000,0,SCOM
2008-11-07,6.95,7.0,6.85,6.9,21280000,0,SCOM
