Date,Open,High,Low,Close,Volume,Is_Stale,Ticker
2007-01-02,66.5,68.0,65.0,66.5,4400,0,SGL
2007-01-03,66.5,68.0,62.5,66.0,9000,1,SGL
2007-01-04,66.5,68.0,62.5,66.0,9000,1,SGL
2007-01-05,66.5,68.0,62.5,66.0,9000,1,SGL
2007-01-08,66.0,55.0,55.0,55.0,600,0,SGL
2007-01-09,66.0,55.0,55.0,55.0,600,1,SGL
2007-01-10,55.0,54.0,54.0,54.0,1400,0,SGL
2007-01-11,54.0,51.0,48.0,49.75,37500,0,SGL
2007-01-12,54.0,51.0,48.0,49.75,37500,1,SGL
2007-01-15,49.75,72.0,68.0,69.0,5400,0,SGL
2007-01-16,69.0,70.0,68.0,68.5,26600,0,SGL
2007-01-17,68.5,72.0,68.5,69.5,15400,0,SGL
2007-01-18,69.5,70.0,63.0,67.5,35200,0,SGL
2007-01-19,67.5,71.0,69.0,69.5,12000,0,SGL
2007-01-22,69.5,70.0,68.0,69.0,11700,0,SGL
2007-01-23,69.0,70.0,68.0,68.5,14900,0,SGL
2007-01-24,68.5,69.0,67.0,68.5,9000,0,SGL
2007-01-25,68.5,70.0,69.0,69.0,10800,0,SGL
2007-01-26,69.0,69.0,68.0,68.5,6900,0,SGL
2007-01-29,68.5,69.0,69.0,69.0,13000,0,SGL
2007-01-30,69.0,69.0,66.0,68.5,10700,0,SGL
2007-01-31,68.5,68.5,68.0,68.0,17300,0,SGL
2007-02-01,68.0,66.0,63.0,64.5,28200,0,SGL
2007-02-02,64.5,69.0,68.0,68.5,11100,0,SGL
2007-02-05,65.5,63.0,54.0,60.5,2100,0,SGL
2007-02-06,65.5,63.0,54.0,60.5,2100,1,SGL
2007-02-07,60.5,57.0,57.0,57.0,12900,0,SGL
2007-02-08,57.0,57.0,55.0,55.5,11700,1,SGL
2007-02-09,57.0,57.0,55.0,55.5,11700,1,SGL
2007-02-12,57.0,57.0,55.0,55.5,11700,1,SGL
2007-02-13,49.75,69.0,68.5,68.5,22300,0,SGL
2007-02-14,68.5,75.0,70.0,73.5,64500,0,SGL
2007-02-15,73.5,80.0,67.0,76.0,90800,0,SGL
2007-02-16,76.0,80.0,76.0,77.5,46500,0,SGL
2007-02-19,77.5,85.0,75.0,78.5,66800,0,SGL
2007-02-20,78.5,80.0,78.0,78.5,27800,0,SGL
2007-02-21,78.5,80.0,79.0,79.5,48600,0,SGL
2007-02-22,79.5,80.0,75.0,78.0,46400,0,SGL
2007-02-23,78.0,79.5,74.0,77.0,47600,0,SGL
2007-02-26,77.0,77.0,69.0,75.0,22900,0,SGL
2007-02-27,75.0,76.0,70.0,71.0,10900,0,SGL
2007-02-28,71.0,73.0,68.0,69.5,10400,0,SGL
2007-03-01,69.5,65.0,64.5,64.5,2600,0,SGL
2007-03-02,69.5,65.0,64.5,64.5,2600,1,SGL
2007-03-05,63.5,58.0,56.0,57.0,2800,0,SGL
2007-03-06,63.5,58.0,56.0,57.0,2800,1,SGL
2007-03-07,57.0,57.0,56.0,56.0,3200,0,SGL
2007-03-08,56.0,60.0,55.0,56.5,5400,0,SGL
2007-03-09,56.5,56.5,55.5,56.0,800,0,SGL
2007-03-12,55.0,53.5,53.5,53.5,1000,0,SGL
2007-03-13,53.5,68.0,63.0,64.0,12300,0,SGL
2007-03-14,64.0,63.0,57.0,62.0,5100,0,SGL
2007-03-15,62.0,64.0,60.0,62.0,8900,0,SGL
2007-03-16,62.0,62.0,56.5,59.0,19700,0,SGL
2007-03-19,59.0,60.0,58.0,58.5,13700,0,SGL
2007-03-20,58.5,59.0,57.0,58.0,15400,0,SGL
2007-03-21,58.0,64.5,57.0,60.5,10000,0,SGL
2007-03-22,60.5,58.0,55.0,57.0,13700,0,SGL
2007-03-23,57.0,57.0,54.0,56.0,4400,0,SGL
2007-03-26,56.0,54.0,54.0,54.0,300,0,SGL
2007-03-27,54.0,54.0,49.0,52.0,2100,0,SGL
2007-03-28,52.0,51.0,46.0,48.25,3400,0,SGL
2007-03-29,48.25,50.0,50.0,50.0,1800,0,SGL
2007-03-30,50.0,79.5,50.0,57.0,16600,1,SGL
2007-04-02,50.0,79.5,50.0,57.0,16600,1,SGL
2007-04-03,50.0,79.5,50.0,57.0,16600,1,SGL
2007-04-04,65.0,65.0,59.0,62.0,35500,0,SGL
2007-04-05,62.0,58.0,55.0,56.0,11300,0,SGL
2007-04-06,56.0,54.5,53.0,53.5,16500,0,SGL
2007-04-09,55.0,58.0,55.0,56.5,8400,0,SGL
2007-04-10,56.5,55.0,54.0,54.5,1300,0,SGL
2007-04-11,56.5,55.0,54.0,54.5,1300,1,SGL
2007-04-12,54.5,53.0,50.0,50.5,8100,0,SGL
2007-04-13,50.5,65.0,61.0,62.5,5400,0,SGL
2007-04-16,62.5,65.0,62.0,63.5,8600,0,SGL
2007-04-17,63.5,62.0,60.0,61.5,2500,0,SGL
2007-04-18,61.5,63.0,59.0,60.0,12900,0,SGL
2007-04-19,60.0,60.0,55.0,55.0,15700,0,SGL
2007-04-20,55.0,60.0,55.0,57.0,18900,0,SGL
2007-04-23,57.0,64.0,55.0,62.0,17700,0,SGL
2007-04-24,62.0,61.0,60.0,60.5,800,0,SGL
2007-04-25,60.5,60.0,60.0,60.0,1100,0,SGL
2007-04-26,60.0,62.0,55.5,57.5,4000,0,SGL
2007-04-27,57.5,60.0,58.0,59.0,4300,0,SGL
2007-04-30,59.0,60.0,58.0,59.0,3000,0,SGL
2007-05-01,59.0,66.0,64.5,65.5,16800,0,SGL
2007-05-02,65.5,68.5,62.0,64.0,15000,0,SGL
2007-05-03,64.0,69.0,63.0,64.5,13000,0,SGL
2007-05-04,64.5,68.0,60.0,63.0,12800,0,SGL
2007-05-07,54.0,57.0,55.0,55.0,13200,0,SGL
2007-05-08,54.0,57.0,55.0,55.0,13200,1,SGL
2007-05-09,55.0,56.5,56.5,56.5,400,0,SGL
2007-05-10,56.5,54.5,53.0,53.5,7000,0,SGL
2007-05-11,53.5,50.5,50.0,50.0,2900,0,SGL
2007-05-14,52.0,55.0,54.0,54.5,3300,0,SGL
2007-05-15,54.5,55.0,54.0,54.0,14600,0,SGL
2007-05-16,54.0,55.0,54.0,54.0,11300,0,SGL
2007-05-17,54.0,55.5,55.0,55.0,1800,0,SGL
2007-05-18,55.0,55.0,54.0,54.0,4900,0,SGL
2007-05-21,54.0,55.0,50.0,52.0,8100,0,SGL
2007-05-22,52.0,56.0,54.0,54.5,8000,0,SGL
2007-05-23,54.5,57.0,57.0,57.0,700,0,SGL
2007-05-24,57.0,57.0,57.0,57.0,1800,0,SGL
2007-05-25,57.0,55.0,54.0,54.0,900,0,SGL
2007-05-28,54.0,57.0,53.0,55.5,2700,0,SGL
2007-05-29,55.5,57.0,53.0,54.0,5000,0,SGL
2007-05-30,54.0,54.0,54.0,54.0,5800,0,SGL
2007-05-31,54.0,56.5,54.0,55.0,5900,1,SGL
2007-06-01,54.0,56.5,54.0,55.0,5900,1,SGL
2007-06-04,54.0,56.5,54.0,55.0,5900,1,SGL
2007-06-05,54.0,56.5,54.0,55.0,5900,1,SGL
2007-06-06,69.0,54.0,53.0,53.5,4900,0,SGL
2007-06-07,53.5,54.0,52.0,53.0,8800,0,SGL
2007-06-08,53.0,60.0,52.5,55.5,5600,0,SGL
2007-06-11,54.0,51.0,50.0,50.5,1300,0,SGL
2007-06-12,50.5,53.5,53.0,53.0,3400,0,SGL
2007-06-13,53.0,57.0,54.0,56.0,2800,0,SGL
2007-06-14,56.0,57.0,55.0,56.5,9800,0,SGL
2007-06-15,56.5,57.0,56.5,56.5,6000,0,SGL
2007-06-18,56.5,60.0,56.5,57.0,10900,0,SGL
2007-06-19,57.0,60.0,55.0,57.0,3300,0,SGL
2007-06-20,57.0,59.0,54.0,56.0,17600,0,SGL
2007-06-21,56.0,57.0,56.0,56.0,7200,0,SGL
2007-06-22,56.0,57.0,56.0,56.5,3900,0,SGL
2007-06-25,56.5,57.0,54.0,56.5,4100,0,SGL
2007-06-26,56.5,56.0,54.0,55.0,3100,0,SGL
2007-06-27,55.0,56.5,55.5,56.0,2500,0,SGL
2007-06-28,56.0,57.0,56.0,56.0,2700,0,SGL
2007-06-29,56.0,57.0,56.5,56.5,7900,0,SGL
2007-07-02,56.5,68.0,62.5,62.5,7100,0,SGL
2007-07-03,62.5,72.0,67.0,69.0,4700,0,SGL
2007-07-04,62.5,72.0,67.0,69.0,4700,1,SGL
2007-07-05,69.0,57.0,55.0,55.0,5000,0,SGL
2007-07-06,55.0,54.0,53.5,53.5,2100,0,SGL
2007-07-09,55.5,59.0,54.5,58.5,30500,0,SGL
2007-07-10,55.5,59.0,54.5,58.5,30500,1,SGL
2007-07-11,58.5,54.0,52.0,53.5,6600,0,SGL
2007-07-12,53.5,53.0,49.0,51.0,9600,0,SGL
2007-07-13,51.0,57.0,51.0,55.0,5000,0,SGL
2007-07-16,55.0,56.0,55.5,55.5,1800,0,SGL
2007-07-17,55.5,57.0,55.0,56.5,3000,0,SGL
2007-07-18,56.5,55.0,55.0,55.0,1300,0,SGL
2007-07-19,55.0,55.5,55.0,55.0,8100,0,SGL
2007-07-20,55.0,55.5,52.0,54.0,2700,0,SGL
2007-07-23,54.0,56.0,54.0,54.5,9000,0,SGL
2007-07-24,54.5,57.0,55.5,55.5,800,0,SGL
2007-07-25,55.5,55.0,54.0,54.0,12700,0,SGL
2007-07-26,54.0,55.0,53.5,53.5,1900,0,SGL
