Date,Open,High,Low,Close,Volume,Is_Stale,Ticker
2025-07-24,5.9,7.8,5.9,5.9,359600,0,SKL
2025-07-25,5.9,6.12,5.9,5.92,121500,0,SKL
2025-07-28,5.92,5.94,5.9,5.9,18100,0,SKL
2025-07-29,5.9,5.9,5.9,5.9,52000,0,SKL
2025-07-30,5.9,6.46,6.2,6.26,25200,0,SKL
2025-07-31,6.26,6.8,5.9,5.92,60600,0,SKL
2025-08-01,5.92,6.0,5.9,5.9,16500,0,SKL
2025-08-04,5.9,6.2,5.9,6.12,54400,0,SKL
2025-08-05,6.12,6.2,5.9,5.98,18700,0,SKL
2025-08-06,5.98,6.2,5.98,6.1,52600,0,SKL
2025-08-07,6.1,6.48,6.08,6.1,62900,0,SKL
2025-08-08,6.1,6.48,6.1,6.12,20975,0,SKL
2025-08-11,6.12,6.1,6.1,6.1,143101,0,SKL
2025-08-12,6.1,6.2,5.9,5.9,1949250,0,SKL
2025-08-13,5.9,6.2,6.0,6.0,2013065,0,SKL
2025-08-14,6.0,6.2,6.2,6.2,35841,1,SKL
2025-08-15,6.2,6.48,6.2,6.2,59430,0,SKL
2025-08-18,6.2,6.2,6.2,6.2,500,1,SKL
2025-08-19,6.2,6.2,6.0,6.16,48521,0,SKL
2025-08-20,6.16,6.38,6.2,6.2,23532,0,SKL
2025-08-21,6.2,6.4,6.2,6.24,49669,0,SKL
2025-08-22,6.24,6.2,6.2,6.2,525703,1,SKL
2025-08-25,6.2,6.2,6.2,6.2,95151,1,SKL
2025-08-26,6.2,6.2,6.2,6.2,13433,1,SKL
2025-08-27,6.2,6.2,6.2,6.2,229340,1,SKL
2025-08-28,6.2,6.2,6.2,6.2,29892,1,SKL
2025-08-29,6.2,6.2,6.2,6.2,392661,1,SKL
2025-09-01,6.2,6.2,6.2,6.2,45665,1,SKL
2025-09-02,6.2,6.8,6.2,6.46,14156,0,SKL
2025-09-03,6.46,6.5,6.0,6.18,1545,0,SKL
2025-09-04,6.18,6.2,5.8,6.2,24756,0,SKL
2025-09-05,6.2,6.5,6.2,6.42,7380,0,SKL
2025-09-08,6.42,7.06,6.2,6.86,99553,0,SKL
2025-09-09,6.86,7.54,7.0,7.54,170635,0,SKL
2025-09-10,7.54,7.6,7.5,7.54,51860,0,SKL
2025-09-11,7.54,8.28,7.5,8.24,115765,0,SKL
2025-09-12,8.24,8.56,8.0,8.2,36885,0,SKL
2025-09-15,8.2,8.5,7.38,7.92,21045,0,SKL
2025-09-16,7.92,8.24,8.0,8.18,873,0,SKL
2025-09-17,8.18,8.22,8.18,8.2,1745,0,SKL
2025-09-18,8.2,9.0,8.2,8.5,7443,0,SKL
2025-09-19,8.5,8.46,7.66,8.36,7497,0,SKL
2025-09-22,8.36,8.46,8.0,8.32,10307,0,SKL
2025-09-23,8.32,8.48,8.0,8.48,13345,0,SKL
2025-09-24,8.48,8.48,7.64,7.98,27955,0,SKL
2025-09-25,7.98,8.22,7.64,8.1,11392,0,SKL
2025-09-26,8.1,8.24,8.2,8.22,5480,0,SKL
2025-09-29,8.22,8.24,7.46,8.08,242005,0,SKL
2025-09-30,8.08,8.48,8.0,8.26,44335,0,SKL
2025-10-01,8.26,8.22,7.44,8.06,31595,0,SKL
2025-10-02,8.06,8.2,8.16,8.18,15073,0,SKL
2025-10-03,8.18,8.18,8.16,8.16,404,0,SKL
2025-10-06,8.16,8.18,8.06,8.18,12159,0,SKL
2025-10-07,8.18,8.16,8.04,8.06,7904,0,SKL
2025-10-08,8.06,8.2,8.06,8.14,34382,0,SKL
2025-10-09,8.14,8.18,8.1,8.16,5650,0,SKL
2025-10-10,8.14,8.18,8.1,8.16,5650,1,SKL
2025-10-13,8.16,8.2,8.16,8.18,142341,0,SKL
2025-10-14,8.18,8.18,7.38,7.42,4292,0,SKL
2025-10-15,7.42,8.16,7.42,8.16,72308,1,SKL
2025-10-16,8.16,8.16,8.16,8.16,32256,1,SKL
2025-10-17,8.16,8.16,8.16,8.16,32256,1,SKL
2025-10-20,8.16,8.16,8.16,8.16,32256,1,SKL
2025-10-21,8.16,8.16,7.5,8.0,4050,0,SKL
2025-10-22,8.0,8.14,8.0,8.06,605,0,SKL
2025-10-23,8.06,8.14,7.8,7.88,2207,0,SKL
2025-10-24,7.88,8.0,7.8,7.92,1555,0,SKL
2025-10-27,7.92,8.16,7.5,8.16,8950,1,SKL
2025-10-28,8.16,8.16,8.16,8.16,13115,0,SKL
2025-10-29,8.16,8.16,8.16,8.16,10552,1,SKL
2025-10-30,8.16,8.16,7.5,8.06,17617,0,SKL
2025-10-31,8.06,8.0,7.28,7.46,6820,1,SKL
2025-11-03,8.06,8.0,7.28,7.46,6820,1,SKL
2025-11-04,8.06,8.0,7.28,7.46,6820,1,SKL
2025-11-05,8.06,8.0,7.28,7.46,6820,1,SKL
2025-11-06,8.06,8.0,7.28,7.46,6820,1,SKL
2025-11-07,8.06,8.0,7.28,7.46,6820,1,SKL
2025-11-10,8.06,8.0,7.28,7.46,6820,1,SKL
2025-11-11,8.06,8.0,7.28,7.46,6820,1,SKL
2025-11-12,8.06,8.0,7.28,7.46,6820,1,SKL
2025-11-13,8.06,8.0,7.28,7.46,6820,1,SKL
2025-11-14,8.06,8.0,7.28,7.46,6820,1,SKL
2025-11-17,8.06,8.0,7.28,7.46,6820,1,SKL
2025-11-18,8.06,8.0,7.28,7.46,6820,1,SKL
2025-11-19,8.06,8.0,7.28,7.46,6820,1,SKL
2025-11-20,8.06,8.0,7.28,7.46,6820,1,SKL
2025-11-21,8.06,8.0,7.28,7.46,6820,1,SKL
2025-11-24,8.06,8.0,7.28,7.46,6820,1,SKL
2025-11-25,8.06,8.0,7.28,7.46,6820,1,SKL
2025-11-26,8.06,8.0,7.28,7.46,6820,1,SKL
2025-11-27,8.06,8.0,7.28,7.46,6820,1,SKL
2025-11-28,8.06,8.0,7.28,7.46,6820,1,SKL
2025-12-01,8.06,8.0,7.28,7.46,6820,1,SKL
2025-12-02,8.06,8.0,7.28,7.46,6820,1,SKL
2025-12-03,8.06,8.0,7.28,7.46,6820,1,SKL
2025-12-04,8.06,8.0,7.28,7.46,6820,1,SKL
2025-12-05,8.06,8.0,7.28,7.46,6820,1,SKL
2025-12-08,8.06,8.0,7.28,7.46,6820,1,SKL
2025-12-09,8.06,8.0,7.28,7.46,6820,1,SKL
2025-12-10,8.06,8.0,7.28,7.46,6820,1,SKL
2025-12-11,8.06,8.0,7.28,7.46,6820,1,SKL
2025-12-12,8.06,8.0,7.28,7.46,6820,1,SKL
2025-12-15,8.06,8.0,7.28,7.46,6820,1,SKL
2025-12-16,8.06,8.0,7.28,7.46,6820,1,SKL
2025-12-17,8.06,8.0,7.28,7.46,6820,1,SKL
2025-12-18,8.06,8.0,7.28,7.46,6820,1,SKL
2025-12-19,8.06,8.0,7.28,7.46,6820,1,SKL
2025-12-22,8.06,8.0,7.28,7.46,6820,1,SKL
2025-12-23,8.06,8.0,7.28,7.46,6820,1,SKL
2025-12-24,8.06,8.0,7.28,7.46,6820,1,SKL
2025-12-25,8.06,8.0,7.28,7.46,6820,1,SKL
2025-12-26,8.06,8.0,7.28,7.46,6820,1,SKL
2025-12-29,8.06,8.0,7.28,7.46,6820,1,SKL
2025-12-30,8.06,8.0,7.28,7.46,6820,1,SKL
2025-12-31,8.06,8.0,7.28,7.46,6820,1,SKL
2026-01-01,8.06,8.0,7.28,7.46,6820,1,SKL
2026-01-02,8.06,8.0,7.28,7.46,6820,1,SKL
2026-01-05,8.06,8.0,7.28,7.46,6820,1,SKL
2026-01-06,8.06,8.0,7.28,7.46,6820,1,SKL
2026-01-07,8.94,9.8,8.8,9.72,1160,1,SKL
2026-01-08,8.94,9.8,8.8,9.72,1160,1,SKL
2026-01-09,8.94,9.8,8.8,9.72,1160,1,SKL
2026-01-12,8.94,9.8,8.8,9.72,1160,1,SKL
2026-01-13,8.94,9.8,8.8,9.72,1160,1,SKL
2026-01-14,9.72,8.5,8.18,8.38,25199,1,SKL
2026-01-15,9.72,8.5,8.18,8.38,25199,1,SKL
2026-01-16,9.72,8.5,8.18,8.38,25199,1,SKL
2026-01-19,8.38,8.18,7.56,8.06,200,0,SKL
2026-01-20,8.06,8.18,7.56,8.08,683,0,SKL
2026-01-21,8.08,8.0,7.6,7.74,665,0,SKL
2026-01-22,7.74,8.18,7.68,7.82,819,0,SKL
2026-01-23,7.74,8.18,7.68,7.82,819,1,SKL
2026-01-26,7.82,8.18,8.1,8.18,1001,1,SKL
2026-01-27,8.18,8.2,8.0,8.18,10669,0,SKL
2026-01-28,8.18,8.18,8.18,8.18,410,1,SKL
2026-01-29,8.18,8.18,8.16,8.16,10740,1,SKL
2026-01-30,8.16,8.18,8.1,8.16,4100,0,SKL
2026-02-02,8.16,8.18,8.1,8.16,4100,1,SKL
2026-02-03,8.14,10.5,9.84,10.35,4638,0,SKL
2026-02-04,10.35,9.5,8.6,8.76,9053,0,SKL
2026-02-05,10.35,9.5,8.6,8.76,9053,1,SKL
2026-02-06,8.76,9.9,8.8,9.24,1924,1,SKL
2026-02-09,8.76,9.9,8.8,9.24,1924,1,SKL
2026-02-10,8.76,9.9,8.8,9.24,1924,1,SKL
2026-02-11,8.76,9.9,8.8,9.24,1924,1,SKL
2026-02-12,8.76,9.9,8.8,9.24,1924,1,SKL
2026-02-13,9.68,8.3,8.0,8.28,16149,0,SKL
2026-02-16,8.28,8.3,7.96,8.22,1347,0,SKL
2026-02-17,8.22,9.04,8.3,8.44,47991,0,SKL
2026-02-18,8.44,9.28,8.9,9.26,25681,0,SKL
2026-02-19,9.26,10.15,9.26,10.05,31786,0,SKL
2026-02-20,10.05,11.05,10.95,11.0,26350,0,SKL
2026-02-23,11.0,12.0,9.9,10.7,61126,0,SKL
2026-02-24,10.7,10.5,10.45,10.5,6409,0,SKL
2026-02-25,10.5,10.45,10.05,10.05,27593,0,SKL
2026-02-26,10.05,10.5,10.0,10.45,11328,0,SKL
2026-02-27,10.45,10.5,9.9,10.2,2472,0,SKL
2026-03-02,10.2,8.2,8.1,8.16,16012,0,SKL
2026-03-03,8.16,10.45,9.32,10.3,984,1,SKL
2026-03-04,8.16,10.45,9.32,10.3,984,1,SKL
2026-03-05,8.16,10.45,9.32,10.3,984,1,SKL
2026-03-06,10.3,9.8,8.7,8.78,17952,1,SKL
2026-03-09,10.3,9.8,8.7,8.78,17952,1,SKL
2026-03-10,10.3,9.8,8.7,8.78,17952,1,SKL
2026-03-11,10.3,9.8,8.7,8.78,17952,1,SKL
2026-03-12,10.3,9.8,8.7,8.78,17952,1,SKL
2026-03-13,9.7,10.3,8.86,9.72,2428,0,SKL
2026-03-16,9.72,10.25,9.2,9.9,2756,0,SKL
2026-03-17,9.9,10.25,10.1,10.2,2073,0,SKL
2026-03-18,10.2,10.25,9.72,9.82,10200,1,SKL
2026-03-19,9.82,10.25,9.82,9.82,12618,0,SKL
2026-03-20,9.82,10.25,9.82,9.82,12618,1,SKL
2026-03-23,9.82,10.2,9.0,9.72,1221,0,SKL
2026-03-24,9.72,10.2,9.5,10.1,692,0,SKL
2026-03-25,10.1,10.2,9.5,10.05,194,0,SKL
2026-03-26,10.05,10.15,9.5,10.05,4353,0,SKL
2026-03-27,10.05,10.0,9.7,9.94,1105,0,SKL
2026-03-30,10.05,10.0,9.7,9.94,1105,1,SKL
2026-03-31,9.94,9.5,9.0,9.44,1678,0,SKL
2026-04-01,9.94,9.5,9.0,9.44,1678,1,SKL
2026-04-02,9.44,8.0,8.0,8.0,3851,0,SKL
2026-04-03,8.0,10.45,10.0,10.05,2617,0,SKL
2026-04-06,8.98,9.5,8.7,9.46,5347,1,SKL
2026-04-07,8.98,9.5,8.7,9.46,5347,1,SKL
2026-04-08,8.98,9.5,8.7,9.46,5347,1,SKL
2026-04-09,8.98,9.5,8.7,9.46,5347,1,SKL
2026-04-10,8.98,9.5,8.7,9.46,5347,1,SKL
2026-04-13,9.46,10.4,8.8,9.62,8606,0,SKL
2026-04-14,9.62,9.5,8.66,9.48,212,0,SKL
