Date,Open,High,Low,Close,Volume,Is_Stale,Ticker
2013-01-02,40.25,40.25,40.25,40.25,1400,0,SLAM
2013-01-03,40.25,40.25,40.25,40.25,200,0,SLAM
2013-01-04,40.25,41.0,41.0,41.0,200,1,SLAM
2013-01-07,41.0,45.0,41.0,41.0,14300,0,SLAM
2013-01-08,41.0,41.0,41.0,41.0,39400,1,SLAM
2013-01-09,41.0,41.0,40.0,40.75,80300,0,SLAM
2013-01-10,40.75,44.75,41.0,41.25,107900,0,SLAM
2013-01-11,41.25,42.0,41.5,41.75,18300,0,SLAM
2013-01-14,41.75,42.0,41.75,41.75,3400,0,SLAM
2013-01-15,41.75,42.5,41.75,42.0,83300,0,SLAM
2013-01-16,42.0,42.5,42.0,42.25,21400,0,SLAM
2013-01-17,42.25,43.0,42.0,42.25,3000,0,SLAM
2013-01-18,42.25,42.0,42.0,42.0,4000,1,SLAM
2013-01-21,42.0,42.0,42.0,42.0,14400,0,SLAM
2013-01-22,42.0,42.0,42.0,42.0,11300,1,SLAM
2013-01-23,42.0,44.0,42.25,42.75,5500,0,SLAM
2013-01-24,42.75,42.75,42.75,42.75,400,0,SLAM
2013-01-25,42.75,43.5,43.5,43.5,100,0,SLAM
2013-01-28,43.5,43.5,43.5,43.5,0,0,SLAM
2013-01-29,43.5,43.0,39.25,41.5,11900,0,SLAM
2013-01-30,41.5,43.0,42.0,42.25,15800,0,SLAM
2013-01-31,42.25,43.0,42.0,42.75,21400,0,SLAM
2013-02-01,42.75,43.0,42.75,42.75,2100,0,SLAM
2013-02-04,42.75,42.25,42.0,42.0,10000,1,SLAM
2013-02-05,42.0,42.25,42.0,42.0,3300,1,SLAM
2013-02-06,42.0,42.75,41.5,42.0,31300,1,SLAM
2013-02-07,42.0,42.0,42.0,42.0,100,1,SLAM
2013-02-08,42.0,43.5,42.75,43.0,59000,0,SLAM
2013-02-11,43.0,43.0,42.5,42.75,48400,0,SLAM
2013-02-12,42.75,44.0,43.0,43.25,20300,0,SLAM
2013-02-13,43.25,45.0,44.0,44.25,9800,0,SLAM
2013-02-14,44.25,45.0,45.0,45.0,13900,0,SLAM
2013-02-15,45.0,46.0,46.0,46.0,3900,0,SLAM
