Date,Open,High,Low,Close,Volume,Is_Stale,Ticker
2007-01-02,42.75,46.25,41.0,42.75,510600,0,SMER
2007-01-03,42.75,32.75,30.0,31.0,577300,1,SMER
2007-01-04,42.75,32.75,30.0,31.0,577300,1,SMER
2007-01-05,42.75,32.75,30.0,31.0,577300,1,SMER
2007-01-08,31.0,33.75,30.5,32.5,542800,0,SMER
2007-01-09,31.0,33.75,30.5,32.5,542800,1,SMER
2007-01-10,32.5,40.25,37.5,39.0,662900,0,SMER
2007-01-11,39.0,44.0,43.25,43.5,2340000,0,SMER
2007-01-12,39.0,44.0,43.25,43.5,2340000,1,SMER
2007-01-15,43.5,50.5,48.0,49.5,197900,0,SMER
2007-01-16,49.5,50.0,46.75,48.25,300500,0,SMER
2007-01-17,48.25,49.0,46.0,47.5,344700,0,SMER
2007-01-18,47.5,50.0,47.75,48.25,125900,0,SMER
2007-01-19,48.25,53.0,46.5,50.5,379300,0,SMER
2007-01-22,50.5,51.0,48.0,49.5,126000,0,SMER
2007-01-23,49.5,52.0,49.0,50.0,275600,0,SMER
2007-01-24,50.0,51.0,47.0,49.0,386900,0,SMER
2007-01-25,49.0,50.0,48.0,48.25,427500,0,SMER
2007-01-26,48.25,49.0,45.75,47.75,404200,0,SMER
2007-01-29,47.75,50.0,45.0,47.75,786700,0,SMER
2007-01-30,47.75,49.0,41.75,44.5,808600,0,SMER
2007-01-31,44.5,44.0,40.0,42.75,298600,0,SMER
2007-02-01,42.75,55.0,52.0,53.5,210600,0,SMER
2007-02-02,53.5,45.5,41.5,42.75,470300,0,SMER
2007-02-05,32.5,27.0,24.5,26.0,247000,0,SMER
2007-02-06,32.5,27.0,24.5,26.0,247000,1,SMER
2007-02-07,26.0,30.0,26.25,29.0,227200,0,SMER
2007-02-08,29.0,32.5,30.0,32.0,374000,1,SMER
2007-02-09,29.0,32.5,30.0,32.0,374000,1,SMER
2007-02-12,29.0,32.5,30.0,32.0,374000,1,SMER
2007-02-13,43.5,39.5,35.0,38.0,1430000,0,SMER
2007-02-14,38.0,39.5,35.0,36.0,974200,0,SMER
2007-02-15,36.0,37.25,35.0,35.5,1070000,0,SMER
2007-02-16,35.5,37.0,35.0,36.0,1090000,0,SMER
2007-02-19,36.0,38.5,35.25,38.0,1330000,0,SMER
2007-02-20,38.0,38.5,35.5,37.0,944300,0,SMER
2007-02-21,37.0,37.5,35.75,36.5,882700,0,SMER
2007-02-22,36.5,37.0,34.75,35.5,628700,0,SMER
2007-02-23,35.5,35.5,32.0,34.75,549000,0,SMER
2007-02-26,34.75,35.0,31.0,33.75,230600,0,SMER
2007-02-27,33.75,35.0,31.0,31.25,1570000,0,SMER
2007-02-28,31.25,32.75,29.5,30.75,868200,0,SMER
2007-03-01,30.75,54.0,50.0,52.0,189000,0,SMER
2007-03-02,30.75,54.0,50.0,52.0,189000,1,SMER
2007-03-05,33.0,27.0,24.25,25.5,571400,0,SMER
2007-03-06,33.0,27.0,24.25,25.5,571400,1,SMER
2007-03-07,25.5,31.25,28.0,28.25,244800,0,SMER
2007-03-08,28.25,32.5,30.0,31.25,363700,0,SMER
2007-03-09,31.25,43.25,40.0,41.25,1390000,0,SMER
2007-03-12,40.5,14.95,14.5,14.75,679600,0,SMER
