Date,Open,High,Low,Close,Volume,Is_Stale,Ticker
2025-08-05,792.0,792.0,792.0,792.0,200,1,SMWF
2025-08-06,792.0,792.0,792.0,792.0,0,1,SMWF
2025-08-07,792.0,792.0,792.0,792.0,0,1,SMWF
2025-08-08,792.0,792.0,792.0,792.0,0,1,SMWF
2025-08-11,792.0,792.0,792.0,792.0,0,1,SMWF
2025-08-12,792.0,832.0,799.0,800.0,153,1,SMWF
2025-08-13,800.0,800.0,800.0,800.0,0,1,SMWF
2025-08-14,800.0,800.0,800.0,800.0,0,1,SMWF
2025-08-15,800.0,800.0,800.0,800.0,0,1,SMWF
2025-08-18,800.0,809.0,809.0,809.0,19500,0,SMWF
2025-08-19,809.0,825.0,809.0,810.0,610,0,SMWF
2025-08-20,810.0,817.0,809.0,811.0,535,0,SMWF
2025-08-21,811.0,811.0,811.0,811.0,0,0,SMWF
2025-08-22,811.0,892.0,892.0,892.0,830,0,SMWF
2025-08-25,892.0,900.0,893.0,898.0,1310,0,SMWF
2025-08-26,898.0,915.0,830.0,845.0,1599,0,SMWF
2025-08-27,845.0,900.0,810.0,821.0,622,0,SMWF
2025-08-28,821.0,835.0,815.0,820.0,637,0,SMWF
2025-08-29,820.0,860.0,813.0,815.0,1002,0,SMWF
2025-09-01,815.0,860.0,810.0,822.0,679,0,SMWF
2025-09-02,822.0,815.0,805.0,814.0,1067,0,SMWF
2025-09-03,814.0,809.0,802.0,807.0,80,0,SMWF
2025-09-04,807.0,815.0,809.0,811.0,163,0,SMWF
2025-09-05,811.0,819.0,817.0,818.0,242,0,SMWF
2025-09-08,818.0,817.0,817.0,817.0,901,0,SMWF
2025-09-09,817.0,900.0,755.0,797.0,1695,0,SMWF
2025-09-10,797.0,821.0,821.0,821.0,25,0,SMWF
2025-09-11,821.0,822.0,821.0,822.0,108,0,SMWF
2025-09-12,822.0,822.0,822.0,822.0,5,0,SMWF
2025-09-15,822.0,828.0,828.0,828.0,603,0,SMWF
2025-09-16,828.0,828.0,827.0,828.0,107,0,SMWF
2025-09-17,828.0,830.0,829.0,830.0,384,0,SMWF
2025-09-18,830.0,835.0,831.0,833.0,21,0,SMWF
2025-09-19,833.0,913.0,827.0,832.0,265,0,SMWF
2025-09-22,832.0,834.0,825.0,834.0,96,0,SMWF
2025-09-23,834.0,1000.0,838.0,842.0,451,0,SMWF
2025-09-24,842.0,900.0,899.0,900.0,241,0,SMWF
2025-09-25,900.0,900.0,832.0,838.0,2170,0,SMWF
2025-09-26,838.0,838.0,815.0,831.0,317,0,SMWF
2025-09-29,831.0,834.0,825.0,828.0,43,0,SMWF
2025-09-30,828.0,831.0,828.0,830.0,371,0,SMWF
2025-10-01,830.0,832.0,800.0,811.0,166,0,SMWF
2025-10-02,811.0,842.0,811.0,838.0,42,0,SMWF
2025-10-03,838.0,890.0,845.0,846.0,113,0,SMWF
2025-10-06,846.0,895.0,840.0,846.0,1068,0,SMWF
2025-10-07,846.0,950.0,830.0,845.0,1888,0,SMWF
2025-10-08,845.0,845.0,830.0,841.0,331,0,SMWF
2025-10-09,841.0,860.0,830.0,834.0,116,0,SMWF
2025-10-10,841.0,860.0,830.0,834.0,116,1,SMWF
2025-10-13,834.0,840.0,815.0,831.0,695,0,SMWF
2025-10-14,831.0,840.0,820.0,828.0,438,0,SMWF
2025-10-15,828.0,825.0,816.0,820.0,556,1,SMWF
2025-10-16,820.0,820.0,819.0,820.0,70,1,SMWF
2025-10-17,820.0,820.0,819.0,820.0,70,1,SMWF
2025-10-20,820.0,820.0,819.0,820.0,70,1,SMWF
2025-10-21,820.0,830.0,830.0,830.0,58,0,SMWF
2025-10-22,830.0,844.0,826.0,835.0,130,0,SMWF
2025-10-23,835.0,842.0,835.0,842.0,251,0,SMWF
