Date,Open,High,Low,Close,Volume,Is_Stale,Ticker
2007-01-02,33.75,34.0,33.0,33.75,8100,0,TOTL
2007-01-03,33.75,30.0,28.0,28.75,17300,1,TOTL
2007-01-04,33.75,30.0,28.0,28.75,17300,1,TOTL
2007-01-05,33.75,30.0,28.0,28.75,17300,1,TOTL
2007-01-08,28.75,32.5,32.5,32.5,500,0,TOTL
2007-01-09,28.75,32.5,32.5,32.5,500,1,TOTL
2007-01-10,32.5,29.5,28.25,28.75,91200,0,TOTL
2007-01-11,28.75,28.5,27.25,28.0,11700,0,TOTL
2007-01-12,28.75,28.5,27.25,28.0,11700,1,TOTL
2007-01-15,28.0,37.0,35.5,36.5,66000,0,TOTL
2007-01-16,36.5,37.0,33.0,35.25,74700,0,TOTL
2007-01-17,35.25,37.0,34.0,35.5,14100,0,TOTL
2007-01-18,35.5,36.0,35.0,35.5,27200,0,TOTL
2007-01-19,35.5,36.0,35.0,35.0,52400,0,TOTL
2007-01-22,35.0,36.0,35.0,35.25,71700,0,TOTL
2007-01-23,35.25,36.0,34.0,35.75,8500,0,TOTL
2007-01-24,35.75,36.0,34.0,35.25,36800,0,TOTL
2007-01-25,35.25,36.0,35.0,35.0,54100,0,TOTL
2007-01-26,35.0,36.0,32.75,34.25,52700,0,TOTL
2007-01-29,34.25,35.0,34.0,34.75,21400,0,TOTL
2007-01-30,34.75,34.5,34.0,34.0,34700,0,TOTL
2007-01-31,34.0,34.0,32.5,33.0,25200,0,TOTL
2007-02-01,33.0,35.0,33.0,34.5,800,0,TOTL
2007-02-02,34.5,33.75,30.75,32.75,5400,0,TOTL
2007-02-05,32.5,33.5,31.25,31.5,6500,0,TOTL
2007-02-06,32.5,33.5,31.25,31.5,6500,1,TOTL
2007-02-07,31.5,31.0,29.0,29.0,74000,0,TOTL
2007-02-08,29.0,32.5,29.25,30.25,20900,1,TOTL
2007-02-09,29.0,32.5,29.25,30.25,20900,1,TOTL
2007-02-12,29.0,32.5,29.25,30.25,20900,1,TOTL
2007-02-13,28.0,36.5,32.0,33.0,66900,0,TOTL
2007-02-14,33.0,33.0,32.75,32.75,10400,0,TOTL
2007-02-15,32.75,33.0,32.5,32.5,5400,0,TOTL
2007-02-16,32.5,32.5,31.5,31.75,3900,0,TOTL
2007-02-19,31.75,32.0,31.5,31.5,25600,0,TOTL
2007-02-20,31.5,31.5,30.0,31.0,7200,0,TOTL
2007-02-21,31.0,30.5,30.0,30.0,50700,0,TOTL
2007-02-22,30.0,32.0,29.0,30.0,119100,0,TOTL
2007-02-23,30.0,30.0,29.0,29.75,16800,0,TOTL
2007-02-26,29.75,30.0,29.0,29.5,8600,0,TOTL
2007-02-27,29.5,30.0,29.0,29.75,56300,0,TOTL
2007-02-28,29.75,30.0,29.0,29.0,60900,0,TOTL
2007-03-01,29.0,36.0,34.5,35.0,1400,0,TOTL
2007-03-02,29.0,36.0,34.5,35.0,1400,1,TOTL
2007-03-05,32.5,33.0,31.5,32.0,44800,0,TOTL
2007-03-06,32.5,33.0,31.5,32.0,44800,1,TOTL
2007-03-07,32.0,30.0,28.25,28.75,48600,0,TOTL
2007-03-08,28.75,32.0,31.5,31.5,4000,0,TOTL
2007-03-09,31.5,31.0,30.0,30.75,2800,0,TOTL
2007-03-12,29.0,30.0,29.0,29.25,10900,0,TOTL
2007-03-13,29.25,30.0,29.5,29.75,18200,0,TOTL
2007-03-14,29.75,30.0,27.0,28.25,21900,0,TOTL
2007-03-15,28.25,32.0,28.0,29.25,268400,0,TOTL
2007-03-16,29.25,30.0,28.0,28.0,77700,0,TOTL
2007-03-19,28.0,30.0,28.0,29.25,3900,0,TOTL
2007-03-20,29.25,30.0,29.25,29.75,9300,0,TOTL
2007-03-21,29.75,29.5,29.0,29.0,13500,0,TOTL
2007-03-22,29.0,29.5,27.0,28.25,23700,0,TOTL
2007-03-23,28.25,30.0,28.5,28.75,12800,0,TOTL
2007-03-26,28.75,30.0,29.0,29.5,38900,0,TOTL
2007-03-27,29.5,30.0,30.0,30.0,61000,0,TOTL
2007-03-28,30.0,30.0,29.0,29.75,180700,0,TOTL
2007-03-29,29.75,30.0,29.0,29.75,110100,0,TOTL
2007-03-30,29.75,32.0,32.0,32.0,30000,1,TOTL
2007-04-02,29.75,32.0,32.0,32.0,30000,1,TOTL
2007-04-03,29.75,32.0,32.0,32.0,30000,1,TOTL
2007-04-04,35.75,33.0,32.5,32.75,9900,0,TOTL
2007-04-05,32.75,33.0,29.0,30.25,58400,0,TOTL
2007-04-06,30.25,32.25,29.5,31.5,22300,0,TOTL
2007-04-09,30.0,31.5,29.5,30.5,23800,0,TOTL
2007-04-10,30.5,30.0,28.0,28.75,88000,0,TOTL
2007-04-11,30.5,30.0,28.0,28.75,88000,1,TOTL
2007-04-12,28.75,30.0,28.5,29.25,82700,0,TOTL
2007-04-13,29.25,33.75,33.0,33.0,82600,0,TOTL
2007-04-16,33.0,32.0,30.0,31.75,16600,0,TOTL
2007-04-17,31.75,32.0,32.0,32.0,30200,0,TOTL
2007-04-18,32.0,32.0,31.0,31.5,15000,0,TOTL
2007-04-19,31.5,31.0,30.0,30.75,14000,0,TOTL
2007-04-20,30.75,33.0,31.0,31.5,29100,0,TOTL
2007-04-23,31.5,33.0,30.0,31.0,9900,0,TOTL
2007-04-24,31.0,33.25,30.25,32.75,22300,0,TOTL
2007-04-25,32.75,33.5,30.0,32.5,36400,0,TOTL
2007-04-26,32.5,34.0,31.5,33.0,70400,0,TOTL
2007-04-27,33.0,33.25,31.25,32.75,9800,0,TOTL
2007-04-30,32.75,34.0,31.0,33.5,10000,0,TOTL
2007-05-01,33.5,36.5,34.0,35.75,31000,0,TOTL
2007-05-02,35.75,34.0,32.0,33.0,26300,0,TOTL
2007-05-03,33.0,30.0,29.5,29.5,128200,0,TOTL
2007-05-04,29.5,33.0,32.0,32.75,6700,0,TOTL
2007-05-07,32.5,30.0,28.0,29.5,34100,0,TOTL
2007-05-08,32.5,30.0,28.0,29.5,34100,1,TOTL
2007-05-09,29.5,32.0,30.0,30.25,96900,0,TOTL
2007-05-10,30.25,28.75,28.0,28.5,18400,0,TOTL
2007-05-11,28.5,29.0,28.0,28.75,17800,0,TOTL
2007-05-14,29.75,34.0,31.5,32.5,10000,0,TOTL
2007-05-15,32.5,35.0,32.25,33.5,16800,0,TOTL
2007-05-16,33.5,34.0,33.0,33.0,99200,0,TOTL
2007-05-17,33.0,34.0,32.0,32.5,56600,0,TOTL
2007-05-18,32.5,33.0,32.25,32.75,32600,0,TOTL
2007-05-21,32.75,33.75,32.0,32.0,67700,0,TOTL
2007-05-22,32.0,33.0,32.0,32.0,54100,0,TOTL
2007-05-23,32.0,33.0,30.5,31.75,6300,0,TOTL
2007-05-24,31.75,32.5,32.0,32.25,74000,0,TOTL
2007-05-25,32.25,34.0,32.5,33.75,39500,0,TOTL
2007-05-28,33.75,36.0,34.0,34.0,181300,0,TOTL
2007-05-29,34.0,35.0,33.0,34.0,44500,0,TOTL
2007-05-30,34.0,32.0,31.0,31.0,11700,0,TOTL
2007-05-31,31.0,32.0,29.0,30.0,80500,1,TOTL
2007-06-01,31.0,32.0,29.0,30.0,80500,1,TOTL
2007-06-04,31.0,32.0,29.0,30.0,80500,1,TOTL
2007-06-05,31.0,32.0,29.0,30.0,80500,1,TOTL
2007-06-06,31.75,30.0,30.0,30.0,5500,1,TOTL
2007-06-07,30.0,30.0,29.0,29.25,35500,0,TOTL
2007-06-08,29.25,32.0,29.0,31.25,7500,0,TOTL
2007-06-11,30.0,30.0,29.0,29.75,14600,1,TOTL
2007-06-12,29.75,30.0,29.5,29.75,12500,0,TOTL
2007-06-13,29.75,31.0,29.5,29.75,59900,1,TOTL
2007-06-14,29.75,31.0,29.0,30.0,63000,0,TOTL
2007-06-15,30.0,31.0,30.0,30.5,12100,0,TOTL
2007-06-18,30.5,32.0,28.0,30.0,18600,0,TOTL
2007-06-19,30.0,31.75,29.25,29.75,42700,0,TOTL
2007-06-20,29.75,31.0,30.0,30.0,31100,0,TOTL
2007-06-21,30.0,31.5,30.0,30.0,38800,0,TOTL
2007-06-22,30.0,33.0,29.0,30.5,69800,0,TOTL
2007-06-25,30.5,32.0,29.0,30.75,43900,0,TOTL
2007-06-26,30.75,31.0,30.0,30.0,53900,0,TOTL
2007-06-27,30.0,30.0,27.0,28.0,86300,0,TOTL
2007-06-28,28.0,30.0,29.75,29.75,48900,0,TOTL
2007-06-29,29.75,30.0,29.25,29.5,14700,0,TOTL
2007-07-02,29.5,34.0,32.0,32.75,26700,0,TOTL
2007-07-03,32.75,30.0,29.0,29.25,218800,0,TOTL
2007-07-04,32.75,30.0,29.0,29.25,218800,1,TOTL
2007-07-05,29.25,32.0,31.0,31.75,76200,0,TOTL
2007-07-06,31.75,30.0,29.0,29.5,7400,0,TOTL
2007-07-09,31.5,31.75,31.0,31.0,48800,0,TOTL
2007-07-10,31.5,31.75,31.0,31.0,48800,1,TOTL
2007-07-11,31.0,31.0,29.25,29.25,68700,0,TOTL
2007-07-12,29.25,30.0,29.0,29.75,50400,0,TOTL
2007-07-13,29.75,30.0,28.75,29.0,57300,0,TOTL
2007-07-16,29.0,29.25,29.0,29.0,9700,0,TOTL
2007-07-17,29.0,30.0,28.75,28.75,20800,0,TOTL
2007-07-18,29.0,30.0,28.75,28.75,20800,1,TOTL
2007-07-19,28.75,30.0,29.5,29.75,94300,1,TOTL
2007-07-20,29.75,30.0,28.5,29.75,12500,0,TOTL
2007-07-23,29.75,30.0,29.0,29.75,43700,1,TOTL
2007-07-24,29.75,32.5,29.75,31.75,87400,0,TOTL
2007-07-25,31.75,34.0,32.25,33.0,32000,0,TOTL
2007-07-26,33.0,33.5,32.0,33.0,9800,0,TOTL
2007-07-27,33.0,33.0,30.25,32.5,10300,0,TOTL
2007-07-30,32.5,32.5,30.0,31.25,28600,0,TOTL
2007-07-31,31.25,33.0,30.0,31.25,17600,0,TOTL
