Date,Open,High,Low,Close,Volume,Is_Stale,Ticker
2007-01-02,89.0,93.0,88.0,89.0,7600,0,TPSE
2007-01-03,89.0,80.0,72.0,75.5,5500,1,TPSE
2007-01-04,89.0,80.0,72.0,75.5,5500,1,TPSE
2007-01-05,89.0,80.0,72.0,75.5,5500,1,TPSE
2007-01-08,75.5,87.5,86.0,87.0,63500,0,TPSE
2007-01-09,75.5,87.5,86.0,87.0,63500,1,TPSE
2007-01-10,87.0,80.5,78.0,79.5,45600,0,TPSE
2007-01-11,79.5,77.0,73.0,73.5,5600,0,TPSE
2007-01-12,79.5,77.0,73.0,73.5,5600,1,TPSE
2007-01-15,73.5,95.0,89.0,93.0,48500,0,TPSE
2007-01-16,93.0,100.0,92.5,96.5,123800,0,TPSE
2007-01-17,96.5,100.0,95.0,99.0,140600,0,TPSE
2007-01-18,99.0,100.0,96.5,98.5,48700,0,TPSE
2007-01-19,98.5,99.0,96.5,98.5,71300,0,TPSE
2007-01-22,98.5,97.0,92.0,95.0,78700,0,TPSE
2007-01-23,95.0,95.0,92.0,94.0,16900,0,TPSE
2007-01-24,94.0,95.0,91.0,93.5,31700,0,TPSE
2007-01-25,93.5,94.0,90.0,92.0,22900,0,TPSE
2007-01-26,92.0,96.0,92.5,93.5,40600,0,TPSE
2007-01-29,93.5,95.0,91.0,92.5,79300,0,TPSE
2007-01-30,92.5,94.0,85.0,90.5,54600,0,TPSE
2007-01-31,90.5,90.0,85.0,89.5,87600,0,TPSE
2007-02-01,89.5,88.0,86.0,86.5,2500,0,TPSE
2007-02-02,86.5,89.0,88.0,88.5,13100,0,TPSE
2007-02-05,85.0,87.0,86.0,86.0,72900,0,TPSE
2007-02-06,85.0,87.0,86.0,86.0,72900,1,TPSE
2007-02-07,86.0,77.0,70.0,74.5,17300,0,TPSE
2007-02-08,74.5,90.0,86.5,87.5,37400,1,TPSE
2007-02-09,74.5,90.0,86.5,87.5,37400,1,TPSE
2007-02-12,74.5,90.0,86.5,87.5,37400,1,TPSE
2007-02-13,75.0,94.0,90.0,91.5,56900,0,TPSE
2007-02-14,91.5,96.0,90.0,92.0,15100,0,TPSE
2007-02-15,92.0,94.0,90.0,90.5,26600,0,TPSE
2007-02-16,90.5,92.0,91.0,91.0,40600,1,TPSE
2007-02-19,91.0,91.0,91.0,91.0,1200,0,TPSE
2007-02-20,91.0,92.0,90.0,91.0,47400,1,TPSE
2007-02-21,91.0,91.0,90.0,90.0,10300,0,TPSE
2007-02-22,90.0,93.0,89.0,90.0,21600,0,TPSE
2007-02-23,90.0,91.0,89.0,89.5,14600,0,TPSE
2007-02-26,89.5,90.0,87.0,88.5,68900,0,TPSE
2007-02-27,88.5,89.0,85.0,85.0,9300,0,TPSE
2007-02-28,85.0,85.0,80.0,83.0,3200,0,TPSE
2007-03-01,83.0,87.0,86.0,86.0,4400,0,TPSE
2007-03-02,83.0,87.0,86.0,86.0,4400,1,TPSE
2007-03-05,84.0,87.0,86.5,86.5,44100,0,TPSE
2007-03-06,84.0,87.0,86.5,86.5,44100,1,TPSE
2007-03-07,86.5,77.0,71.0,75.0,33600,0,TPSE
2007-03-08,75.0,88.5,86.5,87.5,9400,0,TPSE
2007-03-09,87.5,85.0,80.0,83.0,86100,0,TPSE
2007-03-12,81.0,79.0,75.0,76.0,19200,0,TPSE
2007-03-13,76.0,88.0,82.0,84.0,17800,0,TPSE
2007-03-14,84.0,87.5,85.0,85.0,26300,0,TPSE
2007-03-15,85.0,87.0,84.0,84.5,109000,0,TPSE
2007-03-16,84.5,87.0,82.0,84.5,30700,0,TPSE
2007-03-19,84.5,83.0,80.0,81.0,7200,0,TPSE
2007-03-20,81.0,81.0,80.0,80.0,16000,0,TPSE
2007-03-21,80.0,80.0,72.0,79.0,39600,0,TPSE
2007-03-22,79.0,74.0,68.0,71.5,13400,0,TPSE
2007-03-23,71.5,80.0,70.0,72.5,6300,0,TPSE
2007-03-26,72.5,80.0,72.0,74.5,13000,0,TPSE
2007-03-27,74.5,84.0,80.0,81.5,4400,0,TPSE
2007-03-28,81.5,85.0,82.0,84.5,80800,0,TPSE
2007-03-29,84.5,87.0,84.5,85.0,46700,1,TPSE
2007-03-30,85.0,87.0,84.5,85.0,59400,1,TPSE
2007-04-02,85.0,87.0,84.5,85.0,59400,1,TPSE
2007-04-03,85.0,87.0,84.5,85.0,59400,1,TPSE
2007-04-04,88.5,85.0,82.0,83.0,152900,0,TPSE
2007-04-05,83.0,87.0,87.0,87.0,24200,0,TPSE
2007-04-06,87.0,86.0,85.0,85.5,16200,0,TPSE
2007-04-09,75.5,83.5,80.0,82.0,20700,0,TPSE
2007-04-10,82.0,81.0,75.0,80.0,36200,0,TPSE
2007-04-11,82.0,81.0,75.0,80.0,36200,1,TPSE
2007-04-12,80.0,78.5,76.0,76.5,25800,0,TPSE
2007-04-13,76.5,87.0,85.0,85.5,23000,0,TPSE
2007-04-16,85.5,87.0,84.0,85.0,18100,0,TPSE
2007-04-17,85.0,87.0,85.5,86.0,7300,0,TPSE
2007-04-18,86.0,86.5,85.0,85.5,9800,0,TPSE
2007-04-19,85.5,88.0,84.0,86.5,139100,0,TPSE
2007-04-20,86.5,90.0,85.0,86.0,26100,0,TPSE
2007-04-23,86.0,86.0,83.0,84.5,15900,0,TPSE
2007-04-24,84.5,88.0,84.5,85.0,46100,0,TPSE
2007-04-25,85.0,86.0,85.0,85.5,278100,0,TPSE
2007-04-26,85.5,90.0,85.0,88.0,208100,0,TPSE
2007-04-27,88.0,90.0,85.0,86.0,128800,0,TPSE
2007-04-30,86.0,88.0,86.0,86.5,25200,0,TPSE
2007-05-01,86.5,88.5,85.0,87.0,120100,0,TPSE
2007-05-02,87.0,88.5,88.0,88.0,15000,0,TPSE
2007-05-03,88.0,85.0,80.0,82.5,5200,0,TPSE
2007-05-04,82.5,85.0,79.0,82.5,6100,0,TPSE
2007-05-07,86.0,76.0,72.5,75.5,16400,0,TPSE
2007-05-08,86.0,76.0,72.5,75.5,16400,1,TPSE
2007-05-09,75.5,82.0,80.0,80.0,900,0,TPSE
2007-05-10,80.0,81.0,76.0,80.0,126000,0,TPSE
2007-05-11,80.0,75.0,74.0,74.5,26400,0,TPSE
2007-05-14,76.0,87.0,85.0,86.5,2100,0,TPSE
2007-05-15,86.5,86.5,85.5,86.0,5600,0,TPSE
2007-05-16,86.0,87.0,85.0,86.0,81400,0,TPSE
2007-05-17,86.0,90.0,86.0,88.5,48100,0,TPSE
2007-05-18,88.5,87.0,85.0,85.0,120500,1,TPSE
2007-05-21,85.0,85.5,85.0,85.0,33800,1,TPSE
2007-05-22,85.0,85.5,85.0,85.0,19500,1,TPSE
2007-05-23,85.0,85.5,85.0,85.0,47400,1,TPSE
2007-05-24,85.0,86.0,85.0,85.5,79000,0,TPSE
2007-05-25,85.5,85.5,85.0,85.0,362800,1,TPSE
2007-05-28,85.0,85.5,83.0,85.0,27500,1,TPSE
2007-05-29,85.0,85.5,85.0,85.0,139700,1,TPSE
2007-05-30,85.0,85.5,85.0,85.0,43100,1,TPSE
2007-05-31,85.0,85.5,83.0,85.0,59100,1,TPSE
2007-06-01,85.0,85.5,83.0,85.0,59100,1,TPSE
2007-06-04,85.0,85.5,83.0,85.0,59100,1,TPSE
2007-06-05,85.0,85.5,83.0,85.0,59100,1,TPSE
2007-06-06,81.5,88.0,86.5,86.5,45600,0,TPSE
2007-06-07,86.5,77.0,75.5,75.5,3900,0,TPSE
2007-06-08,75.5,88.5,84.0,88.0,30500,0,TPSE
2007-06-11,82.0,76.5,74.5,74.5,24500,0,TPSE
2007-06-12,74.5,80.0,75.5,78.5,17000,0,TPSE
2007-06-13,78.5,74.5,71.0,73.0,4300,0,TPSE
2007-06-14,73.0,74.0,73.5,73.5,15100,0,TPSE
2007-06-15,73.5,73.5,71.5,73.0,27500,0,TPSE
2007-06-18,73.0,75.0,73.0,73.5,20900,1,TPSE
2007-06-19,73.5,75.0,73.0,73.5,60600,1,TPSE
2007-06-20,73.5,74.0,72.0,73.5,18200,1,TPSE
2007-06-21,73.5,75.0,73.5,73.5,26600,1,TPSE
2007-06-22,73.5,74.0,73.0,73.5,4000,1,TPSE
2007-06-25,73.5,75.0,72.0,74.0,9100,0,TPSE
2007-06-26,74.0,75.0,73.0,73.0,13300,0,TPSE
2007-06-27,73.0,74.5,73.5,73.5,14900,0,TPSE
2007-06-28,73.5,75.0,73.0,74.0,68600,0,TPSE
2007-06-29,74.0,76.0,74.0,75.0,50500,0,TPSE
2007-07-02,75.0,89.0,86.5,88.0,26300,0,TPSE
2007-07-03,88.0,85.0,80.0,83.5,7300,0,TPSE
2007-07-04,88.0,85.0,80.0,83.5,7300,1,TPSE
2007-07-05,83.5,87.0,84.5,86.5,46300,0,TPSE
2007-07-06,86.5,89.0,86.0,87.5,143200,0,TPSE
2007-07-09,88.0,84.0,82.0,82.5,11500,0,TPSE
2007-07-10,88.0,84.0,82.0,82.5,11500,1,TPSE
2007-07-11,82.5,75.5,74.5,74.5,5000,0,TPSE
2007-07-12,74.5,80.0,75.5,79.5,205400,0,TPSE
2007-07-13,79.5,77.0,75.0,76.5,20200,0,TPSE
2007-07-16,76.5,77.0,76.0,76.5,12200,0,TPSE
2007-07-17,76.5,77.0,75.5,76.0,14500,0,TPSE
2007-07-18,76.0,80.0,77.0,77.0,66300,0,TPSE
2007-07-19,77.0,77.5,75.5,77.0,2100,0,TPSE
2007-07-20,77.0,80.0,78.0,79.0,9800,0,TPSE
2007-07-23,79.0,83.0,78.0,79.0,49000,0,TPSE
2007-07-24,79.0,86.5,80.0,84.0,56700,0,TPSE
2007-07-25,84.0,90.0,82.0,87.5,53800,0,TPSE
2007-07-26,87.5,87.0,83.0,85.0,31200,0,TPSE
2007-07-27,85.0,87.0,83.5,85.5,65100,0,TPSE
2007-07-30,85.5,87.0,84.0,85.5,52400,0,TPSE
2007-07-31,85.5,90.0,85.0,86.5,53500,0,TPSE
2007-08-01,86.5,89.0,86.0,86.5,53700,0,TPSE
2007-08-02,86.5,91.0,87.0,89.5,17000,0,TPSE
2007-08-03,89.5,84.5,82.0,84.0,6600,0,TPSE
2007-08-06,86.0,88.0,86.0,86.5,89700,0,TPSE
2007-08-07,86.0,88.0,86.0,86.5,89700,1,TPSE
2007-08-08,86.5,90.0,88.0,88.5,234100,0,TPSE
2007-08-09,86.5,90.0,88.0,88.5,234100,1,TPSE
2007-08-10,88.5,80.5,72.5,79.5,57100,0,TPSE
2007-08-13,75.0,89.0,86.0,88.5,57800,0,TPSE
2007-08-14,88.5,89.0,87.0,88.5,13300,0,TPSE
2007-08-15,88.5,88.5,80.0,84.5,17500,0,TPSE
2007-08-16,84.5,84.5,80.0,83.0,19000,0,TPSE
2007-08-17,83.0,84.5,80.0,82.0,35700,0,TPSE
2007-08-20,82.0,83.0,80.0,80.5,11400,0,TPSE
2007-08-21,80.5,84.5,80.5,82.5,30400,0,TPSE
2007-08-22,82.5,83.5,80.5,82.5,70600,0,TPSE
2007-08-23,82.5,83.5,80.0,82.0,20100,0,TPSE
2007-08-24,82.0,83.0,79.0,82.5,110000,0,TPSE
2007-08-27,82.5,83.5,82.0,82.0,8400,0,TPSE
2007-08-28,82.0,83.0,82.0,82.0,10600,0,TPSE
2007-08-29,82.0,83.5,81.5,82.5,12400,0,TPSE
2007-08-30,82.5,85.5,82.0,84.0,5300,0,TPSE
