Date,Open,High,Low,Close,Volume,Is_Stale,Ticker
2026-06-29,1.23,1.23,1.23,1.23,1000.0,0,TRFC
2026-06-30,1.23,1.23,1.23,1.23,0.0,0,TRFC
2026-07-01,1.23,1.23,1.23,1.23,0.0,1,TRFC
2026-07-02,123.0,123.0,123.0,123.0,0.0,1,TRFC
2026-07-03,1.23,1.23,1.23,1.23,0.0,0,TRFC
2026-07-06,1.23,1.23,1.23,1.23,1000.0,0,TRFC
2026-07-07,123.0,123.0,123.0,123.0,0.0,1,TRFC
2026-07-08,123.0,123.0,123.0,123.0,0.0,1,TRFC
2026-07-09,123.0,123.0,123.0,123.0,0.0,1,TRFC
2026-07-10,123.0,123.0,123.0,123.0,0.0,1,TRFC
2026-07-13,123.0,123.0,123.0,123.0,0.0,1,TRFC
2026-07-14,123.0,123.0,123.0,123.0,0.0,1,TRFC
2026-07-15,123.0,123.0,123.0,123.0,0.0,1,TRFC
2026-07-16,123.0,123.0,123.0,123.0,0.0,1,TRFC
2026-07-17,123.0,135.18,110.82,123.0,0.0,1,TRFC
2026-07-20,123.0,123.0,123.0,123.0,0.0,1,TRFC
2026-07-21,123.0,123.0,123.0,123.0,0.0,1,TRFC
2026-07-22,1.23,1.23,1.23,1.23,1000.0,0,TRFC
2026-07-23,123.0,123.0,123.0,123.0,0.0,1,TRFC
2026-07-24,123.0,123.0,123.0,123.0,0.0,1,TRFC
2026-07-27,1.23,1.23,1.23,1.23,0.0,1,TRFC
2026-07-28,1.23,1.23,1.23,1.23,0.0,1,TRFC
2026-07-29,1.23,1.23,1.23,1.23,0.0,1,TRFC
2026-07-30,1.23,1.23,1.23,1.23,0.0,1,TRFC
2026-07-31,1.23,1.23,1.23,1.23,0.0,1,TRFC
2026-08-03,1.23,1.23,1.23,1.23,0.0,1,TRFC
2026-08-04,1.23,1.23,1.23,1.23,0.0,1,TRFC
2026-08-05,1.23,1.23,1.23,1.23,0.0,1,TRFC
2026-08-06,1.23,1.23,1.23,1.23,0.0,1,TRFC
2026-08-07,1.23,1.23,1.23,1.23,0.0,1,TRFC
2026-08-10,1.23,1.23,1.23,1.23,0.0,1,TRFC
2026-08-11,1.23,1.23,1.23,1.23,0.0,1,TRFC
2026-08-12,1.23,1.23,1.23,1.23,0.0,1,TRFC
2026-08-13,1.23,1.23,1.23,1.23,0.0,1,TRFC
2026-08-14,1.23,1.23,1.23,1.23,0.0,1,TRFC
2026-08-17,1.23,1.23,1.23,1.23,0.0,1,TRFC
2026-08-18,1.23,1.23,1.23,1.23,0.0,1,TRFC
2026-08-19,1.23,1.23,1.23,1.23,0.0,1,TRFC
2026-08-20,1.23,1.23,1.23,1.23,0.0,1,TRFC
2026-08-21,1.23,1.23,1.23,1.23,0.0,1,TRFC
2026-08-24,1.23,1.23,1.23,1.23,0.0,1,TRFC
2026-08-25,1.23,1.23,1.23,1.23,0.0,1,TRFC
2026-08-26,1.23,1.23,1.23,1.23,0.0,1,TRFC
2026-08-27,1.23,1.23,1.23,1.23,0.0,1,TRFC
2026-08-28,1.23,1.23,1.23,1.23,0.0,1,TRFC
2026-08-31,1.23,1.23,1.23,1.23,0.0,1,TRFC
2026-09-01,1.23,1.23,1.23,1.23,0.0,1,TRFC
2026-09-02,1.23,1.23,1.23,1.23,0.0,1,TRFC
