Date,Open,High,Low,Close,Volume,Is_Stale,Ticker
2007-01-02,18.4,19.0,18.0,18.4,37800,0,UNGA
2007-01-03,18.4,17.0,16.5,16.7,24000,1,UNGA
2007-01-04,18.4,17.0,16.5,16.7,24000,1,UNGA
2007-01-05,18.4,17.0,16.5,16.7,24000,1,UNGA
2007-01-08,16.7,15.0,14.5,14.9,2500,0,UNGA
2007-01-09,16.7,15.0,14.5,14.9,2500,1,UNGA
2007-01-10,14.9,13.5,13.2,13.45,7000,0,UNGA
2007-01-11,13.45,12.15,12.0,12.1,2700,0,UNGA
2007-01-12,13.45,12.15,12.0,12.1,2700,1,UNGA
2007-01-15,12.1,20.0,18.0,19.6,72400,0,UNGA
2007-01-16,19.6,20.5,19.0,19.9,50600,0,UNGA
2007-01-17,19.9,20.0,19.0,19.5,61000,0,UNGA
2007-01-18,19.5,20.0,18.5,19.15,33200,0,UNGA
2007-01-19,19.15,19.5,18.55,19.05,35100,0,UNGA
2007-01-22,19.05,19.95,18.9,19.25,12400,0,UNGA
2007-01-23,19.25,19.85,18.55,19.2,33700,0,UNGA
2007-01-24,19.2,19.0,18.55,18.9,2300,0,UNGA
2007-01-25,18.9,19.9,18.55,18.6,26000,0,UNGA
2007-01-26,18.6,19.0,18.55,18.55,4900,0,UNGA
2007-01-29,18.55,19.2,18.5,18.95,29500,0,UNGA
2007-01-30,18.95,19.5,18.6,18.85,42000,0,UNGA
2007-01-31,18.85,18.7,18.0,18.35,38500,0,UNGA
2007-02-01,18.35,18.5,17.0,17.85,10700,0,UNGA
2007-02-02,17.85,19.0,18.1,18.15,1300,0,UNGA
2007-02-05,17.25,15.5,15.2,15.35,1900,0,UNGA
2007-02-06,17.25,15.5,15.2,15.35,1900,1,UNGA
2007-02-07,15.35,14.55,14.5,14.5,6000,0,UNGA
2007-02-08,14.5,15.65,15.05,15.45,1200,1,UNGA
2007-02-09,14.5,15.65,15.05,15.45,1200,1,UNGA
2007-02-12,14.5,15.65,15.05,15.45,1200,1,UNGA
2007-02-13,12.0,19.0,17.05,18.5,34400,0,UNGA
2007-02-14,18.5,18.0,17.05,17.9,9200,0,UNGA
2007-02-15,17.9,18.0,17.0,17.2,6800,0,UNGA
2007-02-16,17.2,18.0,17.0,17.75,16300,0,UNGA
2007-02-19,17.75,17.0,17.0,17.0,21200,0,UNGA
2007-02-20,17.0,17.2,17.0,17.05,9300,0,UNGA
2007-02-21,17.05,17.5,16.8,17.0,233300,0,UNGA
