Date,Open,High,Low,Close,Volume,Is_Stale,Ticker
2007-01-02,130.0,138.0,130.0,130.0,2700,0,WTK
2007-01-03,130.0,145.0,145.0,145.0,5800,1,WTK
2007-01-04,130.0,145.0,145.0,145.0,5800,1,WTK
2007-01-05,130.0,145.0,145.0,145.0,5800,1,WTK
2007-01-08,130.0,145.0,145.0,145.0,5800,1,WTK
2007-01-09,130.0,145.0,145.0,145.0,5800,1,WTK
2007-01-10,145.0,109.0,107.0,108.0,1100,0,WTK
2007-01-11,108.0,120.0,115.0,117.0,11600,0,WTK
2007-01-12,108.0,120.0,115.0,117.0,11600,1,WTK
2007-01-15,117.0,130.0,125.0,126.0,1300,0,WTK
2007-01-16,126.0,125.0,122.0,122.0,1700,0,WTK
2007-01-17,122.0,130.0,122.0,126.0,2000,0,WTK
2007-01-18,126.0,130.0,130.0,130.0,100,0,WTK
2007-01-19,130.0,140.0,128.0,129.0,19600,0,WTK
2007-01-22,129.0,140.0,140.0,140.0,100,0,WTK
2007-01-23,140.0,150.0,141.0,147.0,1100,0,WTK
2007-01-24,147.0,160.0,157.0,159.0,21500,0,WTK
2007-01-25,159.0,165.0,159.0,160.0,9600,0,WTK
2007-01-26,160.0,160.0,160.0,160.0,500,0,WTK
2007-01-29,160.0,159.0,158.0,158.0,2000,0,WTK
2007-01-30,158.0,143.0,143.0,143.0,100,0,WTK
2007-01-31,143.0,140.0,129.0,136.0,700,0,WTK
2007-02-01,136.0,120.0,120.0,120.0,10000,0,WTK
2007-02-02,120.0,135.0,122.0,128.0,900,0,WTK
2007-02-05,128.0,131.0,131.0,131.0,1300,0,WTK
2007-02-06,128.0,131.0,131.0,131.0,1300,1,WTK
2007-02-07,131.0,132.0,132.0,132.0,5800,0,WTK
2007-02-08,132.0,120.0,120.0,120.0,1000,1,WTK
2007-02-09,132.0,120.0,120.0,120.0,1000,1,WTK
2007-02-12,132.0,120.0,120.0,120.0,1000,1,WTK
2007-02-13,125.0,160.0,150.0,159.0,55600,0,WTK
2007-02-14,159.0,160.0,145.0,159.0,39600,0,WTK
2007-02-15,159.0,145.0,145.0,145.0,200,1,WTK
2007-02-16,145.0,145.0,145.0,145.0,100,0,WTK
2007-02-19,145.0,145.0,145.0,145.0,100,1,WTK
2007-02-20,145.0,150.0,145.0,149.0,3000,0,WTK
2007-02-21,149.0,160.0,155.0,155.0,10000,0,WTK
2007-02-22,155.0,160.0,155.0,158.0,16800,0,WTK
2007-02-23,158.0,160.0,155.0,159.0,23600,0,WTK
2007-02-26,159.0,165.0,159.0,160.0,41400,0,WTK
2007-02-27,160.0,160.0,145.0,147.0,1200,0,WTK
2007-02-28,147.0,150.0,145.0,146.0,900,0,WTK
2007-03-01,146.0,120.0,120.0,120.0,2000,0,WTK
2007-03-02,146.0,120.0,120.0,120.0,2000,1,WTK
2007-03-05,134.0,131.0,131.0,131.0,10000,0,WTK
2007-03-06,134.0,131.0,131.0,131.0,10000,1,WTK
2007-03-07,131.0,132.0,120.0,130.0,3300,0,WTK
2007-03-08,130.0,127.0,127.0,127.0,100,0,WTK
2007-03-09,130.0,127.0,127.0,127.0,100,1,WTK
2007-03-12,108.0,112.0,112.0,112.0,9900,0,WTK
2007-03-13,108.0,112.0,112.0,112.0,9900,1,WTK
2007-03-14,112.0,150.0,150.0,150.0,1000,1,WTK
2007-03-15,150.0,150.0,150.0,150.0,800,1,WTK
2007-03-16,150.0,150.0,150.0,150.0,800,1,WTK
2007-03-19,150.0,150.0,150.0,150.0,800,1,WTK
2007-03-20,150.0,135.0,135.0,135.0,200,0,WTK
2007-03-21,135.0,130.0,130.0,130.0,100,0,WTK
2007-03-22,130.0,125.0,120.0,120.0,1100,0,WTK
2007-03-23,120.0,112.0,108.0,111.0,5500,1,WTK
2007-03-26,120.0,112.0,108.0,111.0,5500,1,WTK
2007-03-27,120.0,112.0,108.0,111.0,5500,1,WTK
2007-03-28,120.0,112.0,108.0,111.0,5500,1,WTK
2007-03-29,111.0,118.0,116.0,117.0,300,0,WTK
2007-03-30,117.0,128.0,128.0,128.0,100,1,WTK
2007-04-02,117.0,128.0,128.0,128.0,100,1,WTK
2007-04-03,117.0,128.0,128.0,128.0,100,1,WTK
2007-04-04,112.0,140.0,121.0,133.0,9000,1,WTK
2007-04-05,112.0,140.0,121.0,133.0,9000,1,WTK
2007-04-06,112.0,140.0,121.0,133.0,9000,1,WTK
2007-04-09,133.0,106.0,106.0,106.0,600,0,WTK
2007-04-10,106.0,118.0,115.0,116.0,500,0,WTK
2007-04-11,106.0,118.0,115.0,116.0,500,1,WTK
2007-04-12,116.0,112.0,112.0,112.0,200,1,WTK
2007-04-13,116.0,112.0,112.0,112.0,200,1,WTK
2007-04-16,116.0,112.0,112.0,112.0,200,1,WTK
2007-04-17,116.0,112.0,112.0,112.0,200,1,WTK
2007-04-18,112.0,130.0,130.0,130.0,2400,1,WTK
2007-04-19,130.0,130.0,130.0,130.0,500,1,WTK
2007-04-20,130.0,130.0,130.0,130.0,500,1,WTK
2007-04-23,130.0,130.0,130.0,130.0,500,1,WTK
2007-04-24,130.0,140.0,125.0,129.0,11100,0,WTK
2007-04-25,130.0,140.0,125.0,129.0,11100,1,WTK
2007-04-26,129.0,140.0,140.0,140.0,1000,0,WTK
2007-04-27,140.0,140.0,130.0,130.0,3300,0,WTK
2007-04-30,130.0,140.0,140.0,140.0,100,0,WTK
2007-05-01,140.0,113.0,112.0,112.0,900,0,WTK
2007-05-02,112.0,130.0,128.0,128.0,10600,0,WTK
2007-05-03,128.0,150.0,150.0,150.0,500,0,WTK
2007-05-04,150.0,135.0,135.0,135.0,100,0,WTK
2007-05-07,135.0,118.0,118.0,118.0,2000,1,WTK
2007-05-08,135.0,118.0,118.0,118.0,2000,1,WTK
2007-05-09,135.0,118.0,118.0,118.0,2000,1,WTK
2007-05-10,135.0,118.0,118.0,118.0,2000,1,WTK
2007-05-11,135.0,118.0,118.0,118.0,2000,1,WTK
2007-05-14,118.0,130.0,130.0,130.0,2000,1,WTK
2007-05-15,130.0,130.0,130.0,130.0,11000,0,WTK
2007-05-16,130.0,130.0,130.0,130.0,400,1,WTK
2007-05-17,130.0,143.0,143.0,143.0,100,1,WTK
2007-05-18,130.0,143.0,143.0,143.0,100,1,WTK
2007-05-21,130.0,143.0,143.0,143.0,100,1,WTK
