Date,Open,High,Low,Close,Volume,Is_Stale,Ticker
2007-01-02,26.25,27.0,24.5,26.25,19100,0,XPRS
2007-01-03,26.25,25.75,25.5,25.5,28800,1,XPRS
2007-01-04,26.25,25.75,25.5,25.5,28800,1,XPRS
2007-01-05,26.25,25.75,25.5,25.5,28800,1,XPRS
2007-01-08,25.5,23.25,21.0,21.5,23800,0,XPRS
2007-01-09,25.5,23.25,21.0,21.5,23800,1,XPRS
2007-01-10,21.5,24.75,23.75,24.0,72200,0,XPRS
2007-01-11,24.0,24.0,23.25,23.5,9100,0,XPRS
2007-01-12,24.0,24.0,23.25,23.5,9100,1,XPRS
2007-01-15,23.5,31.0,29.25,30.25,130300,0,XPRS
2007-01-16,30.25,31.0,27.75,30.0,231700,0,XPRS
2007-01-17,30.0,30.0,28.0,28.75,49600,0,XPRS
2007-01-18,28.75,30.0,28.0,29.25,54800,0,XPRS
2007-01-19,29.25,28.5,25.5,25.5,193400,0,XPRS
2007-01-22,25.5,28.0,25.75,27.5,12600,0,XPRS
2007-01-23,27.5,29.0,28.0,28.0,10900,0,XPRS
2007-01-24,28.0,28.0,26.0,27.75,6400,0,XPRS
2007-01-25,27.75,27.5,26.0,27.25,2500,0,XPRS
2007-01-26,27.25,28.0,27.0,27.25,51000,0,XPRS
2007-01-29,27.25,29.5,25.0,27.0,114200,0,XPRS
2007-01-30,27.0,27.75,25.0,27.25,70200,0,XPRS
2007-01-31,27.25,27.0,26.0,26.25,33800,0,XPRS
2007-02-01,26.25,26.0,24.25,25.75,6000,0,XPRS
2007-02-02,25.75,26.0,25.0,25.75,3500,0,XPRS
2007-02-05,20.25,24.0,23.0,23.25,7000,0,XPRS
2007-02-06,20.25,24.0,23.0,23.25,7000,1,XPRS
2007-02-07,23.25,22.0,22.0,22.0,4500,0,XPRS
2007-02-08,22.0,23.5,23.25,23.25,21100,1,XPRS
2007-02-09,22.0,23.5,23.25,23.25,21100,1,XPRS
2007-02-12,22.0,23.5,23.25,23.25,21100,1,XPRS
2007-02-13,22.0,30.0,27.0,28.5,89000,0,XPRS
2007-02-14,28.5,29.0,26.0,27.75,97800,0,XPRS
2007-02-15,27.75,26.0,26.0,26.0,16200,0,XPRS
2007-02-16,26.0,28.0,26.0,27.25,19700,0,XPRS
2007-02-19,27.25,28.0,26.0,27.0,5400,0,XPRS
2007-02-20,27.0,28.0,25.0,27.5,33300,0,XPRS
2007-02-21,27.5,28.0,27.0,27.25,31800,0,XPRS
2007-02-22,27.25,27.0,27.0,27.0,10700,0,XPRS
2007-02-23,27.0,27.0,26.0,26.75,19700,0,XPRS
2007-02-26,26.75,26.25,26.0,26.0,4400,0,XPRS
2007-02-27,26.0,26.5,26.0,26.0,58700,0,XPRS
2007-02-28,26.0,26.0,25.5,25.75,35300,0,XPRS
2007-03-01,25.75,28.5,26.0,27.25,202000,0,XPRS
2007-03-02,25.75,28.5,26.0,27.25,202000,1,XPRS
2007-03-05,22.0,24.0,22.0,23.0,80400,0,XPRS
2007-03-06,22.0,24.0,22.0,23.0,80400,1,XPRS
2007-03-07,23.0,24.0,22.0,22.0,57900,0,XPRS
2007-03-08,22.0,23.5,23.5,23.5,100,0,XPRS
2007-03-09,23.5,25.0,23.5,24.5,5500,0,XPRS
2007-03-12,25.75,23.0,23.0,23.0,11100,0,XPRS
2007-03-13,23.0,26.0,23.0,24.75,15600,0,XPRS
2007-03-14,24.75,26.5,24.5,25.25,49500,0,XPRS
2007-03-15,25.25,23.75,23.5,23.5,1000,0,XPRS
2007-03-16,23.5,25.5,25.5,25.5,36500,0,XPRS
2007-03-19,25.5,26.0,25.5,25.5,37600,0,XPRS
2007-03-20,25.5,25.5,23.0,24.0,19500,0,XPRS
2007-03-21,24.0,22.5,22.5,22.5,1600,0,XPRS
2007-03-22,22.5,24.0,20.25,22.5,48200,0,XPRS
2007-03-23,22.5,23.0,20.5,22.0,28700,0,XPRS
2007-03-26,22.0,21.0,21.0,21.0,1700,0,XPRS
2007-03-27,21.0,22.0,20.0,21.0,7400,0,XPRS
2007-03-28,21.0,23.5,22.0,23.0,36600,0,XPRS
2007-03-29,23.0,25.0,21.5,22.75,41800,0,XPRS
2007-03-30,22.75,22.0,20.25,21.75,15700,1,XPRS
